Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	528.574225122	118.298531811	0.000176	-0.084809	528	395	0.0	-0.085	0	0	1	0	19
73	130	528.437194127	118.383360522	0.000134	-0.084783	528	395	0.0	-0.085	0	0	1	0	20
73	130	528.668841762	118.383360522	0.000205	-0.084783	528	395	0.0	-0.085	0	0	1	0	40
73	130	529.044045677	118.72593801	0.000320	-0.084678	528	395	0.0	-0.085	0	0	1	0	60
73	130	529.239804241	119.329526917	0.000380	-0.084493	528	395	0.0	-0.085	0	0	1	0	80
73	130	529.360522023	120.703099511	0.000417	-0.084072	528	395	0.0	-0.085	0	0	1	0	100
73	130	529.282218597	123.802610114	0.000393	-0.083122	528	395	0.0	-0.085	0	0	1	0	120
73	130	528.887438825	129.587275693	0.000272	-0.081349	528	395	0.0	-0.085	0	0	1	0	140
73	130	528.097879282	139.313213703	0.000030	-0.078368	528	395	0.0	-0.085	0	0	1	0	160
73	130	528.486133768	153.055464927	0.000149	-0.074156	528	395	0.0	-0.085	0	0	1	0	180
73	130	530.57096248	170.39314845	0.000788	-0.068842	528	395	0.0	-0.085	0	0	1	0	200
73	130	534.84502447	190.461663948	0.002098	-0.062691	528	395	0.0	-0.085	0	0	1	0	220
73	130	538.985318108	215.179445351	0.003367	-0.055115	528	395	0.0	-0.085	0	0	1	0	240
73	130	543.076672104	244.001631321	0.004621	-0.046281	528	395	0.0	-0.085	0	0	1	0	260
73	130	546.349102773	276.344208809	0.005624	-0.036368	528	395	0.0	-0.085	0	0	1	0	280
73	130	549.034257749	310.712887439	0.006447	-0.025834	528	395	0.0	-0.085	0	0	1	0	300
73	130	551.386623165	345.215334421	0.007168	-0.015259	528	395	0.0	-0.085	0	0	1	0	320
73	130	553.112561175	378.109298532	0.007697	-0.005177	528	395	0.0	-0.085	0	0	1	0	340
73	130	554.20228385	408.370309951	0.008031	0.004098	528	395	0.0	-0.085	0	0	1	0	360
73	130	554.394779772	435.655791191	0.008090	0.012461	528	395	0.0	-0.085	0	0	1	0	380
73	130	553.862969005	459.110929853	0.007927	0.019650	528	395	0.0	-0.085	0	0	1	0	400
73	130	553.468189233	477.479608483	0.007806	0.025280	528	395	0.0	-0.085	0	0	1	0	420
73	130	553.45187602	490.331158238	0.007801	0.029219	528	395	0.0	-0.085	0.007801	0.029219	1	0	1189
74	50	529.468189233	112.817292007	0.000450	-0.086489	528	395	0.0	-0.085	0	0	1	0	19
74	50	530.097879282	112.132137031	0.000643	-0.086699	528	395	0.0	-0.085	0	0	1	0	20
74	50	531.66721044	109.998368679	0.001124	-0.087353	528	395	0.0	-0.085	0	0	1	0	40
74	50	532.456769984	108.210440457	0.001366	-0.087901	528	395	0.0	-0.085	0	0	1	0	60
74	50	533.386623165	106.337683524	0.001651	-0.088475	528	395	0.0	-0.085	0	0	1	0	80
74	50	534.704730832	105.23817292	0.002055	-0.088812	528	395	0.0	-0.085	0	0	1	0	100
74	50	537.980424144	105.078303426	0.003059	-0.088861	528	395	0.0	-0.085	0	0	1	0	120
74	50	543.608482871	107.065252855	0.004784	-0.088252	528	395	0.0	-0.085	0	0	1	0	140
74	50	553.089722675	111.577487765	0.007690	-0.086869	528	395	0.0	-0.085	0	0	1	0	160
74	50	566.593800979	119.554649266	0.011829	-0.084424	528	395	0.0	-0.085	0	0	1	0	180
74	50	584.835236542	131.042414356	0.017420	-0.080903	528	395	0.0	-0.085	0	0	1	0	201
74	50	607.814029364	146.419249592	0.024463	-0.076190	528	395	0.0	-0.085	0	0	1	0	220
74	50	634.179445351	165.424143556	0.032544	-0.070365	528	395	0.0	-0.085	0	0	1	0	240
74	50	663.1908646	187.267536705	0.041436	-0.063670	528	395	0.0	-0.085	0	0	1	0	260
74	50	692.443719413	212.256117455	0.050402	-0.056011	528	395	0.0	-0.085	0	0	1	0	280
74	50	720.123980424	238.970636215	0.058886	-0.047823	528	395	0.0	-0.085	0	0	1	0	300
74	50	744.701468189	266.510603589	0.066419	-0.039382	528	395	0.0	-0.085	0	0	1	0	320
74	50	765.24959217	293.16639478	0.072717	-0.031212	528	395	0.0	-0.085	0	0	1	0	340
74	50	781.220228385	318.021207178	0.077612	-0.023594	528	395	0.0	-0.085	0	0	1	0	360
74	50	793.592169657	339.740619902	0.081404	-0.016937	528	395	0.0	-0.085	0	0	1	0	380
74	50	802.433931485	358.549755302	0.084114	-0.011172	528	395	0.0	-0.085	0	0	1	0	400
74	50	809.161500816	373.603588907	0.086176	-0.006558	528	395	0.0	-0.085	0.086176	-0.006558	1	0	1169
75	90	528.991843393	110.08319739	0.000304	-0.087327	528	395	0.0	-0.085	0	0	1	0	19
75	90	529.843393148	108.973898858	0.000565	-0.087667	528	395	0.0	-0.085	0	0	1	0	20
75	90	531.39314845	105.995106036	0.001040	-0.088580	528	395	0.0	-0.085	0	0	1	0	40
75	90	531.556280587	103.022838499	0.001090	-0.089491	528	395	0.0	-0.085	0	0	1	0	60
75	90	530.799347471	100.477977162	0.000858	-0.090271	528	395	0.0	-0.085	0	0	1	0	80
75	90	529.55954323	98.9510603589	0.000478	-0.090739	528	395	0.0	-0.085	0	0	1	0	100
75	90	528.27406199	99.4600326264	0.000084	-0.090583	528	395	0.0	-0.085	0	0	1	0	120
75	90	527.298531811	102.934747145	-0.000215	-0.089518	528	395	0.0	-0.085	0	0	1	0	140
75	90	527.295269168	110.422512235	-0.000216	-0.087223	528	395	0.0	-0.085	0	0	1	0	160
75	90	528.47634584	122.422512235	0.000146	-0.083545	528	395	0.0	-0.085	0	0	1	0	180
75	90	530.655791191	139.574225122	0.000814	-0.078288	528	395	0.0	-0.085	0	0	1	0	200
75	90	534.597063622	161.796084829	0.002022	-0.071477	528	395	0.0	-0.085	0	0	1	0	220
75	90	538.946166395	189.665579119	0.003355	-0.062935	528	395	0.0	-0.085	0	0	1	0	240
75	90	544.623164763	221.815660685	0.005095	-0.053081	528	395	0.0	-0.085	0	0	1	0	260
75	90	550.691680261	257.146818923	0.006955	-0.042252	528	395	0.0	-0.085	0	0	1	0	280
75	90	558.858075041	292.76182708	0.009458	-0.031336	528	395	0.0	-0.085	0	0	1	0	300
75	90	566.251223491	328.305057096	0.011724	-0.020442	528	395	0.0	-0.085	0	0	1	0	321
75	90	572.577487765	362.517128874	0.013663	-0.009956	528	395	0.0	-0.085	0	0	1	0	340
75	90	577.148450245	393.95269168	0.015064	-0.000321	528	395	0.0	-0.085	0	0	1	0	360
75	90	580.306688418	421.339314845	0.016032	0.008073	528	395	0.0	-0.085	0	0	1	0	380
75	90	581.663947798	444.28548124	0.016448	0.015106	528	395	0.0	-0.085	0	0	1	0	400
75	90	581.951060359	462.657422512	0.016536	0.020737	528	395	0.0	-0.085	0	0	1	0	420
75	90	581.934747145	476.784665579	0.016531	0.025067	528	395	0.0	-0.085	0	0	1	0	440
75	90	580.812398042	487.613376835	0.016187	0.028386	528	395	0.0	-0.085	0.016187	0.028386	1	0	1208
76	90	528.179445351	112.902120718	0.000055	-0.086463	528	395	0.0	-0.085	0	0	1	0	19
