Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	527.663947798	118.72593801	-0.000103	-0.084678	528	395	0.0	-0.085	0	0	1	0	20
73	130	527.663947798	118.72593801	-0.000103	-0.084678	528	395	0.0	-0.085	0	0	1	0	20
73	130	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0	0	1	0	40
73	130	527.579119086	119.07177814	-0.000129	-0.084572	528	395	0.0	-0.085	0	0	1	0	60
73	130	527.494290375	119.414355628	-0.000155	-0.084467	528	395	0.0	-0.085	0	0	1	0	80
73	130	527.471451876	120.445350734	-0.000162	-0.084151	528	395	0.0	-0.085	0	0	1	0	100
73	130	526.792822186	123.199021207	-0.000370	-0.083307	528	395	0.0	-0.085	0	0	1	0	120
73	130	526.339314845	127.858075041	-0.000509	-0.081879	528	395	0.0	-0.085	0	0	1	0	140
73	130	525.800978793	135.659053834	-0.000674	-0.079488	528	395	0.0	-0.085	0	0	1	0	160
73	130	526.306688418	146.650897227	-0.000519	-0.076119	528	395	0.0	-0.085	0	0	1	0	180
73	130	527.455138662	160.990212072	-0.000167	-0.071724	528	395	0.0	-0.085	0	0	1	0	200
73	130	530.048939641	178.510603589	0.000628	-0.066354	528	395	0.0	-0.085	0	0	1	0	220
73	130	532.283849918	200.491027732	0.001313	-0.059617	528	395	0.0	-0.085	0	0	1	0	240
73	130	534.753670473	225.721044046	0.002070	-0.051884	528	395	0.0	-0.085	0	0	1	0	260
73	130	536.7862969	253.67862969	0.002693	-0.043315	528	395	0.0	-0.085	0	0	1	0	280
73	130	538.84502447	282.846655791	0.003324	-0.034375	528	395	0.0	-0.085	0	0	1	0	300
73	130	541.174551387	312.099510604	0.004038	-0.025409	528	395	0.0	-0.085	0	0	1	0	320
73	130	541.986949429	341.013050571	0.004287	-0.016547	528	395	0.0	-0.085	0	0	1	0	340
73	130	542.394779772	367.756933116	0.004412	-0.008350	528	395	0.0	-0.085	0	0	1	0	360
73	130	541.755301794	391.319738989	0.004216	-0.001128	528	395	0.0	-0.085	0	0	1	0	380
73	130	540.479608483	411.486133768	0.003825	0.005053	528	395	0.0	-0.085	0	0	1	0	400
73	130	538.257748777	428.458401305	0.003144	0.010255	528	395	0.0	-0.085	0	0	1	0	420
73	130	535.477977162	442.370309951	0.002292	0.014519	528	395	0.0	-0.085	0	0	1	0	440
73	130	532.796084829	453.479608483	0.001470	0.017924	528	395	0.0	-0.085	0	0	1	0	460
73	130	529.800978793	462.262642741	0.000552	0.020616	528	395	0.0	-0.085	0	0	1	0	480
73	130	527.305057096	469.0	-0.000213	0.022681	528	395	0.0	-0.085	0	0	1	0	500
73	130	524.724306688	474.513866232	-0.001004	0.024371	528	395	0.0	-0.085	0	0	1	0	520
73	130	522.270799347	479.101141925	-0.001756	0.025777	528	395	0.0	-0.085	0	0	1	0	540
73	130	520.091353997	482.970636215	-0.002424	0.026963	528	395	0.0	-0.085	0	0	1	0	560
73	130	518.189233279	486.112561175	-0.003007	0.027926	528	395	0.0	-0.085	-0.003007	0.027926	1	0	1329
74	50	530.460032626	113.929853181	0.000754	-0.086148	528	395	0.0	-0.085	0	0	1	0	19
74	50	531.184339315	113.329526917	0.000976	-0.086332	528	395	0.0	-0.085	0	0	1	0	20
74	50	532.907014682	111.965742251	0.001504	-0.086750	528	395	0.0	-0.085	0	0	1	0	40
74	50	533.862969005	111.36867863	0.001797	-0.086933	528	395	0.0	-0.085	0	0	1	0	60
74	50	535.141924959	110.859706362	0.002189	-0.087089	528	395	0.0	-0.085	0	0	1	0	80
74	50	536.577487765	111.120717781	0.002629	-0.087009	528	395	0.0	-0.085	0	0	1	0	100
74	50	539.556280587	112.585644372	0.003542	-0.086560	528	395	0.0	-0.085	0	0	1	0	120
74	50	544.401305057	116.210440457	0.005027	-0.085449	528	395	0.0	-0.085	0	0	1	0	140
74	50	552.20228385	122.63132137	0.007418	-0.083481	528	395	0.0	-0.085	0	0	1	0	160
74	50	563.76182708	132.539967374	0.010961	-0.080444	528	395	0.0	-0.085	0	0	1	0	180
74	50	579.915171289	145.903752039	0.015912	-0.076348	528	395	0.0	-0.085	0	0	1	0	200
74	50	600.169657423	162.804241436	0.022120	-0.071168	528	395	0.0	-0.085	0	0	1	0	220
74	50	623.634584013	183.424143556	0.029312	-0.064848	528	395	0.0	-0.085	0	0	1	0	240
74	50	649.872756933	206.331158238	0.037354	-0.057827	528	395	0.0	-0.085	0	0	1	0	260
74	50	676.77324633	231.381729201	0.045599	-0.050149	528	395	0.0	-0.085	0	0	1	0	280
74	50	702.580750408	257.123980424	0.053509	-0.042259	528	395	0.0	-0.085	0	0	1	0	300
74	50	724.871125612	283.51223491	0.060341	-0.034171	528	395	0.0	-0.085	0	0	1	0	320
74	50	743.983686786	308.066884176	0.066199	-0.026645	528	395	0.0	-0.085	0	0	1	0	340
74	50	759.115823817	330.344208809	0.070837	-0.019817	528	395	0.0	-0.085	0	0	1	0	360
74	50	770.531810767	350.001631321	0.074336	-0.013792	528	395	0.0	-0.085	0	0	1	0	380
74	50	778.20228385	367.185970636	0.076687	-0.008525	528	395	0.0	-0.085	0	0	1	0	400
74	50	783.644371941	381.27406199	0.078355	-0.004207	528	395	0.0	-0.085	0	0	1	0	420
74	50	786.339314845	393.326264274	0.079181	-0.000513	528	395	0.0	-0.085	0.079181	-0.000513	1	0	1189
75	90	531.148450245	111.619902121	0.000965	-0.086856	528	395	0.0	-0.085	0	0	1	0	19
75	90	532.189233279	110.683523654	0.001284	-0.087143	528	395	0.0	-0.085	0	0	1	0	20
75	90	533.716150082	108.72593801	0.001752	-0.087743	528	395	0.0	-0.085	0	0	1	0	40
75	90	535.337683524	106.856443719	0.002249	-0.088316	528	395	0.0	-0.085	0	0	1	0	60
75	90	535.823817292	105.835236542	0.002398	-0.088629	528	395	0.0	-0.085	0	0	1	0	80
75	90	535.918433931	105.920065253	0.002427	-0.088603	528	395	0.0	-0.085	0	0	1	0	100
75	90	535.722675367	107.623164763	0.002367	-0.088081	528	395	0.0	-0.085	0	0	1	0	120
75	90	534.982055465	111.972267537	0.002140	-0.086748	528	395	0.0	-0.085	0	0	1	0	140
75	90	534.890701468	119.251223491	0.002112	-0.084517	528	395	0.0	-0.085	0	0	1	0	160
75	90	535.800978793	129.861337684	0.002391	-0.081265	528	395	0.0	-0.085	0	0	1	0	180
75	90	537.504078303	144.569331158	0.002913	-0.076757	528	395	0.0	-0.085	0	0	1	0	200
75	90	539.977161501	163.323001631	0.003671	-0.071009	528	395	0.0	-0.085	0	0	1	0	220
75	90	543.676998369	185.466557912	0.004805	-0.064222	528	395	0.0	-0.085	0	0	1	0	241
75	90	547.48776509	211.215334421	0.005973	-0.056330	528	395	0.0	-0.085	0	0	1	0	260
75	90	550.544861338	239.88091354	0.006910	-0.047544	528	395	0.0	-0.085	0	0	1	0	280
75	90	553.396411093	270.543230016	0.007784	-0.038146	528	395	0.0	-0.085	0	0	1	0	300
75	90	554.959216966	302.301794454	0.008263	-0.028412	528	395	0.0	-0.085	0	0	1	0	320
75	90	555.233278956	333.603588907	0.008347	-0.018818	528	395	0.0	-0.085	0	0	1	0	340
75	90	555.295269168	362.820554649	0.008366	-0.009863	528	395	0.0	-0.085	0	0	1	0	360
75	90	554.094616639	389.727569331	0.007998	-0.001616	528	395	0.0	-0.085	0	0	1	0	380
75	90	552.231647635	413.006525285	0.007427	0.005519	528	395	0.0	-0.085	0	0	1	0	400
75	90	550.120717781	432.738988581	0.006780	0.011567	528	395	0.0	-0.085	0	0	1	0	420
75	90	547.48776509	448.92822186	0.005973	0.016529	528	395	0.0	-0.085	0	0	1	0	440
75	90	544.574225122	461.499184339	0.005080	0.020382	528	395	0.0	-0.085	0	0	1	0	460
75	90	541.686786297	470.814029364	0.004195	0.023237	528	395	0.0	-0.085	0	0	1	0	480
75	90	538.636215334	477.662316476	0.003260	0.025336	528	395	0.0	-0.085	0	0	1	0	500
75	90	535.539967374	482.758564437	0.002311	0.026898	528	395	0.0	-0.085	0.002311	0.026898	1	0	1264
76	130	531.637846656	108.719412724	0.001115	-0.087745	528	395	0.0	-0.085	0	0	1	0	19
76	130	533.037520392	107.27406199	0.001544	-0.088188	528	395	0.0	-0.085	0	0	1	0	20
76	130	535.513866232	104.305057096	0.002303	-0.089098	528	395	0.0	-0.085	0	0	1	0	40
76	130	537.618270799	101.003262643	0.002948	-0.090110	528	395	0.0	-0.085	0	0	1	0	60
76	130	539.810766721	97.3719412724	0.003620	-0.091223	528	395	0.0	-0.085	0	0	1	0	80
76	130	542.146818923	93.6721044046	0.004336	-0.092357	528	395	0.0	-0.085	0	0	1	0	100
76	130	545.269168026	89.6525285481	0.005293	-0.093589	528	395	0.0	-0.085	0	0	1	0	120
76	130	550.287112561	84.660685155	0.006831	-0.095119	528	395	0.0	-0.085	0	0	1	0	140
76	130	558.231647635	77.9853181077	0.009266	-0.097165	528	395	0.0	-0.085	0	0	1	0	160
76	130	569.644371941	69.1076672104	0.012764	-0.099886	528	395	0.0	-0.085	0	0	1	0	180
76	130	584.567699837	57.7210440457	0.017338	-0.103376	528	395	0.0	-0.085	0	0	1	0	200
76	130	602.936378467	43.6362153344	0.022968	-0.107693	528	395	0.0	-0.085	0	0	1	0	220
76	130	622.975530179	28.0016313214	0.029110	-0.112485	528	395	0.0	-0.085	0	0	1	0	240
76	130	643.774877651	10.8955954323	0.035485	-0.117728	528	395	0.0	-0.085	0	0	1	0	260
76	130	664.531810767	-6.92495921697	0.041847	-0.123190	528	395	0.0	-0.085	0	0	1	0	280
76	130	684.460032626	-24.5367047308	0.047955	-0.128588	528	395	0.0	-0.085	0	0	1	0	300
76	130	702.110929853	-41.075040783	0.053365	-0.133657	528	395	0.0	-0.085	0	0	1	0	320
76	130	718.163132137	-56.9445350734	0.058285	-0.138521	528	395	0.0	-0.085	0	0	1	0	340
