Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	527.161500816	118.898858075	-0.000257	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	526.985318108	119.241435563	-0.000311	-0.084520	528	395	0.0	-0.085	0.0	0.035	1	0	33
1	90	526.848287113	119.241435563	-0.000353	-0.084520	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	526.398042414	119.672104405	-0.000491	-0.084388	528	395	0.0	-0.085	0.0	0.035	1	0	60
1	90	525.76182708	119.929853181	-0.000686	-0.084309	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	525.122349103	120.187601958	-0.000882	-0.084230	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	524.528548124	120.275693312	-0.001064	-0.084203	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	524.205546493	120.1908646	-0.001163	-0.084229	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	523.879282219	120.106035889	-0.001263	-0.084255	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	523.556280587	120.021207178	-0.001362	-0.084281	528	395	0.0	-0.085	0.0	0.035	1	0	181
1	90	523.370309951	119.848287113	-0.001419	-0.084334	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	523.275693312	119.763458401	-0.001448	-0.084360	528	395	0.0	-0.085	0.0	0.035	1	0	221
1	90	523.138662316	119.848287113	-0.001490	-0.084334	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	523.099510604	120.021207178	-0.001502	-0.084281	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	523.148450245	120.278955954	-0.001487	-0.084202	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	523.109298532	120.45187602	-0.001499	-0.084149	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	523.024469821	120.794453507	-0.001525	-0.084044	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	522.939641109	121.137030995	-0.001551	-0.083939	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	522.991843393	121.398042414	-0.001535	-0.083859	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	523.044045677	121.655791191	-0.001519	-0.083780	528	395	0.0	-0.085	0.0	0.035	1	0	381
1	90	523.324632953	121.913539967	-0.001433	-0.083701	528	395	0.0	-0.085	0.0	0.035	1	0	401
1	90	523.699836868	122.256117455	-0.001318	-0.083596	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	524.032626427	122.771615008	-0.001216	-0.083438	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	524.636215334	123.114192496	-0.001031	-0.083333	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	525.383360522	123.802610114	-0.000802	-0.083122	528	395	0.0	-0.085	0.0	0.035	1	0	481
1	90	526.039151713	124.406199021	-0.000601	-0.082937	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	526.737357259	124.836867863	-0.000387	-0.082805	528	395	0.0	-0.085	0.0	0.035	1	0	521
1	90	527.569331158	125.182707993	-0.000132	-0.082699	528	395	0.0	-0.085	0.0	0.035	1	0	541
1	90	528.078303426	125.44045677	0.000024	-0.082620	528	395	0.0	-0.085	0.0	0.035	1	0	561
1	90	529.001631321	125.871125612	0.000307	-0.082488	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	529.977161501	126.562805873	0.000606	-0.082276	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	531.001631321	127.515497553	0.000920	-0.081984	528	395	0.0	-0.085	0.0	0.035	1	0	620
1	90	531.89233279	128.553017945	0.001193	-0.081666	528	395	0.0	-0.085	0.0	0.035	1	0	640
1	90	532.955954323	129.33278956	0.001519	-0.081427	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	534.336052202	129.769983687	0.001942	-0.081293	528	395	0.0	-0.085	0.0	0.035	1	0	680
1	90	535.843393148	129.688417618	0.002404	-0.081318	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	537.768352365	129.779771615	0.002994	-0.081290	528	395	0.0	-0.085	0.0	0.035	1	0	721
1	90	539.239804241	130.305057096	0.003445	-0.081129	528	395	0.0	-0.085	0.0	0.035	1	0	741
1	90	540.802610114	130.921696574	0.003924	-0.080940	528	395	0.0	-0.085	0.0	0.035	1	0	760
1	90	542.137030995	131.535073409	0.004333	-0.080752	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	543.060358891	132.406199021	0.004616	-0.080485	528	395	0.0	-0.085	0.0	0.035	1	0	800
1	90	543.990212072	133.71451876	0.004901	-0.080084	528	395	0.0	-0.085	0.0	0.035	1	0	820
1	90	545.145187602	135.026101142	0.005255	-0.079682	528	395	0.0	-0.085	0.0	0.035	1	0	840
1	90	546.433931485	136.24959217	0.005650	-0.079307	528	395	0.0	-0.085	0.0	0.035	1	0	860
1	90	547.951060359	137.479608483	0.006115	-0.078930	528	395	0.0	-0.085	0.0	0.035	1	0	880
1	90	549.419249592	138.885807504	0.006565	-0.078499	528	395	0.0	-0.085	0.0	0.035	1	0	900
1	90	550.84502447	140.468189233	0.007002	-0.078014	528	395	0.0	-0.085	0.0	0.035	1	0	920
1	90	552.13050571	142.138662316	0.007396	-0.077502	528	395	0.0	-0.085	0.0	0.035	1	0	940
1	90	553.637846656	143.812398042	0.007858	-0.076989	528	395	0.0	-0.085	0.0	0.035	1	0	961
1	90	555.057096248	145.4045677	0.008293	-0.076501	528	395	0.0	-0.085	0.0	0.035	1	0	981
1	90	556.7862969	147.088091354	0.008823	-0.075985	528	395	0.0	-0.085	0.0	0.035	1	0	1001
1	90	558.561174551	148.598694943	0.009367	-0.075522	528	395	0.0	-0.085	0.0	0.035	1	0	1020
1	90	559.970636215	150.197389886	0.009799	-0.075032	528	395	0.0	-0.085	0.0	0.035	1	0	1041
1	90	551.24959217	177.724306688	0.007126	-0.066595	528	395	0.0	-0.085	0.0	0.035	1	0	1254
1	90	550.665579119	177.724306688	0.006947	-0.066595	528	395	0.0	-0.085	0.0	0.035	1	0	1257
1	90	549.722675367	178.791190865	0.006658	-0.066268	528	395	0.0	-0.085	0.0	0.035	1	0	1259
1	90	549.722675367	178.791190865	0.006658	-0.066268	528	395	0.0	-0.085	0.0	0.035	1	0	1262
