Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	125.167611482	130	0.0	-0.085	-0.064158	0.006059	968	655	1	3842
140	86.3279061893	50	0.0	-0.085	0.007262	0.028154	697	680	1	3084
141	102.801581696	90	0.0	-0.085	-0.025155	0.025706	809	693	1	3055
142	115.796811726	50	0.0	-0.085	-0.049555	0.017524	985	641	1	2991
143	92.4036243154	90	0.0	-0.085	-0.004781	0.028899	744	699	1	3003
144	73.4482753351	130	0.0	-0.085	0.032663	0.024904	644	693	1	3101
145	114.137418356	130	0.0	-0.085	-0.045830	0.017275	1001	682	1	3227
146	85.0024409156	90	0.0	-0.085	0.009971	0.029025	698	694	1	3481
147	108.172727039	50	0.0	-0.085	-0.035148	0.022075	921	666	1	2883
148	82.7277724108	130	0.0	-0.085	0.014550	0.029019	706	691	1	2789
149	87.5480783506	50	0.0	-0.085	0.004858	0.028451	548	665	1	5438
150	89.2368093997	90	0.0	-0.085	0.001538	0.030457	685	681	1	3408
151	62.1293529586	50	0.0	-0.085	0.054236	0.017561	508	665	1	2664
152	99.1863430096	90	0.0	-0.085	-0.018003	0.026322	769	722	1	2734
153	88.8817611707	130	0.0	-0.085	0.002238	0.029655	822	710	1	2886
154	105.533738876	130	0.0	-0.085	-0.030285	0.023955	901	694	1	2920
155	57.9978499144	90	0.0	-0.085	0.061721	0.013766	543	653	1	2914
156	81.0467360316	50	0.0	-0.085	0.017932	0.028819	666	709	1	2702
283	97.7917096061	90	0.0	-0.085	-0.015170	0.025863	809	669	2	3481
284	124.65864855	50	0.0	-0.085	-0.064185	0.007838	1100	599	2	2986
285	92.1501986316	130	0.0	-0.085	-0.004511	0.035147	804	659	2	3031
286	77.328012125	50	0.0	-0.085	0.026984	0.035011	674	664	2	2988
287	120.516365737	90	0.0	-0.085	-0.058284	0.013882	1045	648	2	2791
288	74.6531725561	130	0.0	-0.085	0.031107	0.028344	650	643	2	2739
289	121.471467963	50	0.0	-0.085	-0.058544	0.010642	1105	514	2	3201
290	88.768853011	90	0.0	-0.085	0.002518	0.032166	822	668	2	2851
291	63.0234997612	130	0.0	-0.085	0.056670	0.026334	555	624	2	2612
292	134.288312362	130	0.0	-0.085	-0.078668	-0.004353	1200	514	2	2450
293	84.189890299	50	0.0	-0.085	0.011825	0.031211	671	664	2	2709
294	54.4561336451	90	0.0	-0.085	0.069448	0.012205	364	511	2	2488
295	105.735676325	50	0.0	-0.085	-0.031499	0.026794	997	639	2	2625
296	86.6484706534	90	0.0	-0.085	0.006837	0.031748	690	667	2	3886
297	114.851776772	130	0.0	-0.085	-0.046985	0.016444	1049	650	2	3712
298	74.7564962972	90	0.0	-0.085	0.031168	0.029374	610	683	2	2884
299	84.7511920022	50	0.0	-0.085	0.010594	0.030320	665	682	2	2790
300	71.0737017706	130	0.0	-0.085	0.037963	0.025715	629	688	2	2842
427	79.0423014941	50	0.0	-0.085	0.021345	0.025245	651	665	3	2879
428	115.355595761	130	0.0	-0.085	-0.049186	0.018793	1001	653	3	2881
429	87.5272788046	90	0.0	-0.085	0.004995	0.030668	798	733	3	3235
430	129.208635442	130	0.0	-0.085	-0.072724	0.004141	1165	510	3	2471
431	86.6353205089	90	0.0	-0.085	0.007317	0.039455	675	696	3	3235
432	82.2426387547	50	0.0	-0.085	0.015575	0.029333	658	649	3	3231
433	139.454934943	90	0.0	-0.085	-0.084153	-0.013012	1228	477	3	2714
434	48.9485283927	50	0.0	-0.085	0.085721	0.013432	406	572	3	4199
435	108.620204845	130	0.0	-0.085	-0.036193	0.022420	938	686	3	2593
436	133.778352663	50	0.0	-0.085	-0.078294	-0.003294	1232	534	3	2781
437	90.2141047272	90	0.0	-0.085	-0.000433	0.030873	818	699	3	2699
438	71.3976849073	130	0.0	-0.085	0.041026	0.036890	646	705	3	3016
439	97.7185994032	90	0.0	-0.085	-0.014982	0.025539	813	718	3	2465
440	80.1533494603	130	0.0	-0.085	0.019653	0.028229	772	741	3	2358
441	62.3056044711	50	0.0	-0.085	0.054214	0.018287	561	679	3	2410
442	99.8618027805	90	0.0	-0.085	-0.019421	0.026717	914	720	3	2229
443	122.173184374	50	0.0	-0.085	-0.061190	0.012269	1169	551	3	2494
444	78.7911276847	130	0.0	-0.085	0.022694	0.029520	807	727	3	3749
571	99.8854519154	90	0.0	-0.085	-0.019239	0.025400	774	710	4	3784
572	89.1238708729	50	0.0	-0.085	0.001745	0.029108	692	681	4	3189
573	126.823664454	130	0.0	-0.085	-0.066849	0.004282	1068	608	4	2721
574	85.7425801836	130	0.0	-0.085	0.008384	0.027623	683	665	4	2691
575	111.391072816	50	0.0	-0.085	-0.041829	0.021784	978	651	4	2467
576	69.452819861	90	0.0	-0.085	0.040090	0.021957	664	640	4	2592
577	121.998613656	90	0.0	-0.085	-0.060376	0.011627	1133	568	4	2484
578	79.7011464421	130	0.0	-0.085	0.020639	0.028582	671	675	4	2678
579	110.200226978	50	0.0	-0.085	-0.039587	0.022593	939	687	4	2672
580	98.766873289	90	0.0	-0.085	-0.017407	0.027874	792	708	4	2532
581	139.599679258	50	0.0	-0.085	-0.086588	-0.011307	1158	473	4	2252
582	70.8680791329	130	0.0	-0.085	0.037208	0.022257	515	614	4	2628
583	100.092355346	130	0.0	-0.085	-0.019618	0.025220	802	709	4	2848
584	72.5099602005	90	0.0	-0.085	0.034809	0.025467	599	681	4	2504
585	127.95160292	50	0.0	-0.085	-0.068933	0.003384	1145	560	4	2358
586	81.5446401203	90	0.0	-0.085	0.016949	0.029016	632	677	4	2760
587	66.1634506014	130	0.0	-0.085	0.046539	0.020336	481	617	4	2498
588	112.312632091	50	0.0	-0.085	-0.042313	0.018105	974	691	4	2536
