Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	527.921696574	111.619902121	-0.000024	-0.086856	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	527.745513866	109.998368679	-0.000078	-0.087353	528	395	0.0	-0.085	0.0	0.035	1	0	20
1	90	527.696574225	105.991843393	-0.000093	-0.088581	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	526.495921697	100.55954323	-0.000461	-0.090246	528	395	0.0	-0.085	0.0	0.035	1	0	60
1	90	522.747145188	94.1419249592	-0.001610	-0.092213	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	516.822185971	86.0929853181	-0.003426	-0.094680	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	508.730831974	76.7096247961	-0.005906	-0.097556	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	498.27406199	66.7063621533	-0.009111	-0.100622	528	395	0.0	-0.085	0.0	0.035	1	0	141
1	90	479.373572594	51.2610114192	-0.014904	-0.105356	528	395	0.0	-0.085	0.0	0.035	1	0	173
1	90	472.437194127	46.1223491028	-0.017030	-0.106931	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	458.528548124	36.2137030995	-0.021293	-0.109968	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	443.938009788	27.3686786297	-0.025765	-0.112679	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	429.230016313	19.2414355628	-0.030273	-0.115170	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	415.269168026	11.7014681892	-0.034552	-0.117481	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	402.048939641	4.88254486134	-0.038604	-0.119571	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	390.959216966	-1.55138662316	-0.042003	-0.121543	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	381.513866232	-7.44698205546	-0.044898	-0.123350	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	373.484502447	-12.8205546493	-0.047359	-0.124997	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	366.858075041	-17.5383360522	-0.049390	-0.126443	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	361.517128874	-21.5415986949	-0.051027	-0.127670	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	357.438825449	-24.6900489396	-0.052277	-0.128635	528	395	0.0	-0.085	0.0	0.035	1	0	401
1	90	355.017944535	-27.1044045677	-0.053019	-0.129375	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	353.732463295	-27.9233278956	-0.053413	-0.129626	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	353.827079935	-27.1729200653	-0.053384	-0.129396	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	355.66721044	-25.4796084829	-0.052820	-0.128877	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	358.727569331	-22.6508972268	-0.051882	-0.128010	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	362.590538336	-18.4094616639	-0.050698	-0.126710	528	395	0.0	-0.085	0.0	0.035	1	0	520
1	90	368.0	-12.9412724307	-0.049040	-0.125034	528	395	0.0	-0.085	0.0	0.035	1	0	540
1	90	375.207177814	-6.37683523654	-0.046831	-0.123022	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	383.536704731	1.58727569331	-0.044278	-0.120581	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	393.050570962	10.5203915171	-0.041362	-0.117843	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	403.92822186	20.0538336052	-0.038028	-0.114921	528	395	0.0	-0.085	0.0	0.035	1	0	620
1	90	414.812398042	30.3637846656	-0.034692	-0.111761	528	395	0.0	-0.085	0.0	0.035	1	0	640
1	90	426.672104405	40.6965742251	-0.031057	-0.108594	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	438.923327896	51.0065252855	-0.027302	-0.105434	528	395	0.0	-0.085	0.0	0.035	1	0	680
1	90	451.161500816	60.9771615008	-0.023551	-0.102378	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	462.75040783	70.8662316476	-0.019999	-0.099347	528	395	0.0	-0.085	0.0	0.035	1	0	720
1	90	473.601957586	80.572593801	-0.016673	-0.096372	528	395	0.0	-0.085	0.0	0.035	1	0	740
1	90	483.164763458	90.0048939641	-0.013742	-0.093481	528	395	0.0	-0.085	0.0	0.035	1	0	760
1	90	492.101141925	98.8792822186	-0.011003	-0.090761	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	499.500815661	107.182707993	-0.008735	-0.088216	528	395	0.0	-0.085	0.0	0.035	1	0	800
1	90	505.660685155	114.716150082	-0.006847	-0.085907	528	395	0.0	-0.085	0.0	0.035	1	0	820
1	90	509.931484502	122.32137031	-0.005538	-0.083576	528	395	0.0	-0.085	0.0	0.035	1	0	841
1	90	513.539967374	128.765089723	-0.004432	-0.081601	528	395	0.0	-0.085	0.0	0.035	1	0	861
1	90	515.566068515	135.081566069	-0.003811	-0.079665	528	395	0.0	-0.085	0.0	0.035	1	0	881
1	90	517.148450245	140.817292007	-0.003326	-0.077907	528	395	0.0	-0.085	0.0	0.035	1	0	900
1	90	518.254486134	146.145187602	-0.002987	-0.076274	528	395	0.0	-0.085	0.0	0.035	1	0	920
1	90	518.4045677	151.668841762	-0.002941	-0.074581	528	395	0.0	-0.085	0.0	0.035	1	0	941
1	90	517.908646003	157.039151713	-0.003093	-0.072935	528	395	0.0	-0.085	0.0	0.035	1	0	961
1	90	516.907014682	162.168026101	-0.003400	-0.071363	528	395	0.0	-0.085	0.0	0.035	1	0	981
1	90	515.367047308	167.228384992	-0.003872	-0.069812	528	395	0.0	-0.085	0.0	0.035	1	0	1000
1	90	513.376835237	172.308319739	-0.004482	-0.068255	528	395	0.0	-0.085	0.0	0.035	1	0	1020
1	90	511.24959217	177.048939641	-0.005134	-0.066802	528	395	0.0	-0.085	0.0	0.035	1	0	1040
1	90	509.125611746	181.8091354	-0.005785	-0.065343	528	395	0.0	-0.085	0.0	0.035	1	0	1060
1	90	507.044045677	185.955954323	-0.006423	-0.064072	528	395	0.0	-0.085	0.0	0.035	1	0	1081
1	90	504.694942904	189.848287113	-0.007143	-0.062879	528	395	0.0	-0.085	0.0	0.035	1	0	1100
1	90	501.986949429	193.394779772	-0.007973	-0.061792	528	395	0.0	-0.085	0.0	0.035	1	0	1120
1	90	499.060358891	196.954323002	-0.008870	-0.060701	528	395	0.0	-0.085	0.0	0.035	1	0	1141
1	90	496.104404568	200.706362153	-0.009776	-0.059551	528	395	0.0	-0.085	0.0	0.035	1	0	1160
1	90	493.239804241	204.562805873	-0.010654	-0.058369	528	395	0.0	-0.085	0.0	0.035	1	0	1180
1	90	490.655791191	208.699836868	-0.011446	-0.057101	528	395	0.0	-0.085	0.0	0.035	1	0	1201
1	90	488.969004894	213.290375204	-0.011963	-0.055694	528	395	0.0	-0.085	0.0	0.035	1	0	1220
1	90	488.03588907	217.975530179	-0.012249	-0.054258	528	395	0.0	-0.085	0.0	0.035	1	0	1240
1	90	488.378466558	222.83360522	-0.012144	-0.052769	528	395	0.0	-0.085	0.0	0.035	1	0	1260
1	90	489.168026101	228.621533442	-0.011902	-0.050995	528	395	0.0	-0.085	0.0	0.035	1	0	1280
1	90	490.920065253	234.970636215	-0.011365	-0.049049	528	395	0.0	-0.085	0.0	0.035	1	0	1301
1	90	493.526916803	241.796084829	-0.010566	-0.046957	528	395	0.0	-0.085	0.0	0.035	1	0	1320
1	90	496.460032626	249.019575856	-0.009667	-0.044743	528	395	0.0	-0.085	0.0	0.035	1	0	1340
1	90	500.407830343	256.45187602	-0.008457	-0.042465	528	395	0.0	-0.085	0.0	0.035	1	0	1360
1	90	504.747145188	264.389885808	-0.007127	-0.040032	528	395	0.0	-0.085	0.0	0.035	1	0	1380
1	90	509.820554649	272.269168026	-0.005572	-0.037617	528	395	0.0	-0.085	0.0	0.035	1	0	1400
1	90	515.660685155	279.907014682	-0.003782	-0.035276	528	395	0.0	-0.085	0.0	0.035	1	0	1420
1	90	521.960848287	287.685154976	-0.001851	-0.032892	528	395	0.0	-0.085	0.0	0.035	1	0	1440
1	90	528.251223491	295.323001631	0.000077	-0.030551	528	395	0.0	-0.085	0.0	0.035	1	0	1460
1	90	534.613376835	302.915171289	0.002027	-0.028224	528	395	0.0	-0.085	0.0	0.035	1	0	1480
1	90	540.460032626	310.262642741	0.003819	-0.025972	528	395	0.0	-0.085	0.0	0.035	1	0	1500
1	90	545.722675367	317.261011419	0.005432	-0.023827	528	395	0.0	-0.085	0.0	0.035	1	0	1521
1	90	550.146818923	324.092985318	0.006788	-0.021733	528	395	0.0	-0.085	0.0	0.035	1	0	1540
1	90	553.292006525	330.455138662	0.007752	-0.019783	528	395	0.0	-0.085	0.0	0.035	1	0	1560
1	90	555.543230016	336.539967374	0.008442	-0.017918	528	395	0.0	-0.085	0.0	0.035	1	0	1580
1	90	556.185970636	342.719412724	0.008639	-0.016024	528	395	0.0	-0.085	0.0	0.035	1	0	1600
1	90	556.133768352	348.318107667	0.008623	-0.014308	528	395	0.0	-0.085	0.0	0.035	1	0	1620
1	90	555.474714519	353.433931485	0.008421	-0.012740	528	395	0.0	-0.085	0.0	0.035	1	0	1640
1	90	553.745513866	358.24959217	0.007891	-0.011264	528	395	0.0	-0.085	0.0	0.035	1	0	1660
1	90	551.194127243	363.07177814	0.007109	-0.009786	528	395	0.0	-0.085	0.0	0.035	1	0	1680
1	90	547.79771615	367.600326264	0.006068	-0.008398	528	395	0.0	-0.085	0.0	0.035	1	0	1700
1	90	543.918433931	372.040783034	0.004879	-0.007037	528	395	0.0	-0.085	0.0	0.035	1	0	1720
1	90	539.278955954	376.295269168	0.003457	-0.005733	528	395	0.0	-0.085	0.0	0.035	1	0	1740
1	90	534.75040783	380.168026101	0.002069	-0.004546	528	395	0.0	-0.085	0.0	0.035	1	0	1760
1	90	530.411092985	383.760195759	0.000739	-0.003445	528	395	0.0	-0.085	0.0	0.035	1	0	1781
1	90	526.381729201	386.960848287	-0.000496	-0.002464	528	395	0.0	-0.085	0.0	0.035	1	0	1800
1	90	522.688417618	390.076672104	-0.001628	-0.001509	528	395	0.0	-0.085	0.0	0.035	1	0	1820
1	90	519.412724307	393.20228385	-0.002632	-0.000551	528	395	0.0	-0.085	0.0	0.035	1	0	1840
1	90	516.926590538	396.027732463	-0.003394	0.000315	528	395	0.0	-0.085	0.0	0.035	1	0	1860
1	90	514.929853181	398.960848287	-0.004006	0.001214	528	395	0.0	-0.085	0.0	0.035	1	0	1880
1	90	514.150081566	401.887438825	-0.004245	0.002111	528	395	0.0	-0.085	0.0	0.035	1	0	1900
1	90	514.042414356	405.424143556	-0.004278	0.003195	528	395	0.0	-0.085	0.0	0.035	1	0	1920
1	90	515.269168026	408.853181077	-0.003902	0.004246	528	395	0.0	-0.085	0.0	0.035	1	0	1940
1	90	516.903752039	413.097879282	-0.003401	0.005547	528	395	0.0	-0.085	0.0	0.035	1	0	1960
1	90	519.389885808	417.959216966	-0.002639	0.007037	528	395	0.0	-0.085	0.0	0.035	1	0	1980
1	90	522.616639478	423.03588907	-0.001650	0.008593	528	395	0.0	-0.085	0.0	0.035	1	0	2000
1	90	526.375203915	428.331158238	-0.000498	0.010216	528	395	0.0	-0.085	0.0	0.035	1	0	2020
1	90	530.254486134	433.851549755	0.000691	0.011908	528	395	0.0	-0.085	0.0	0.035	1	0	2040
1	90	533.934747145	439.698205546	0.001819	0.013700	528	395	0.0	-0.085	0.0	0.035	1	0	2060
1	90	537.239804241	445.358890701	0.002832	0.015435	528	395	0.0	-0.085	0.0	0.035	1	0	2081
1	90	540.54812398	450.52365416	0.003846	0.017018	528	395	0.0	-0.085	0.0	0.035	1	0	2100
1	90	543.660685155	455.185970636	0.004800	0.018447	528	395	0.0	-0.085	0.0	0.035	1	0	2120
1	90	546.515497553	459.23817292	0.005675	0.019689	528	395	0.0	-0.085	0.0	0.035	1	0	2140
1	90	548.91680261	462.676998369	0.006411	0.020743	528	395	0.0	-0.085	0.0	0.035	1	0	2160
1	90	550.949429038	465.600326264	0.007034	0.021639	528	395	0.0	-0.085	0.0	0.035	1	0	2180
1	90	552.146818923	467.897226754	0.007401	0.022343	528	395	0.0	-0.085	0.0	0.035	1	0	2200
1	90	552.463295269	469.769983687	0.007498	0.022917	528	395	0.0	-0.085	0.0	0.035	1	0	2220
1	90	551.210440457	471.626427406	0.007114	0.023486	528	395	0.0	-0.085	0.0	0.035	1	0	2240
1	90	549.207177814	472.957585644	0.006500	0.023894	528	395	0.0	-0.085	0.0	0.035	1	0	2260
1	90	546.424143556	474.282218597	0.005647	0.024300	528	395	0.0	-0.085	0.0	0.035	1	0	2280
1	90	543.406199021	474.983686786	0.004722	0.024515	528	395	0.0	-0.085	0.0	0.035	1	0	2300
1	90	539.455138662	476.311582382	0.003511	0.024922	528	395	0.0	-0.085	0.0	0.035	1	0	2320
1	90	535.1908646	477.75040783	0.002204	0.025363	528	395	0.0	-0.085	0.0	0.035	1	0	2340
1	90	530.737357259	479.199021207	0.000839	0.025807	528	395	0.0	-0.085	0.0	0.035	1	0	2360
