trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	135.2	130	0	0	-8.009	7.9534	-8.1632	9.1267	1	2088	1
140	82.38	90	0	0	1.5209	11.368	-1.3508	11.133	1	2069	1
141	60.043	50	0	0	5.7667	10.005	4.9851	9.012	1	2089	1
142	109.4	90	0	0	-3.706	10.525	-5.6622	10.302	1	2049	1
143	72.154	50	0	0	3.5693	11.087	1.6504	10.646	1	2189	1
144	146.93	130	0	0	-9.4807	6.1738	-16.476	-7.5	1	2009	0
145	49.819	50	0	0	7.5991	8.9983	5.9141	7.6073	1	2049	1
146	84.304	90	0	0	1.1623	11.653	-1.8272	11.191	1	2129	1
147	133.49	130	0	0	-7.9486	8.3786	-9.3065	7.9513	1	2029	1
148	121.24	130	0	0	-5.8195	9.5954	-5.3287	9.9007	1	2189	1
149	65.22	50	0	0	4.796	10.389	3.1272	9.614	1	2264	1
150	112.17	90	0	0	-4.2425	10.413	-5.8765	10.445	1	2109	1
151	59.612	90	0	0	6.0181	10.262	5.0566	9.1267	1	2249	1
152	125.25	130	0	0	-6.5611	9.2826	-6.6864	10.302	1	1949	1
153	48.788	50	0	0	7.7164	8.8106	6.1999	7.7507	1	1949	1
154	93.183	90	0	0	-0.6259	11.257	-1.6129	11.277	1	1909	1
155	135.62	130	0	0	-8.0083	7.8373	-9.1874	7.808	1	1910	1
156	73.366	50	0	0	3.4452	11.532	3.4131	9.4993	1	2149	1
283	79.601	90	0	0	2.0509	11.175	2.3174	10.388	2	2150	1
284	133.24	130	0	0	-7.7972	8.2926	-8.5919	8.2953	2	2050	1
285	60.426	50	0	0	5.7278	10.093	4.2944	9.528	2	1949	1
286	106.44	90	0	0	-3.2027	10.856	-5.0429	10.359	2	2070	1
287	134.72	130	0	0	-7.7916	7.8692	-16.214	-1.738	2	2050	0
288	75.174	50	0	0	3.0255	11.43	2.4365	10.617	2	2049	1
289	44.545	50	0	0	8.2763	8.1459	8.7962	5.5147	2	2089	1
290	120.62	130	0	0	-5.661	9.5655	-9.3304	8.2667	2	1989	1
291	80.999	90	0	0	1.776	11.212	1.6028	9.958	2	2109	1
292	64.24	50	0	0	4.9201	10.196	5.1042	8.754	2	2009	1
293	108.81	90	0	0	-3.5698	10.482	-2.8276	10.847	2	1989	1
294	132.87	130	0	0	-8.0174	8.6368	-8.9254	7.5787	2	2089	1
295	47.186	50	0	0	8.0223	8.659	7.0098	7.2347	2	2109	1
296	77.845	90	0	0	2.4905	11.563	1.1026	10.359	2	2149	1
297	109.71	130	0	0	-3.8841	10.844	-4.8999	10.388	2	2049	1
298	108.36	130	0	0	-3.6368	10.957	-4.757	10.273	2	2089	1
299	59.896	50	0	0	5.9672	10.292	3.8418	9.012	2	2109	1
300	111.17	90	0	0	-4.1093	10.613	-6.2576	9.1553	2	2129	1
427	50.288	50	0	0	7.5317	9.0681	7.0574	6.7473	3	2314	1
428	87.183	90	0	0	0.5714	11.612	1.8172	10.531	3	2229	1
429	135.99	130	0	0	-8.1105	7.8346	-8.6396	8.9833	3	2189	1
430	97.279	90	0	0	-1.4429	11.296	-1.589	10.818	3	2129	1
431	72.887	50	0	0	3.4309	11.143	3.0796	9.6713	3	2089	1
432	139.63	130	0	0	-8.8597	7.5324	-8.0679	5.9733	3	2197	1
433	97.223	130	0	0	-1.4793	11.673	-0.46952	11.477	3	2110	1
434	66.481	50	0	0	4.7596	10.936	3.7465	10.101	3	2130	1
435	92.643	90	0	0	-0.5257	11.39	-1.6843	10.273	3	2070	1
436	61.464	50	0	0	5.6731	10.433	3.6989	9.1553	3	2150	1
437	119.08	90	0	0	-5.3932	9.696	-9.0207	9.0407	3	2009	1
438	141.66	130	0	0	-9.0303	7.1408	-12.213	3.5653	3	2069	1
439	67.595	90	0	0	4.367	10.592	4.2706	9.7287	3	1988	1
440	57.065	50	0	0	6.2917	9.7123	8.0102	5.9447	3	2029	1
441	124.84	130	0	0	-6.5993	9.4802	-9.9497	6.69	3	1929	1
442	90.228	90	0	0	-0.0449	11.282	-1.994	10.732	3	2049	1
443	64.074	50	0	0	5.0075	10.301	5.9379	8.6393	3	2069	1
444	138.27	130	0	0	-8.5652	7.6394	-11.593	3.7373	3	2119	1
571	71.528	90	0	0	3.6377	10.89	4.5564	9.4133	4	2110	1
572	134.62	130	0	0	-7.7952	7.9002	-11.117	4.6547	4	1990	1
573	71.229	50	0	0	3.6658	10.786	5.009	8.6967	4	1930	1
574	80.923	50	0	0	1.8191	11.386	2.1983	10.732	4	2030	1
575	129.18	130	0	0	-6.9737	8.5564	-9.6162	7.808	4	1930	1
576	106.46	90	0	0	-3.1716	10.737	-5.0905	10.531	4	1909	1
577	93.454	130	0	0	-0.6964	11.54	-1.327	11.076	4	1989	1
578	80.52	90	0	0	1.9588	11.731	0.74527	10.331	4	2009	1
579	58.701	50	0	0	6.0574	9.9632	4.8184	8.41	4	2029	1
580	70.653	50	0	0	3.832	10.914	1.3408	10.589	4	2069	1
581	133.01	130	0	0	-7.7953	8.3569	-11.95	3.4507	4	2717	1
582	106.29	90	0	0	-3.1499	10.78	-7.0675	9.5567	4	1949	1
583	53.811	50	0	0	6.5856	9.0018	3.6512	9.098	4	1929	1
584	105.41	130	0	0	-3.0263	10.978	-5.4478	10.216	4	1989	1
585	88.362	90	0	0	0.3304	11.553	-2.1607	10.961	4	1969	1
586	69.236	50	0	0	4.1766	11.016	1.2693	10.015	4	2049	1
587	130.61	130	0	0	-7.4928	8.7379	-9.7115	5.6007	4	2009	1
588	109.93	90	0	0	-3.8171	10.528	-7.0437	7.4927	4	1969	1
