Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	45	528.763458401	118.468189233	0.000234	-0.084757	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
100	45	528.897226754	118.383360522	0.000275	-0.084783	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
100	45	529.35725938	118.383360522	0.000416	-0.084783	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
100	45	530.277324633	118.383360522	0.000698	-0.084783	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
100	45	531.468189233	118.2137031	0.001063	-0.084835	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
100	45	532.482871126	118.301794454	0.001374	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
100	45	533.45187602	118.562805873	0.001671	-0.084728	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
100	45	534.329526917	118.735725938	0.001940	-0.084675	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
100	45	535.15497553	118.650897227	0.002193	-0.084701	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
100	45	535.794453507	118.396411093	0.002389	-0.084779	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
100	45	536.159869494	118.311582382	0.002501	-0.084805	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
100	45	536.296900489	118.22675367	0.002543	-0.084831	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
100	45	536.159869494	118.311582382	0.002501	-0.084805	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
100	45	535.657422512	118.481239804	0.002347	-0.084753	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
100	45	534.88091354	118.823817292	0.002109	-0.084648	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
100	45	534.150081566	118.993474715	0.001885	-0.084596	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
100	45	533.145187602	119.33278956	0.001577	-0.084492	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
100	45	531.461663948	120.102773246	0.001061	-0.084256	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
