trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	136.61	130	0	0	-8.0583	7.618	-6.8055	10.273	1	2300	1
140	87.251	50	0	0	0.5424	11.297	-0.66007	12.767	1	2229	1
141	42.57	90	0	0	8.303	7.6271	6.8907	8.754	1	2189	1
142	88.198	50	0	0	0.3553	11.293	0.72146	11.993	1	2209	1
143	137.08	130	0	0	-8.1539	7.5811	-9.8782	7.636	1	2231	1
144	45.079	90	0	0	7.8689	7.8906	7.7482	7.206	1	2249	1
145	44.203	90	0	0	7.9189	7.7015	7.6529	7.6933	1	2229	1
146	135.89	130	0	0	-7.9292	7.6875	-9.0683	8.2953	1	2209	1
147	88.213	50	0	0	0.3496	11.206	-0.99354	11.391	1	2330	1
148	135.3	130	0	0	-7.9041	7.8216	-8.2823	10.273	1	2230	1
149	43.238	50	0	0	8.1675	7.6801	7.9864	8.5533	1	2210	1
150	87.664	90	0	0	0.4537	11.124	1.7695	11.621	1	2329	1
151	44.684	130	0	0	7.874	7.7875	6.5334	8.84	1	2330	1
152	136.71	50	0	0	-8.0724	7.6045	-8.8063	8.5247	1	2290	1
153	87.713	90	0	0	0.448	11.22	-1.5414	11.535	1	2309	1
154	87.857	50	0	0	0.4219	11.277	0.10215	13.025	1	2349	1
155	134.8	130	0	0	-7.8203	7.8757	-8.3061	9.614	1	2309	1
156	44.851	90	0	0	7.9194	7.8784	6.9383	9.27	1	2329	1
283	135.08	130	0	0	-7.8313	7.8098	-7.4248	10.388	2	2176	1
284	47.447	50	0	0	7.7043	8.3923	7.8197	9.8147	2	2290	1
285	87.965	90	0	0	0.4042	11.373	1.3169	12.739	2	2309	1
286	87.99	90	0	0	0.393	11.2	0.79291	12.882	2	2228	1
287	45.053	50	0	0	7.95	7.9646	7.1289	7.6073	2	2190	1
288	135.24	130	0	0	-7.8642	7.7985	-8.9969	8.926	2	2249	1
289	134.92	50	0	0	-7.8125	7.8351	-9.2589	9.0693	2	2229	1
290	44.715	90	0	0	7.9801	7.901	7.2718	9.4133	2	2229	1
291	87.579	130	0	0	0.4753	11.242	0.95965	12.251	2	2469	1
292	135.48	50	0	0	-7.9783	7.8458	-5.9004	10.273	2	3545	1
293	87.767	130	0	0	0.4364	11.194	-1.065	11.764	2	2249	1
294	45.378	90	0	0	7.9613	8.067	5.3662	9.614	2	2249	1
295	135.62	90	0	0	-7.8928	7.7227	-8.6634	9.0693	2	2269	1
296	43.34	50	0	0	8.2234	7.7602	8.439	7.2633	2	2289	1
297	87.628	130	0	0	0.4628	11.172	0.93583	11.678	2	2429	1
298	42.525	90	0	0	8.299	7.6114	8.6533	6.432	2	2249	1
299	136.69	50	0	0	-8.1599	7.6913	-8.5681	9.2987	2	2269	1
300	87.601	130	0	0	0.4669	11.143	1.0073	11.449	2	2329	1
427	136.34	130	0	0	-8.0743	7.7051	-7.3057	9.9867	3	2299	1
428	45.116	50	0	0	8.0098	8.0423	4.9375	10.732	3	2936	1
429	87.481	90	0	0	0.493	11.207	0.5309	11.821	3	2229	1
430	44.818	130	0	0	7.9964	7.9458	7.3909	8.238	3	2430	1
431	135.26	50	0	0	-7.9615	7.8896	-8.3299	9.8433	3	2209	1
432	88.384	90	0	0	0.3193	11.318	-1.8034	12.337	3	2270	1
433	87.066	90	0	0	0.5738	11.195	-1.851	12.366	3	2350	1
434	135.14	50	0	0	-7.8922	7.8538	-8.1394	9.5567	3	2309	1
435	43.827	130	0	0	8.0387	7.716	9.487	7.4067	3	2269	1
436	87.56	50	0	0	0.4745	11.137	2.103	12.968	3	2409	1
437	43.941	90	0	0	7.9696	7.6802	8.4866	8.496	3	2269	1
438	135.94	130	0	0	-7.9832	7.7245	-7.8535	10.273	3	2229	1
439	134.82	90	0	0	-7.8826	7.932	-9.2113	8.7827	3	2349	1
440	87.377	50	0	0	0.5149	11.24	1.4837	12.968	3	2349	1
441	45.181	130	0	0	7.9475	7.9979	8.5581	7.292	3	2409	1
442	87.981	130	0	0	0.3968	11.258	1.0311	12.681	3	2349	1
443	135.38	90	0	0	-7.9293	7.8246	-8.711	9.2127	3	2369	1
444	45.281	50	0	0	7.9472	8.0254	7.7006	8.41	3	2329	1
571	42.798	90	0	0	8.2001	7.5929	6.5572	9.0693	4	2209	1
572	87.895	130	0	0	0.4077	11.092	1.5075	11.563	4	2109	1
573	135.66	50	0	0	-7.9404	7.7589	-8.2823	10.359	4	2189	1
574	45.646	130	0	0	7.8839	8.0637	7.6053	7.6647	4	2189	1
575	135.4	90	0	0	-7.9111	7.8011	-8.4729	9.1267	4	2229	1
576	88.332	50	0	0	0.3237	11.117	0.07833	12.079	4	2169	1
577	87.93	130	0	0	0.4099	11.338	-1.4938	12.567	4	2249	1
578	45.555	50	0	0	7.9193	8.0741	6.3905	9.9293	4	2189	1
579	134.62	90	0	0	-7.8931	7.9975	-9.116	9.184	4	2209	1
580	87.663	50	0	0	0.465	11.393	0.45944	11.678	4	2169	1
581	135.2	90	0	0	-7.8761	7.8213	-8.449	9.2127	4	2210	1
582	45.773	130	0	0	7.9763	8.1945	7.0098	8.84	4	2249	1
583	87.612	130	0	0	0.4641	11.13	1.6742	11.105	4	2209	1
584	135.7	90	0	0	-7.9601	7.7674	-8.3538	9.5567	4	2250	1
585	43.023	50	0	0	8.2765	7.7242	9.749	7.206	4	2250	1
586	135.12	90	0	0	-7.9	7.8669	-8.3061	9.2413	4	2169	1
587	42.747	130	0	0	8.2628	7.6372	7.8673	8.0087	4	2329	1
588	87.524	50	0	0	0.4836	11.185	1.7219	11.477	4	2230	1
