Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	73.9844977408	90	0.0	-0.085	0.031437	0.024522	877	573	1	4491
74	64.3255094315	50	0.0	-0.085	0.049591	0.018160	639	527	1	3809
75	90.7869456903	130	0.0	-0.085	-0.001555	0.028209	840	565	1	2370
76	71.8517068441	90	0.0	-0.085	0.036225	0.025515	625	571	1	2449
77	68.5756623881	50	0.0	-0.085	0.043587	0.026082	659	553	1	2888
78	67.7341629288	130	0.0	-0.085	0.046119	0.027641	627	512	1	2461
79	64.0240011279	130	0.0	-0.085	0.052624	0.023010	596	541	1	2688
80	63.8344945048	50	0.0	-0.085	0.057267	0.031559	629	565	1	2748
81	62.2771308545	90	0.0	-0.085	0.057595	0.024596	658	526	1	2549
82	73.5082427072	90	0.0	-0.085	0.033315	0.027529	740	611	1	2510
83	59.753819099	50	0.0	-0.085	0.059956	0.017824	600	527	1	2649
84	88.9187173473	130	0.0	-0.085	0.002276	0.035588	825	604	1	2749
85	51.1836630365	50	0.0	-0.085	0.073207	0.005998	533	499	1	2669
86	64.6273786035	90	0.0	-0.085	0.049855	0.020124	607	571	1	2530
87	72.5938063003	130	0.0	-0.085	0.035886	0.029469	606	541	1	2410
88	83.3542414104	130	0.0	-0.085	0.014110	0.036102	788	597	1	2440
89	59.4458806235	50	0.0	-0.085	0.060605	0.017665	571	487	1	2489
90	87.7995397613	90	0.0	-0.085	0.004983	0.044684	769	599	1	3249
145	75.7947514515	130	0.0	-0.085	0.028309	0.026833	608	571	2	2970
146	98.5164295222	90	0.0	-0.085	-0.017267	0.030310	802	601	2	2329
147	65.596372064	50	0.0	-0.085	0.048776	0.022508	570	526	2	2409
148	79.6203479304	50	0.0	-0.085	0.021600	0.032925	629	546	2	2249
149	102.725748791	130	0.0	-0.085	-0.025942	0.029873	813	590	2	2170
150	63.2981647021	90	0.0	-0.085	0.051852	0.018088	526	528	2	2229
151	104.240244375	90	0.0	-0.085	-0.028687	0.028036	843	615	2	2250
152	61.3508959261	130	0.0	-0.085	0.057469	0.020191	527	570	2	2210
153	49.0848270868	50	0.0	-0.085	0.074213	0.000628	433	444	2	2270
154	55.7682722781	50	0.0	-0.085	0.064530	0.009840	494	522	2	2270
155	124.553795435	130	0.0	-0.085	-0.064585	0.008783	1159	481	2	2349
156	66.8214164635	90	0.0	-0.085	0.046474	0.023544	545	525	2	2190
157	57.2323623121	130	0.0	-0.085	0.066110	0.017710	523	484	2	2169
158	53.171099011	90	0.0	-0.085	0.072381	0.011652	492	500	2	2309
159	53.5216003993	50	0.0	-0.085	0.070042	0.009731	510	488	2	2329
160	63.6900395041	50	0.0	-0.085	0.053604	0.023412	552	554	2	2349
161	117.918359102	130	0.0	-0.085	-0.054561	0.017968	1121	514	2	2289
162	78.1107874999	90	0.0	-0.085	0.024122	0.029574	801	594	2	2209
217	96.941552034	90	0.0	-0.085	-0.013876	0.028972	992	582	3	2330
218	50.8042486894	50	0.0	-0.085	0.073692	0.005369	539	514	3	2109
219	123.776683731	130	0.0	-0.085	-0.064973	0.012141	1068	515	3	2149
220	84.8095793641	130	0.0	-0.085	0.010654	0.032285	792	580	3	2169
221	72.175238503	50	0.0	-0.085	0.037267	0.030901	685	585	3	2209
222	77.0065401479	90	0.0	-0.085	0.026707	0.030741	679	607	3	2149
223	67.2352031736	130	0.0	-0.085	0.047292	0.027697	670	548	3	2109
224	44.7675214298	90	0.0	-0.085	0.080794	-0.004859	470	487	3	2149
225	47.7085830798	50	0.0	-0.085	0.080168	0.003130	447	509	3	2129
226	83.459002184	90	0.0	-0.085	0.013295	0.030951	708	591	3	2170
227	134.650065364	130	0.0	-0.085	-0.080389	-0.003623	1080	528	3	2269
228	72.3650725885	50	0.0	-0.085	0.034533	0.023632	654	541	3	2208
229	87.3906503325	130	0.0	-0.085	0.005270	0.030638	785	575	3	2190
230	59.7224412672	90	0.0	-0.085	0.057002	0.012635	536	518	3	2168
231	51.8152593254	50	0.0	-0.085	0.071437	0.005830	536	523	3	2169
232	55.6019459292	50	0.0	-0.085	0.068437	0.014957	541	524	3	2250
233	91.7264584301	90	0.0	-0.085	-0.003489	0.030754	804	604	3	2170
234	130.756316962	130	0.0	-0.085	-0.076002	0.003185	1127	506	3	2209
289	41.0358979443	50	0.0	-0.085	0.088479	-0.007989	508	517	4	2167
290	98.9238062725	130	0.0	-0.085	-0.018323	0.031691	802	592	4	2109
291	83.2353339177	90	0.0	-0.085	0.013778	0.031155	682	584	4	2130
292	55.8719617275	90	0.0	-0.085	0.063920	0.009310	544	538	4	2129
293	86.0427410797	130	0.0	-0.085	0.008180	0.033247	710	601	4	2150
294	75.9239194739	50	0.0	-0.085	0.027827	0.025980	654	571	4	2149
295	41.7662504961	50	0.0	-0.085	0.084371	-0.009653	410	477	4	2289
296	120.879620824	130	0.0	-0.085	-0.059401	0.014332	1111	541	4	2249
297	79.1677252764	90	0.0	-0.085	0.021827	0.029072	778	595	4	2169
298	127.58188248	130	0.0	-0.085	-0.069735	0.005612	1124	472	4	2229
299	85.4780441635	90	0.0	-0.085	0.009088	0.029911	817	611	4	2169
300	55.3686310391	50	0.0	-0.085	0.065088	0.009240	537	538	4	2169
301	71.9366319743	90	0.0	-0.085	0.037148	0.028901	621	585	4	2169
302	49.0230944776	50	0.0	-0.085	0.074809	0.001128	526	496	4	2169
303	98.4938444147	130	0.0	-0.085	-0.016672	0.026637	968	596	4	2190
304	108.133869584	130	0.0	-0.085	-0.035512	0.023432	967	570	4	2229
305	59.5186682067	50	0.0	-0.085	0.059926	0.016810	558	533	4	2149
306	114.219546458	90	0.0	-0.085	-0.046012	0.017288	1014	554	4	2269
