trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	91.344	50	0	0	-0.2649	11.293	0.50708	11.506	1	2692	1
74	95.11	130	0	0	-1.0104	11.3	0.17361	12.538	1	2249	1
75	87.697	90	0	0	0.4599	11.438	-0.064586	11.305	1	2329	1
76	138.76	90	0	0	-8.7593	7.6801	-10.116	7.464	1	2349	1
77	52.942	50	0	0	7.4812	9.907	7.0336	9.012	1	2289	1
78	110.69	130	0	0	-3.9743	10.522	-2.9706	11.391	1	2257	1
79	108.62	90	0	0	-3.6826	10.931	-2.8515	11.936	1	2309	1
80	111.78	130	0	0	-4.3121	10.792	-5.1619	10.044	1	2349	1
81	67.971	50	0	0	4.3299	10.701	4.1991	10.474	1	2290	1
82	122.74	90	0	0	-6.4906	10.094	-5.8765	9.9293	1	3400	1
83	141.57	130	0	0	-8.8829	7.0486	-8.6872	7.3207	1	2389	1
84	75.9	50	0	0	3.0355	12.085	2.7699	11.879	1	2390	1
85	127.8	130	0	0	-7.417	9.5603	-6.0909	9.6713	1	2430	1
86	53.647	90	0	0	7.0196	9.5374	7.2718	8.152	1	2410	1
87	50.608	50	0	0	7.3783	8.9851	7.9387	5.4573	1	2892	1
88	139	90	0	0	-8.9156	7.7498	-9.7829	6.7473	1	3061	1
89	62.788	50	0	0	5.5571	10.807	6.1047	7.6073	1	2429	1
90	141.34	130	0	0	-9.4488	7.5595	-10.521	6.9767	1	2209	1
145	108.5	130	0	0	-3.7415	11.18	-5.6622	10.99	2	2450	1
146	82.307	90	0	0	1.8205	13.476	2.1744	11.391	2	2990	1
147	38.912	50	0	0	9.0605	7.3141	7.4385	7.5787	2	2269	1
148	154.97	130	0	0	-10.813	5.0483	-9.6638	6.2027	2	2370	1
149	106.71	90	0	0	-3.5432	11.802	-2.1369	11.477	2	2349	1
150	74.089	50	0	0	3.27	11.471	4.6278	10.531	2	2390	1
151	56.417	90	0	0	6.5966	9.935	7.9626	7.5787	2	2449	1
152	55.978	50	0	0	6.7817	10.046	8.296	7.206	2	2330	1
153	124.12	130	0	0	-6.6565	9.8248	-5.7098	10.302	2	2653	1
154	61.11	50	0	0	5.9018	10.695	4.7708	9.184	2	2329	1
155	130.18	90	0	0	-7.6494	9.0571	-7.9965	8.5247	2	2250	1
156	147.98	130	0	0	-9.5579	5.9773	-9.9497	5.4573	2	2269	1
157	67.484	90	0	0	4.6438	11.202	4.604	9.786	2	2350	1
158	129.52	130	0	0	-7.3159	8.8694	-6.6626	8.152	2	3618	1
159	57.991	50	0	0	6.3693	10.189	5.5806	8.1807	2	3624	1
160	131.15	130	0	0	-7.6403	8.7427	-5.7813	9.786	2	2990	1
161	115.75	90	0	0	-4.9378	10.235	-3.2088	10.302	2	2249	1
162	77.841	50	0	0	2.4949	11.58	3.9133	10.302	2	2309	1
217	66.378	50	0	0	4.7535	10.869	4.5326	9.356	3	2390	1
218	124.06	130	0	0	-6.9117	10.224	-5.7336	10.101	3	2309	1
219	84.544	90	0	0	1.0828	11.337	2.6032	10.675	3	2369	1
220	131.77	130	0	0	-7.7981	8.7306	-7.4486	8.668	3	2249	1
221	112.84	90	0	0	-4.4107	10.472	-2.5656	11.133	3	2289	1
222	77.891	50	0	0	2.4016	11.194	2.7461	10.761	3	3084	1
223	111.16	130	0	0	-4.3001	11.111	-1.3985	10.732	3	2429	1
224	56.108	50	0	0	6.4419	9.5893	8.6295	7.12	3	2349	1
225	101.69	90	0	0	-2.2752	10.998	2.6032	9.9293	3	2269	1
226	100.14	90	0	0	-2.0898	11.69	1.436	11.42	3	2349	1
227	140.11	130	0	0	-8.7875	7.3439	-8.8301	8.2667	3	2247	1
228	81.255	50	0	0	1.9008	12.357	3.4607	10.216	3	2349	1
229	51.972	50	0	0	6.9987	8.949	8.2008	6.7187	3	2349	1
230	93.593	90	0	0	-0.7569	12.053	3.151	9.8147	3	2942	1
231	131.48	130	0	0	-7.5951	8.5921	-7.0675	9.614	3	2364	1
232	65.698	50	0	0	4.8375	10.713	6.057	9.614	3	2369	1
233	122.33	90	0	0	-5.9139	9.3445	-3.8995	11.019	3	2209	1
234	142.29	130	0	0	-9.2986	7.19	-8.854	6.6613	3	2289	1
289	108.71	130	0	0	-3.9018	11.524	-4.8999	10.531	4	2270	1
