trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	94.315	130	0	0	-0.9079	12.033	-3.8519	10.732	1	16520	1
47	39.497	50	0	0	9.2651	7.6368	14.251	8.238	1	13866	1
48	85.112	90	0	0	1.0245	11.98	3.294	18.271	1	7824	1
49	133.59	130	0	0	-8.3128	8.7327	-10.783	12.796	1	5446	1
50	68.687	50	0	0	4.427	11.347	7.6529	15.347	1	5384	1
51	130.06	90	0	0	-7.7814	9.2535	-6.6149	17.239	1	6838	1
52	34.495	50	0	0	9.9753	6.8545	12.584	0.38334	1	4825	1
53	83.405	90	0	0	1.3926	12.045	6.9383	12.395	1	6446	1
54	126.73	130	0	0	-7.1903	9.6347	-6.6864	11.563	1	5208	1
55	130.54	130	0	0	-7.8625	9.1917	-8.449	9.4133	1	5728	1
56	100.65	90	0	0	-2.2397	11.908	-1.3747	12.911	1	5049	1
57	76.416	50	0	0	2.8666	11.863	8.3913	15.347	1	5817	1
58	104.81	130	0	0	-3.1233	11.811	-1.4461	13.914	1	5185	1
59	68.071	90	0	0	4.5403	11.278	9.6537	13.513	1	3943	1
60	44.827	50	0	0	8.585	8.5334	15.227	7.8367	1	3893	1
61	132.47	130	0	0	-8.1786	8.9356	-10.116	6.9193	1	4197	1
62	64.141	50	0	0	5.2937	10.922	7.772	11.047	1	4129	1
63	112.9	90	0	0	-4.6931	11.11	-3.2564	15.032	1	4789	1
118	101.76	130	0	0	-2.4538	11.791	-2.78	10.589	2	5224	1
119	44.119	50	0	0	8.6167	8.3558	13.346	7.4067	2	3854	1
120	85.32	90	0	0	0.982	11.995	5.3186	14.86	2	4142	1
121	56.512	50	0	0	6.6337	10.027	11.702	10.961	2	3309	1
122	134.4	130	0	0	-8.4694	8.6479	-9.5209	8.2667	2	3469	1
123	99.671	90	0	0	-2.0325	11.927	-4.8523	14.287	2	4164	1
124	70.986	90	0	0	3.9149	11.361	7.3671	13.054	2	3670	1
125	113.18	130	0	0	-4.726	11.039	-5.2572	14.43	2	4010	1
126	71.38	50	0	0	3.8479	11.421	6.0094	12.337	2	3609	1
127	90.768	90	0	0	-0.1623	12.101	-0.18368	13.455	2	4707	1
128	75.696	50	0	0	2.9901	11.727	9.0583	13.14	2	4029	1
129	132.25	130	0	0	-8.1456	8.9687	-9.3542	6.948	2	3812	1
130	94.595	130	0	0	-0.964	11.995	-0.46952	13.914	2	6349	1
131	78.62	90	0	0	2.368	11.765	6.3667	16.064	2	3529	1
132	45.888	50	0	0	8.368	8.6316	13.703	14.029	2	2929	1
133	91.841	90	0	0	-0.3881	12.073	0.57854	17.669	2	3149	1
134	132.4	130	0	0	-8.1119	8.8838	-9.4018	9.6427	2	2969	1
135	76.893	50	0	0	2.758	11.845	5.9379	15.032	2	2889	1
190	46.403	50	0	0	8.3559	8.7754	11.988	5.5147	3	4033	1
191	76.037	90	0	0	2.9279	11.776	6.319	15.376	3	3269	1
192	119.06	130	0	0	-5.8716	10.569	-7.2819	12.423	3	2829	1
193	91.638	90	0	0	-0.3474	12.15	3.2463	15.519	3	3229	1
194	127.45	130	0	0	-7.3128	9.5483	-11.974	8.6107	3	3449	1
195	81.169	50	0	0	1.8613	11.98	3.5322	14.287	3	2909	1
196	87.309	130	0	0	0.565	12.019	-2.9706	15.261	3	4085	1
197	46.096	50	0	0	8.4351	8.764	12.822	8.8973	3	3288	1
198	87.834	90	0	0	0.454	12.002	5.6521	13.427	3	4071	1
199	65.565	50	0	0	4.9993	11.003	7.0574	11.764	3	3611	1
200	102.26	90	0	0	-2.5575	11.766	-2.8991	15.147	3	4203	1
201	128.71	130	0	0	-7.5062	9.3674	-7.4248	8.84	3	3653	1
202	92.619	130	0	0	-0.5594	12.229	-1.8987	14.774	3	3197	1
203	50.864	50	0	0	7.7475	9.5212	12.941	6.346	3	3457	1
204	95.559	90	0	0	-1.1702	12.024	-1.4699	13.857	3	3841	1
205	92.208	90	0	0	-0.4687	12.154	-2.1369	10.503	3	2899	1
206	71.961	50	0	0	3.7498	11.514	0.79291	6.0593	3	5297	0
207	134.57	130	0	0	-8.4464	8.5738	-7.8774	10.245	3	3225	1
262	77.774	90	0	0	2.5627	11.827	6.9145	11.477	4	4744	1
263	52.815	50	0	0	7.443	9.8113	15.609	9.614	4	2829	1
264	115.13	130	0	0	-5.1043	10.884	-8.5681	12.968	4	3049	1
265	92.447	90	0	0	-0.513	12.002	1.2455	17.612	4	3129	1
266	132.74	130	0	0	-8.1719	8.8448	-8.0203	11.105	4	3081	1
267	81.895	50	0	0	1.7114	12.018	5.8426	17.784	4	2749	1
268	62.515	90	0	0	5.5543	10.677	12.846	12.71	4	2950	1
269	115.01	130	0	0	-5.1262	10.988	-7.139	14.774	4	3028	1
270	64.363	50	0	0	5.2633	10.967	11.94	11.707	4	3368	1
271	93.169	90	0	0	-0.667	12.046	-3.0658	13.885	4	3119	1
272	137.87	130	0	0	-9.1086	8.2383	-7.663	12.251	4	3130	1
273	77.573	50	0	0	2.6082	11.836	7.8911	13.713	4	3189	1
274	81.856	90	0	0	1.7138	11.976	5.1281	12.681	4	4662	1
275	112.04	130	0	0	-4.5432	11.224	-5.1619	11.707	4	3460	1
276	61.199	50	0	0	5.8089	10.566	10.106	11.965	4	3218	1
277	114.4	130	0	0	-4.9573	10.929	-6.9722	12.137	4	3069	1
278	91.643	90	0	0	-0.3499	12.199	-4.0186	14.459	4	3049	1
279	67.42	50	0	0	4.6259	11.124	6.8907	13.025	4	3012	1
