Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	85.8784412661	90	0.0	-0.085	0.008261	0.029642	776	622	1	2981
140	143.311494228	130	0.0	-0.085	-0.094377	-0.014683	1095	492	1	2283
141	52.5397135376	50	0.0	-0.085	0.070938	0.007581	577	525	1	2398
142	102.35606672	50	0.0	-0.085	-0.024689	0.027704	898	584	1	2329
143	151.871103265	130	0.0	-0.085	-0.100481	-0.031283	1145	429	1	2288
144	131.979660318	90	0.0	-0.085	-0.074682	-0.001998	1105	511	1	2160
145	50.9070119432	50	0.0	-0.085	0.072450	0.004172	522	483	1	2370
146	131.232845546	130	0.0	-0.085	-0.075413	0.001044	1036	535	1	2066
147	97.738866895	90	0.0	-0.085	-0.015406	0.028366	831	599	1	2368
148	137.918986611	130	0.0	-0.085	-0.084075	-0.009083	1073	514	1	2000
149	103.307644047	90	0.0	-0.085	-0.025898	0.024491	937	581	1	2442
150	78.0190205464	50	0.0	-0.085	0.023568	0.026060	698	569	1	2796
151	126.882902734	130	0.0	-0.085	-0.068220	0.005917	1104	500	1	2496
152	46.2906269246	50	0.0	-0.085	0.077618	-0.003804	484	430	1	2264
153	101.562133621	90	0.0	-0.085	-0.023236	0.028578	873	580	1	2214
154	66.2830207102	50	0.0	-0.085	0.046787	0.021498	683	541	1	2262
155	128.879756177	90	0.0	-0.085	-0.072012	0.004310	1068	548	1	2620
156	157.093053902	130	0.0	-0.085	-0.103602	-0.041222	1152	419	1	2122
283	96.8761527077	90	0.0	-0.085	-0.013426	0.026335	659	587	2	2185
284	49.790154211	50	0.0	-0.085	0.074390	0.002998	486	457	2	1966
285	144.302737452	130	0.0	-0.085	-0.094295	-0.017249	1103	473	2	2001
286	71.9519863852	50	0.0	-0.085	0.035456	0.023812	703	560	2	2963
287	140.5889839	90	0.0	-0.085	-0.087772	-0.012875	1122	459	2	2508
288	174.785905848	130	0.0	-0.085	-0.111643	-0.074812	1218	313	2	2064
289	44.5474508895	50	0.0	-0.085	0.080263	-0.005995	492	420	2	2454
290	131.7557556	130	0.0	-0.085	-0.075163	-0.000804	1055	494	2	2351
291	98.4506848537	90	0.0	-0.085	-0.016949	0.029080	743	624	2	2194
292	147.908995918	130	0.0	-0.085	-0.095731	-0.024969	1187	471	2	2446
293	122.895301834	90	0.0	-0.085	-0.061063	0.009406	984	599	2	2536
294	89.985780543	50	0.0	-0.085	0.000028	0.027823	639	586	2	2520
295	71.1802434473	90	0.0	-0.085	0.037806	0.025929	521	539	2	2258
296	127.436915949	130	0.0	-0.085	-0.068380	0.004318	1030	582	2	2016
297	50.449593863	50	0.0	-0.085	0.073282	0.003739	488	497	2	2264
298	59.8957624452	50	0.0	-0.085	0.056758	0.012896	505	481	2	2102
299	146.742357956	130	0.0	-0.085	-0.094648	-0.022928	1184	437	2	2089
300	108.050393663	90	0.0	-0.085	-0.035461	0.023812	824	547	2	1997
427	74.2051715087	90	0.0	-0.085	0.031130	0.025049	669	560	3	1910
428	143.277820372	130	0.0	-0.085	-0.092150	-0.016258	1093	519	3	1969
429	55.8069565471	50	0.0	-0.085	0.064772	0.010334	556	487	3	1929
430	122.366571484	90	0.0	-0.085	-0.060284	0.010115	1000	592	3	1909
431	78.7223429662	50	0.0	-0.085	0.022400	0.027329	857	553	3	2153
432	142.480792619	130	0.0	-0.085	-0.089433	-0.016328	1127	432	3	1969
433	40.2282781907	50	0.0	-0.085	0.090286	-0.008626	501	463	3	1981
434	124.395399023	130	0.0	-0.085	-0.065279	0.010354	1021	550	3	2029
435	85.3456611562	90	0.0	-0.085	0.009442	0.030977	747	574	3	1969
436	61.7449714157	50	0.0	-0.085	0.056324	0.019802	486	523	3	2071
437	151.409314398	130	0.0	-0.085	-0.098885	-0.031107	1197	478	3	2009
438	118.502074653	90	0.0	-0.085	-0.055042	0.016366	917	646	3	2203
439	65.5953185322	90	0.0	-0.085	0.048091	0.020993	617	593	3	2209
440	130.306304886	130	0.0	-0.085	-0.073277	0.001386	1013	596	3	3329
441	48.6792097682	50	0.0	-0.085	0.073834	-0.001018	539	539	3	2249
442	101.997794022	90	0.0	-0.085	-0.023438	0.025288	1044	568	3	2565
443	143.236475326	130	0.0	-0.085	-0.090357	-0.017494	1158	496	3	2049
444	84.3704374064	50	0.0	-0.085	0.011112	0.027730	583	569	3	2495
571	80.2911432196	90	0.0	-0.085	0.019272	0.027641	683	597	4	1955
572	39.7717779209	50	0.0	-0.085	0.087263	-0.012368	480	462	4	1869
573	142.623901519	130	0.0	-0.085	-0.089804	-0.016399	1156	456	4	1930
574	51.6957254485	50	0.0	-0.085	0.072151	0.006345	552	523	4	1910
575	115.234712675	90	0.0	-0.085	-0.049544	0.020121	1024	592	4	1849
576	164.771058056	130	0.0	-0.085	-0.112990	-0.054240	1227	335	4	1909
577	74.8791701204	90	0.0	-0.085	0.030436	0.027638	690	604	4	1909
578	49.8190445558	50	0.0	-0.085	0.072918	0.001345	546	496	4	1869
579	137.836505194	130	0.0	-0.085	-0.082857	-0.009966	1154	482	4	1849
580	62.1445915341	50	0.0	-0.085	0.054357	0.017856	601	520	4	1989
581	137.819300731	130	0.0	-0.085	-0.084554	-0.008383	1108	509	4	1849
582	110.522110974	90	0.0	-0.085	-0.040597	0.023454	910	597	4	1869
583	71.6338745308	90	0.0	-0.085	0.036830	0.025934	634	541	4	2531
584	45.481676457	50	0.0	-0.085	0.079320	-0.004335	472	473	4	2171
585	141.739409602	130	0.0	-0.085	-0.090181	-0.013880	1163	466	4	1949
