Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	50	527.885807504	118.298531811	-0.000035	-0.084809	528	395	0.0	-0.085	0	0	1	0	19
73	50	527.748776509	118.383360522	-0.000077	-0.084783	528	395	0.0	-0.085	0	0	1	0	24
73	50	527.748776509	118.383360522	-0.000077	-0.084783	528	395	0.0	-0.085	0	0	1	0	40
73	50	527.706362153	118.556280587	-0.000090	-0.084730	528	395	0.0	-0.085	0	0	1	0	61
73	50	527.800978793	118.641109299	-0.000061	-0.084704	528	395	0.0	-0.085	0	0	1	0	81
73	50	527.716150082	118.983686786	-0.000087	-0.084599	528	395	0.0	-0.085	0	0	1	0	100
73	50	527.86949429	119.756933116	-0.000040	-0.084362	528	395	0.0	-0.085	0	0	1	0	121
73	50	528.212071778	120.703099511	0.000065	-0.084072	528	395	0.0	-0.085	0	0	1	0	141
73	50	529.386623165	121.995106036	0.000425	-0.083676	528	395	0.0	-0.085	0	0	1	0	161
73	50	531.389885808	123.632952692	0.001039	-0.083174	528	395	0.0	-0.085	0	0	1	0	180
73	50	534.048939641	126.311582382	0.001854	-0.082353	528	395	0.0	-0.085	0	0	1	0	200
73	50	537.409461664	130.298531811	0.002884	-0.081131	528	395	0.0	-0.085	0	0	1	0	220
73	50	541.409461664	135.783034258	0.004110	-0.079450	528	395	0.0	-0.085	0	0	1	0	240
73	50	547.125611746	142.530179445	0.005862	-0.077382	528	395	0.0	-0.085	0	0	1	0	260
73	50	554.120717781	150.827079935	0.008006	-0.074839	528	395	0.0	-0.085	0	0	1	0	281
73	50	562.8091354	160.275693312	0.010669	-0.071943	528	395	0.0	-0.085	0	0	1	0	300
73	50	572.887438825	170.644371941	0.013758	-0.068765	528	395	0.0	-0.085	0	0	1	0	320
73	50	583.866231648	181.95269168	0.017123	-0.065299	528	395	0.0	-0.085	0	0	1	0	341
73	50	595.164763458	195.032626427	0.020586	-0.061290	528	395	0.0	-0.085	0	0	1	0	361
73	50	606.182707993	210.269168026	0.023963	-0.056620	528	395	0.0	-0.085	0	0	1	0	381
73	50	618.261011419	227.123980424	0.027665	-0.051454	528	395	0.0	-0.085	0	0	1	0	401
73	50	631.027732463	245.544861338	0.031578	-0.045808	528	395	0.0	-0.085	0	0	1	0	420
