Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	50	526.54812398	118.125611746	-0.000445	-0.084862	528	395	0.0	-0.085	0	0	1	0	19
73	50	526.277324633	118.298531811	-0.000528	-0.084809	528	395	0.0	-0.085	0	0	1	0	24
73	50	525.908646003	118.383360522	-0.000641	-0.084783	528	395	0.0	-0.085	0	0	1	0	40
73	50	525.220228385	118.386623165	-0.000852	-0.084782	528	395	0.0	-0.085	0	0	1	0	60
73	50	524.760195759	118.386623165	-0.000993	-0.084782	528	395	0.0	-0.085	0	0	1	0	81
73	50	524.531810767	118.386623165	-0.001063	-0.084782	528	395	0.0	-0.085	0	0	1	0	100
73	50	524.352365416	118.644371941	-0.001118	-0.084703	528	395	0.0	-0.085	0	0	1	0	121
73	50	524.685154976	119.159869494	-0.001016	-0.084545	528	395	0.0	-0.085	0	0	1	0	140
73	50	525.216965742	120.275693312	-0.000853	-0.084203	528	395	0.0	-0.085	0	0	1	0	160
73	50	526.225122349	122.252854812	-0.000544	-0.083597	528	395	0.0	-0.085	0	0	1	0	181
73	50	528.026101142	125.182707993	0.000008	-0.082699	528	395	0.0	-0.085	0	0	1	0	200
73	50	530.574225122	129.241435563	0.000789	-0.081455	528	395	0.0	-0.085	0	0	1	0	220
73	50	533.781402936	135.231647635	0.001772	-0.079619	528	395	0.0	-0.085	0	0	1	0	241
73	50	537.846655791	142.735725938	0.003018	-0.077319	528	395	0.0	-0.085	0	0	1	0	260
73	50	543.295269168	152.314845024	0.004688	-0.074383	528	395	0.0	-0.085	0	0	1	0	280
73	50	549.810766721	163.747145188	0.006685	-0.070879	528	395	0.0	-0.085	0	0	1	0	301
73	50	557.438825449	177.176182708	0.009023	-0.066763	528	395	0.0	-0.085	0	0	1	0	320
73	50	565.853181077	192.83360522	0.011602	-0.061964	528	395	0.0	-0.085	0	0	1	0	340
73	50	575.177814029	210.063621533	0.014460	-0.056683	528	395	0.0	-0.085	0	0	1	0	361
73	50	584.998368679	229.003262643	0.017470	-0.050878	528	395	0.0	-0.085	0	0	1	0	380
73	50	595.791190865	249.345840131	0.020778	-0.044643	528	395	0.0	-0.085	0	0	1	0	401
73	50	607.158238173	270.755301794	0.024262	-0.038081	528	395	0.0	-0.085	0	0	1	0	420
73	50	618.835236542	292.491027732	0.027841	-0.031419	528	395	0.0	-0.085	0	0	1	0	440
73	50	630.482871126	314.15497553	0.031411	-0.024779	528	395	0.0	-0.085	0	0	1	0	461
73	50	641.79771615	335.326264274	0.034879	-0.018290	528	395	0.0	-0.085	0	0	1	0	481
73	50	652.691680261	355.277324633	0.038218	-0.012175	528	395	0.0	-0.085	0	0	1	0	500
73	50	662.329526917	374.102773246	0.041172	-0.006405	528	395	0.0	-0.085	0	0	1	0	520
73	50	670.616639478	391.241435563	0.043712	-0.001152	528	395	0.0	-0.085	0	0	1	0	541
73	50	678.03588907	406.66721044	0.045986	0.003576	528	395	0.0	-0.085	0	0	1	0	560
73	50	683.911908646	420.69004894	0.047787	0.007874	528	395	0.0	-0.085	0	0	1	0	580
73	50	688.825448613	432.592169657	0.049293	0.011522	528	395	0.0	-0.085	0	0	1	0	600
73	50	692.835236542	442.644371941	0.050522	0.014603	528	395	0.0	-0.085	0.050522	0.014603	1	0	1368
74	90	527.843393148	114.269168026	-0.000048	-0.086044	528	395	0.0	-0.085	0	0	1	0	19
74	90	527.885807504	114.099510604	-0.000035	-0.086096	528	395	0.0	-0.085	0	0	1	0	21
74	90	527.771615008	113.156606852	-0.000070	-0.086385	528	395	0.0	-0.085	0	0	1	0	40
74	90	527.145187602	111.959216966	-0.000262	-0.086752	528	395	0.0	-0.085	0	0	1	0	61
74	90	526.47634584	110.934747145	-0.000467	-0.087066	528	395	0.0	-0.085	0	0	1	0	80
74	90	525.628058728	110.168026101	-0.000727	-0.087301	528	395	0.0	-0.085	0	0	1	0	101
74	90	524.884176183	109.913539967	-0.000955	-0.087379	528	395	0.0	-0.085	0	0	1	0	120
74	90	524.610114192	110.08319739	-0.001039	-0.087327	528	395	0.0	-0.085	0	0	1	0	140
74	90	524.495921697	111.022838499	-0.001074	-0.087039	528	395	0.0	-0.085	0	0	1	0	160
74	90	524.179445351	113.244698206	-0.001171	-0.086358	528	395	0.0	-0.085	0	0	1	0	180
74	90	524.668841762	116.412724307	-0.001021	-0.085387	528	395	0.0	-0.085	0	0	1	0	200
74	90	525.236541599	121.133768352	-0.000847	-0.083940	528	395	0.0	-0.085	0	0	1	0	220
74	90	526.371941272	127.254486134	-0.000499	-0.082064	528	395	0.0	-0.085	0	0	1	0	241
74	90	527.575856444	135.398042414	-0.000130	-0.079568	528	395	0.0	-0.085	0	0	1	0	261
74	90	529.246329527	145.77324633	0.000382	-0.076388	528	395	0.0	-0.085	0	0	1	0	280
74	90	531.621533442	157.815660685	0.001110	-0.072697	528	395	0.0	-0.085	0	0	1	0	300
74	90	533.820554649	172.269168026	0.001784	-0.068267	528	395	0.0	-0.085	0	0	1	0	321
74	90	536.756933116	188.575856444	0.002684	-0.063269	528	395	0.0	-0.085	0	0	1	0	340
74	90	539.370309951	206.876019576	0.003485	-0.057660	528	395	0.0	-0.085	0	0	1	0	360
74	90	542.384991843	226.862969005	0.004409	-0.051534	528	395	0.0	-0.085	0	0	1	0	380
74	90	544.492659054	248.859706362	0.005055	-0.044792	528	395	0.0	-0.085	0	0	1	0	400
74	90	546.769983687	272.464926591	0.005753	-0.037557	528	395	0.0	-0.085	0	0	1	0	420
74	90	548.672104405	297.623164763	0.006336	-0.029846	528	395	0.0	-0.085	0	0	1	0	440
74	90	550.479608483	336.676998369	0.006890	-0.017876	528	395	0.0	-0.085	0	0	1	0	469
74	90	550.756933116	349.831973899	0.006975	-0.013844	528	395	0.0	-0.085	0	0	1	0	480
74	90	551.500815661	375.499184339	0.007203	-0.005977	528	395	0.0	-0.085	0	0	1	0	500
74	90	552.525285481	399.665579119	0.007517	0.001430	528	395	0.0	-0.085	0	0	1	0	520
74	90	553.168026101	422.161500816	0.007714	0.008325	528	395	0.0	-0.085	0	0	1	0	540
74	90	553.693311582	442.412724307	0.007875	0.014532	528	395	0.0	-0.085	0	0	1	0	561
74	90	554.045676998	463.877650897	0.007983	0.021111	528	395	0.0	-0.085	0	0	1	0	585
74	90	553.774877651	475.088091354	0.007900	0.024547	528	395	0.0	-0.085	0	0	1	0	600
74	90	553.42903752	487.71451876	0.007794	0.028417	528	395	0.0	-0.085	0.007794	0.028417	1	0	1368
75	130	527.024469821	114.784665579	-0.000299	-0.085886	528	395	0.0	-0.085	0	0	1	0	19
75	130	527.109298532	114.442088091	-0.000273	-0.085991	528	395	0.0	-0.085	0	0	1	0	21
75	130	526.861337684	113.584013051	-0.000349	-0.086254	528	395	0.0	-0.085	0	0	1	0	41
75	130	526.097879282	112.474714519	-0.000583	-0.086594	528	395	0.0	-0.085	0	0	1	0	61
75	130	525.102773246	111.365415987	-0.000888	-0.086934	528	395	0.0	-0.085	0	0	1	0	81
75	130	523.92822186	110.513866232	-0.001248	-0.087195	528	395	0.0	-0.085	0	0	1	0	101
75	130	522.577487765	109.91680261	-0.001662	-0.087378	528	395	0.0	-0.085	0	0	1	0	120
75	130	520.649265905	110.262642741	-0.002253	-0.087272	528	395	0.0	-0.085	0	0	1	0	141
75	130	518.825448613	111.123980424	-0.002812	-0.087008	528	395	0.0	-0.085	0	0	1	0	161
75	130	516.473083197	112.758564437	-0.003533	-0.086507	528	395	0.0	-0.085	0	0	1	0	181
75	130	513.184339315	115.427406199	-0.004541	-0.085689	528	395	0.0	-0.085	0	0	1	0	201
75	130	508.427406199	119.492659054	-0.005999	-0.084443	528	395	0.0	-0.085	0	0	1	0	220
75	130	503.073409462	124.706362153	-0.007640	-0.082845	528	395	0.0	-0.085	0	0	1	0	240
75	130	496.231647635	131.531810767	-0.009737	-0.080753	528	395	0.0	-0.085	0	0	1	0	260
75	130	488.055464927	139.910277325	-0.012243	-0.078185	528	395	0.0	-0.085	0	0	1	0	280
75	130	478.760195759	150.053833605	-0.015092	-0.075076	528	395	0.0	-0.085	0	0	1	0	301
75	130	468.065252855	162.373572594	-0.018370	-0.071300	528	395	0.0	-0.085	0	0	1	0	320
75	130	456.479608483	176.298531811	-0.021921	-0.067032	528	395	0.0	-0.085	0	0	1	0	340
75	130	444.779771615	191.489396411	-0.025507	-0.062376	528	395	0.0	-0.085	0	0	1	0	360
75	130	432.792822186	207.8091354	-0.029181	-0.057374	528	395	0.0	-0.085	0	0	1	0	381
75	130	419.970636215	225.4045677	-0.033111	-0.051981	528	395	0.0	-0.085	0	0	1	0	400
75	130	406.473083197	244.223491028	-0.037248	-0.046213	528	395	0.0	-0.085	0	0	1	0	420
