trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	83.71	50	0	0	1.2346	11.202	4.7334	11.005	1	2429	1
140	128.07	90	0	0	-6.8947	8.8014	-6.4856	11.206	1	2289	1
141	143.1	130	0	0	-9.1755	6.8897	-11.035	6.39	1	2269	1
142	77.93	50	0	0	2.5023	11.702	4.6619	10.862	1	2309	1
143	127.62	130	0	0	-6.7925	8.8154	-10.154	8.1673	1	2289	1
144	125.62	90	0	0	-6.582	9.1881	-6.3188	10.747	1	2244	1
145	96.328	90	0	0	-1.2707	11.459	-1.936	12.439	1	2222	1
146	116.53	130	0	0	-5.1082	10.233	-4.6753	12.295	1	2269	1
147	87.538	50	0	0	0.488	11.348	1.9465	12.095	1	2209	1
148	84.524	50	0	0	1.1084	11.562	1.7083	12.066	1	2310	1
149	87.725	90	0	0	0.4551	11.457	2.6373	12.095	1	2209	1
150	104.5	130	0	0	-2.8967	11.202	-3.4129	11.951	1	2172	1
151	80.467	50	0	0	1.9098	11.373	1.4701	12.267	1	2188	1
152	124.82	130	0	0	-6.6227	9.5201	-6.5094	11.493	1	2250	1
153	100.17	90	0	0	-2.023	11.277	-4.3894	12.983	1	2210	1
154	86.441	50	0	0	0.7153	11.501	1.6131	11.693	1	2150	1
155	121.89	130	0	0	-6.1584	9.8979	-9.2724	9.1707	1	2146	1
156	117.53	90	0	0	-5.4542	10.465	-6.5332	11.263	1	2189	1
283	81.31	50	0	0	1.6717	10.937	2.2562	11.693	2	2209	1
284	105.92	90	0	0	-3.0921	10.838	-6.2235	11.149	2	2309	1
285	112.84	130	0	0	-4.4405	10.544	-5.0802	11.55	2	2209	1
286	111.76	130	0	0	-4.1808	10.472	-4.7944	12.41	2	2209	1
287	108.21	90	0	0	-3.5374	10.75	-5.5566	11.722	2	2258	1
288	69.927	50	0	0	4.0311	11.032	7.4726	9.1133	2	2289	1
289	117.05	130	0	0	-5.276	10.332	-7.5813	10.633	2	2229	1
290	82.869	50	0	0	1.3853	11.074	1.9942	11.665	2	2229	1
291	125.02	90	0	0	-6.6154	9.4412	-7.1287	11.235	2	2189	1
292	72.25	90	0	0	3.4965	10.923	3.5186	10.833	2	2460	1
293	73.046	50	0	0	3.3479	10.982	4.6143	11.005	2	2290	1
294	112.59	130	0	0	-4.4458	10.684	-5.2708	12.009	2	2189	1
295	129.17	130	0	0	-7.2419	8.889	-9.201	8.8553	2	2254	1
296	93.748	90	0	0	-0.7692	11.743	-1.5788	12.926	2	2249	1
297	74.644	50	0	0	3.0868	11.24	3.6377	11.263	2	2249	1
298	106.82	90	0	0	-3.2926	10.893	-5.1279	11.636	2	2150	1
299	143.51	130	0	0	-9.0045	6.6595	-11.893	5.3007	2	2129	1
300	51.031	50	0	0	7.3175	9.0465	9.9975	4.5553	2	2315	0
427	132.65	130	0	0	-7.5801	8.2302	-11.035	6.5907	3	2210	1
428	111.91	90	0	0	-4.2042	10.451	-6.2235	11.177	3	2269	1
429	80.766	50	0	0	1.8795	11.561	1.0414	12.41	3	2369	1
430	45.026	50	0	0	7.9687	7.976	9.5926	6.218	3	2389	1
431	91.277	90	0	0	-0.2498	11.203	-1.8408	12.353	3	2249	1
432	130.66	130	0	0	-7.1902	8.3704	-10.773	7.3073	3	2249	1
433	68.07	50	0	0	4.3222	10.736	4.9001	10.833	3	2329	1
434	113.28	130	0	0	-4.5784	10.639	-5.8186	11.722	3	2229	1
435	118.27	90	0	0	-5.3666	9.9798	-6.5808	11.034	3	2250	1
436	79.207	50	0	0	2.2487	11.796	1.1128	11.579	3	2349	1
437	108.64	130	0	0	-3.7411	11.094	-4.5085	12.009	3	2209	1
438	107.47	90	0	0	-3.439	10.929	-5.9377	11.521	3	2270	1
439	111.91	130	0	0	-4.2617	10.598	-5.4613	11.607	3	2290	1
440	97.374	90	0	0	-1.4682	11.345	-4.4133	12.754	3	2210	1
441	83.56	50	0	0	1.2862	11.395	1.0176	12.123	3	2230	1
442	74.722	90	0	0	3.2323	11.833	2.4944	11.894	3	2349	1
443	122.55	130	0	0	-6.3362	9.9274	-9.6535	8.9127	3	2209	1
444	82.3	50	0	0	1.569	11.604	2.804	11.779	3	2230	1
571	106.52	90	0	0	-3.1884	10.747	-6.1283	11.321	4	2450	1
572	133.1	130	0	0	-7.7813	8.3153	-11.511	5.874	4	2409	1
573	54.668	50	0	0	6.6891	9.4363	9.7355	5.96	4	3633	1
574	115.18	130	0	0	-4.857	10.33	-6.9619	10.776	4	2304	1
575	82.039	50	0	0	1.6022	11.457	2.1371	11.177	4	2229	1
576	96.123	90	0	0	-1.2065	11.246	-1.5073	12.639	4	2274	1
577	74.959	90	0	0	2.9796	11.088	3.6853	11.865	4	2249	1
578	82.783	50	0	0	1.4105	11.138	2.0894	12.267	4	2169	1
579	124.69	130	0	0	-6.5555	9.4694	-8.939	9.5147	4	2209	1
580	128.2	130	0	0	-7.0962	9.0187	-10.702	7.68	4	2150	1
581	84.669	90	0	0	1.051	11.262	3.8044	11.149	4	2394	1
582	83.191	50	0	0	1.4008	11.732	1.4225	12.381	4	2350	1
583	69.014	50	0	0	4.0762	10.627	7.425	8.8553	4	2230	1
584	82.258	90	0	0	1.5737	11.575	4.3523	11.435	4	2189	1
585	127.07	130	0	0	-6.8714	9.0969	-10.583	8.2247	4	2370	1
586	106.83	130	0	0	-3.3497	11.075	-4.7229	12.152	4	2289	1
587	85.274	50	0	0	0.9509	11.501	2.28	11.378	4	2204	1
588	110.28	90	0	0	-3.9163	10.601	-5.3899	11.665	4	2129	1
