Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	87.4463626383	90	0.0	-0.085	0.005120	0.029801	728	865	1	2874
74	127.960485383	130	0.0	-0.085	-0.071979	0.007260	838	849	1	2769
75	46.1881973027	50	0.0	-0.085	0.081137	-0.000426	449	842	1	3092
76	88.7542311759	90	0.0	-0.085	0.002543	0.031940	474	832	1	2609
77	51.0731733517	50	0.0	-0.085	0.072117	0.004290	569	854	1	2629
78	115.343246874	130	0.0	-0.085	-0.050579	0.021792	994	751	1	2549
79	78.5663240471	90	0.0	-0.085	0.023545	0.031417	926	852	1	2590
80	50.3352051124	50	0.0	-0.085	0.074607	0.004977	264	648	1	2610
81	126.969563442	130	0.0	-0.085	-0.069422	0.007228	1117	660	1	2530
82	129.643055825	130	0.0	-0.085	-0.075455	0.006070	974	804	1	2609
83	77.4441214889	90	0.0	-0.085	0.025552	0.029728	715	875	1	2570
84	45.6348488916	50	0.0	-0.085	0.084428	0.001320	469	774	1	2569
85	90.7065359385	90	0.0	-0.085	-0.001425	0.030553	542	855	1	2609
86	44.6529554032	50	0.0	-0.085	0.082798	-0.003199	544	811	1	2509
87	137.431920821	130	0.0	-0.085	-0.086941	-0.005143	1055	732	1	2469
88	116.672214759	130	0.0	-0.085	-0.053129	0.020763	854	846	1	2517
89	76.9603774231	90	0.0	-0.085	0.026761	0.030550	895	844	1	2309
90	43.2289632148	50	0.0	-0.085	0.082903	-0.007070	325	648	1	2589
145	47.2503351599	50	0.0	-0.085	0.076143	-0.002628	409	770	2	2490
146	133.158606624	130	0.0	-0.085	-0.077896	-0.001929	1074	733	2	2539
147	81.3550694571	90	0.0	-0.085	0.016901	0.026163	900	842	2	2489
148	87.3292644549	90	0.0	-0.085	0.005228	0.027076	576	836	2	2450
149	132.250209808	130	0.0	-0.085	-0.078142	0.001027	1026	761	2	2330
150	43.1543245852	50	0.0	-0.085	0.082740	-0.007426	284	649	2	2390
151	96.4271274389	90	0.0	-0.085	-0.012742	0.028114	837	839	2	2449
152	134.0321915	130	0.0	-0.085	-0.080194	-0.002050	863	828	2	2429
153	40.4104214165	50	0.0	-0.085	0.085628	-0.012098	435	783	2	2309
154	95.0139629908	90	0.0	-0.085	-0.009790	0.026587	707	858	2	2529
155	132.153648378	130	0.0	-0.085	-0.075783	-0.001287	891	800	2	2289
156	41.9969924581	50	0.0	-0.085	0.085113	-0.008372	375	721	2	2209
157	52.617477897	50	0.0	-0.085	0.070045	0.006673	349	706	2	2329
158	89.4269672064	90	0.0	-0.085	0.001157	0.030681	688	832	2	2269
159	142.850555032	130	0.0	-0.085	-0.089982	-0.016825	1033	717	2	2229
160	86.5404302206	90	0.0	-0.085	0.007222	0.034462	747	846	2	2269
161	46.9691278619	50	0.0	-0.085	0.078766	-0.000625	416	767	2	2255
162	140.73522398	130	0.0	-0.085	-0.089336	-0.011971	1016	737	2	2389
217	40.6226936382	50	0.0	-0.085	0.085747	-0.011447	396	748	3	2230
218	85.9000339889	90	0.0	-0.085	0.008319	0.031057	713	819	3	2169
219	143.350076526	130	0.0	-0.085	-0.091655	-0.016807	1028	703	3	2229
220	133.26281405	130	0.0	-0.085	-0.078347	-0.001752	1018	693	3	2290
221	44.5365149478	50	0.0	-0.085	0.082434	-0.003889	431	718	3	2349
222	108.026724442	90	0.0	-0.085	-0.036247	0.026380	673	780	3	2469
223	43.7784875445	50	0.0	-0.085	0.084469	-0.004058	451	774	3	2310
224	97.1310721999	90	0.0	-0.085	-0.014131	0.027951	722	828	3	2370
225	141.390619917	130	0.0	-0.085	-0.088879	-0.014025	1040	716	3	2350
226	89.7440221337	90	0.0	-0.085	0.000522	0.031839	711	804	3	2330
227	45.9278591929	50	0.0	-0.085	0.079242	-0.003149	412	742	3	2390
228	136.270652482	130	0.0	-0.085	-0.083712	-0.004921	1036	739	3	2390
229	89.3846705246	90	0.0	-0.085	0.001259	0.032226	924	819	3	2489
230	57.1204956202	50	0.0	-0.085	0.062189	0.011205	265	592	3	2551
231	133.344174112	130	0.0	-0.085	-0.077650	-0.002727	1158	555	3	2509
232	90.3732096412	90	0.0	-0.085	-0.000768	0.032903	480	803	3	2469
233	135.72651156	130	0.0	-0.085	-0.081577	-0.005466	1078	718	3	2444
234	49.9357032487	50	0.0	-0.085	0.072873	0.001649	409	733	3	2309
289	135.688594919	130	0.0	-0.085	-0.081382	-0.005551	1014	759	4	2350
290	50.3949973872	50	0.0	-0.085	0.076456	0.007403	376	737	4	2209
291	92.6857479246	90	0.0	-0.085	-0.005289	0.027749	720	826	4	2449
292	89.789710551	90	0.0	-0.085	0.000428	0.031613	727	845	4	2310
293	135.977689913	130	0.0	-0.085	-0.082185	-0.005573	1062	738	4	2249
294	40.630835177	50	0.0	-0.085	0.088770	-0.008832	413	741	4	2370
295	135.231536527	130	0.0	-0.085	-0.081991	-0.003669	1067	719	4	2309
296	80.0409200213	90	0.0	-0.085	0.020519	0.031857	745	822	4	2369
297	49.1985576694	50	0.0	-0.085	0.075720	0.002718	403	732	4	2309
298	113.749234326	130	0.0	-0.085	-0.045462	0.018324	1115	703	4	2309
299	44.124579636	50	0.0	-0.085	0.082391	-0.005089	428	751	4	2389
300	83.2829281228	90	0.0	-0.085	0.013312	0.028029	515	783	4	2404
301	88.1496508282	90	0.0	-0.085	0.003724	0.030273	924	823	4	2549
302	52.7388162104	50	0.0	-0.085	0.068088	0.004504	598	809	4	2269
303	138.195797484	130	0.0	-0.085	-0.082778	-0.010977	1128	672	4	2289
304	76.9664039107	90	0.0	-0.085	0.025766	0.026307	1019	823	4	2309
305	138.110376618	130	0.0	-0.085	-0.083946	-0.009707	976	833	4	2269
306	44.8137699584	50	0.0	-0.085	0.079943	-0.005575	545	808	4	2471
