Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	90	529.960848287	116.412724307	0.000601	-0.085387	528	395	0.0	-0.085	0	0	1	0	19
139	90	530.505709625	116.070146819	0.000768	-0.085492	528	395	0.0	-0.085	0	0	1	0	23
139	90	531.008156607	115.897226754	0.000922	-0.085545	528	395	0.0	-0.085	0	0	1	0	40
139	90	531.331158238	115.985318108	0.001021	-0.085518	528	395	0.0	-0.085	0	0	1	0	61
139	90	531.520391517	116.15497553	0.001079	-0.085466	528	395	0.0	-0.085	0	0	1	0	81
139	90	531.435562806	116.497553018	0.001053	-0.085361	528	395	0.0	-0.085	0	0	1	0	100
139	90	531.536704731	117.013050571	0.001084	-0.085203	528	395	0.0	-0.085	0	0	1	0	120
139	90	531.324632953	117.871125612	0.001019	-0.084940	528	395	0.0	-0.085	0	0	1	0	141
139	90	530.753670473	119.244698206	0.000844	-0.084519	528	395	0.0	-0.085	0	0	1	0	160
139	90	530.600326264	120.791190865	0.000797	-0.084045	528	395	0.0	-0.085	0	0	1	0	180
139	90	530.505709625	123.029363785	0.000768	-0.083359	528	395	0.0	-0.085	0	0	1	0	200
139	90	529.203915171	126.908646003	0.000369	-0.082170	528	395	0.0	-0.085	0	0	1	0	221
139	90	528.013050571	131.753670473	0.000004	-0.080685	528	395	0.0	-0.085	0	0	1	0	240
139	90	526.398042414	138.353996737	-0.000491	-0.078662	528	395	0.0	-0.085	0	0	1	0	261
139	90	524.489396411	146.650897227	-0.001076	-0.076119	528	395	0.0	-0.085	0	0	1	0	281
139	90	522.07177814	157.114192496	-0.001817	-0.072912	528	395	0.0	-0.085	0	0	1	0	300
139	90	518.913539967	169.7862969	-0.002785	-0.069028	528	395	0.0	-0.085	0	0	1	0	320
139	90	515.781402936	184.367047308	-0.003745	-0.064559	528	395	0.0	-0.085	0	0	1	0	341
139	90	512.0	200.905383361	-0.004904	-0.059490	528	395	0.0	-0.085	0	0	1	0	360
139	90	508.4045677	219.176182708	-0.006006	-0.053890	528	395	0.0	-0.085	0	0	1	0	381
139	90	504.805872757	238.585644372	-0.007109	-0.047941	528	395	0.0	-0.085	0	0	1	0	400
139	90	501.282218597	259.254486134	-0.008189	-0.041606	528	395	0.0	-0.085	0	0	1	0	420
139	90	497.272430669	280.843393148	-0.009418	-0.034989	528	395	0.0	-0.085	0	0	1	0	441
139	90	493.670473083	302.69004894	-0.010522	-0.028293	528	395	0.0	-0.085	0	0	1	0	460
139	90	489.585644372	325.0	-0.011774	-0.021455	528	395	0.0	-0.085	0	0	1	0	480
139	90	485.908646003	347.068515498	-0.012901	-0.014691	528	395	0.0	-0.085	0	0	1	0	500
