Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	530.443719413	115.384991843	0.000749	-0.085702	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	530.991843393	115.042414356	0.000917	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	532.489396411	114.102773246	0.001376	-0.086095	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	534.766721044	112.823817292	0.002074	-0.086487	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	537.004893964	111.721044046	0.002760	-0.086825	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	539.745513866	110.45187602	0.003600	-0.087214	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	542.218597064	109.355628059	0.004358	-0.087550	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	544.649265905	108.435562806	0.005103	-0.087832	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	546.812398042	108.109298532	0.005766	-0.087932	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	548.515497553	107.783034258	0.006288	-0.088032	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	550.13050571	107.796084829	0.006783	-0.088028	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	551.102773246	108.060358891	0.007081	-0.087947	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	551.615008157	108.32137031	0.007238	-0.087867	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	552.032626427	108.497553018	0.007366	-0.087813	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	552.221859706	108.670473083	0.007424	-0.087760	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	552.221859706	108.670473083	0.007424	-0.087760	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	552.127243067	108.582381729	0.007395	-0.087787	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	552.032626427	108.497553018	0.007366	-0.087813	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
187	45	551.846655791	108.324632953	0.007309	-0.087866	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
187	45	551.709624796	108.409461664	0.007267	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
187	45	551.615008157	108.32137031	0.007238	-0.087867	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
187	45	551.615008157	108.32137031	0.007238	-0.087867	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
187	45	551.846655791	108.324632953	0.007309	-0.087866	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
187	45	551.941272431	108.409461664	0.007338	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
187	45	551.941272431	108.409461664	0.007338	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
187	45	551.941272431	108.409461664	0.007338	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
187	45	551.941272431	108.409461664	0.007338	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
187	45	551.941272431	108.409461664	0.007338	-0.087840	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
187	45	552.032626427	108.497553018	0.007366	-0.087813	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
187	45	552.313213703	108.755301794	0.007452	-0.087734	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
187	45	552.874388254	109.27406199	0.007624	-0.087575	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
187	45	553.628058728	110.389885808	0.007855	-0.087233	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
187	45	554.799347471	112.109298532	0.008214	-0.086706	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
187	45	556.117455139	114.605220228	0.008618	-0.085941	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
187	45	557.853181077	118.141924959	0.009150	-0.084857	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
187	45	560.365415987	122.2137031	0.009920	-0.083609	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	700
187	45	563.921696574	126.660685155	0.011010	-0.082246	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	720
187	45	567.918433931	132.001631321	0.012235	-0.080609	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	740
187	45	572.345840131	137.8091354	0.013592	-0.078829	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	760
