Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	59.4033623972	50	0.0	-0.085	0.062205	0.020197	382	650	1	12825
47	130.196304288	130	0.0	-0.085	-0.079261	0.008805	1100	700	1	3328
48	94.3045042946	90	0.0	-0.085	-0.009135	0.036364	869	800	1	7680
49	110.592727544	90	0.0	-0.085	-0.043209	0.030000	856	790	1	6330
50	41.2026284516	50	0.0	-0.085	0.092501	-0.004014	329	609	1	3314
51	108.086736807	130	0.0	-0.085	-0.037639	0.030247	937	768	1	3511
52	145.10563233	130	0.0	-0.085	-0.098917	-0.016009	1153	617	1	3290
53	94.0299985649	90	0.0	-0.085	-0.008511	0.035804	768	797	1	5395
54	37.1347204474	50	0.0	-0.085	0.095797	-0.012458	319	605	1	3129
55	108.070215968	90	0.0	-0.085	-0.037998	0.031460	900	779	1	3134
56	35.4607650906	50	0.0	-0.085	0.097762	-0.015368	340	609	1	3330
57	127.823077123	130	0.0	-0.085	-0.074625	0.011126	1081	698	1	3109
58	103.25195496	90	0.0	-0.085	-0.027754	0.032849	894	787	1	3820
59	118.553353235	130	0.0	-0.085	-0.058979	0.023385	959	750	1	3633
60	57.3857096707	50	0.0	-0.085	0.066802	0.019398	444	704	1	5010
61	99.9818996391	90	0.0	-0.085	-0.021133	0.035073	722	788	1	3110
62	83.8966292938	50	0.0	-0.085	0.012891	0.035557	587	725	1	3129
63	142.622941491	130	0.0	-0.085	-0.097210	-0.010739	1179	618	1	2937
118	131.804847355	130	0.0	-0.085	-0.080170	0.004650	1107	675	2	3394
119	59.1725585251	50	0.0	-0.085	0.062613	0.019920	545	762	2	2865
120	103.068787637	90	0.0	-0.085	-0.027625	0.034005	890	775	2	3259
121	119.870212914	90	0.0	-0.085	-0.061027	0.021257	916	755	2	3153
122	40.2279266853	50	0.0	-0.085	0.092311	-0.006914	343	609	2	2990
123	142.362916799	130	0.0	-0.085	-0.095362	-0.011463	1150	590	2	3570
124	59.5922909153	50	0.0	-0.085	0.062719	0.021869	424	697	2	3410
125	94.5334366021	90	0.0	-0.085	-0.009536	0.035269	896	749	2	2906
126	112.626065119	130	0.0	-0.085	-0.046217	0.025887	974	707	2	6640
127	143.686597614	130	0.0	-0.085	-0.099590	-0.011808	1197	591	2	3050
128	78.1999002414	90	0.0	-0.085	0.024565	0.032585	585	771	2	3546
129	83.0991469311	50	0.0	-0.085	0.014513	0.034914	576	725	2	3616
130	106.009706098	90	0.0	-0.085	-0.033752	0.032632	850	751	2	3376
131	46.3720415842	50	0.0	-0.085	0.083561	0.002662	347	549	2	4200
132	118.403024235	130	0.0	-0.085	-0.057902	0.022074	974	722	2	3458
133	65.1575154386	50	0.0	-0.085	0.050853	0.024842	457	685	2	3304
134	119.869329597	90	0.0	-0.085	-0.059809	0.019140	880	766	2	3343
135	144.211638479	130	0.0	-0.085	-0.098862	-0.013729	1162	559	2	3308
190	103.183603329	90	0.0	-0.085	-0.028738	0.037683	780	784	3	3021
191	142.992917408	130	0.0	-0.085	-0.100657	-0.009130	1133	593	3	3099
192	82.9728690827	50	0.0	-0.085	0.014762	0.034758	525	740	3	3081
193	42.0874298903	50	0.0	-0.085	0.091078	-0.002741	364	582	3	3283
194	107.555145962	90	0.0	-0.085	-0.036333	0.029848	856	755	3	2813
195	114.490063238	130	0.0	-0.085	-0.050049	0.024873	945	727	3	2877
196	150.078452029	130	0.0	-0.085	-0.105361	-0.024362	1200	519	3	2808
197	75.8945032824	90	0.0	-0.085	0.029488	0.032349	609	750	3	2881
198	66.5446296165	50	0.0	-0.085	0.048292	0.026301	422	682	3	3715
199	112.595306561	90	0.0	-0.085	-0.046406	0.026509	872	774	3	3911
200	37.4335286359	50	0.0	-0.085	0.096817	-0.010888	366	586	3	2971
201	137.781092475	130	0.0	-0.085	-0.089149	-0.004111	1132	552	3	3379
202	109.70747634	130	0.0	-0.085	-0.041060	0.029629	896	770	3	3385
203	49.3746127454	50	0.0	-0.085	0.079777	0.007994	353	577	3	3623
204	99.002521953	90	0.0	-0.085	-0.019208	0.036240	751	727	3	3318
205	79.4208010938	50	0.0	-0.085	0.022058	0.033103	597	739	3	3568
206	116.444097319	90	0.0	-0.085	-0.053868	0.023307	907	738	3	3332
207	114.582275064	130	0.0	-0.085	-0.050028	0.024360	854	684	3	4769
262	55.6939486917	50	0.0	-0.085	0.070840	0.018824	417	608	4	3140
263	95.6148930884	90	0.0	-0.085	-0.012013	0.037191	848	741	4	2842
264	106.536889264	130	0.0	-0.085	-0.034771	0.032108	933	764	4	2604
265	31.6025941386	50	0.0	-0.085	0.102263	-0.022081	365	574	4	2622
266	116.450529791	90	0.0	-0.085	-0.054116	0.023775	914	740	4	4724
267	147.928439723	130	0.0	-0.085	-0.102265	-0.020920	1203	558	4	3094
268	107.349411447	130	0.0	-0.085	-0.036455	0.031689	943	749	4	2849
269	62.1879114888	50	0.0	-0.085	0.057152	0.023343	476	673	4	2869
270	116.909658281	90	0.0	-0.085	-0.055089	0.023541	914	770	4	2989
271	127.100710324	130	0.0	-0.085	-0.073193	0.011776	1104	677	4	2709
272	49.9257604705	50	0.0	-0.085	0.079349	0.009316	388	632	4	3666
273	116.654246014	90	0.0	-0.085	-0.053869	0.022320	874	749	4	2589
