trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	35.372	50	0	0	9.3505	6.6382	11.676	6.1867	1	4553	1
74	79.763	90	0	0	2.0168	11.168	3.7208	12.235	1	3717	1
75	107.66	130	0	0	-3.378	10.611	-2.6629	11.633	1	3713	1
76	141.63	130	0	0	-8.7273	6.9106	-9.7372	5.556	1	3461	1
77	106.22	90	0	0	-3.1498	10.828	-3.5204	12.035	1	4243	1
78	64.195	50	0	0	4.9893	10.318	6.6506	9.4833	1	3773	1
79	32.94	50	0	0	9.5129	6.1635	11.367	5.814	1	3885	1
80	103.68	90	0	0	-2.6591	10.923	-3.6871	12.035	1	4111	1
81	109.13	130	0	0	-3.7148	10.709	-4.6875	11.92	1	3939	1
82	42.915	50	0	0	8.2331	7.6548	9.628	7.3047	1	4705	1
83	79.496	90	0	0	2.0501	11.057	2.8394	12.665	1	4039	1
84	137.73	130	0	0	-8.2372	7.4882	-10.142	6.932	1	2993	1
85	116.4	130	0	0	-5.0643	10.201	-6.0452	11.805	1	2970	1
86	68.103	50	0	0	4.1941	10.435	5.4119	11.261	1	3750	1
87	104.93	90	0	0	-2.9414	11.032	-2.9249	12.78	1	3070	1
88	83.028	90	0	0	1.3698	11.201	3.292	12.493	1	3654	1
89	39.794	50	0	0	8.8435	7.3665	11.319	6.7027	1	3342	1
90	137.31	130	0	0	-8.3024	7.6574	-9.7134	6.1293	1	2934	1
145	50.743	50	0	0	7.047	8.6229	6.8649	10.917	2	3376	1
146	128.92	130	0	0	-7.0511	8.7316	-9.0465	8.9387	2	2869	1
147	73.342	90	0	0	3.2558	10.881	3.6969	11.719	2	3386	1
148	71.031	50	0	0	3.6804	10.707	4.2924	11.977	2	2889	1
149	106.42	90	0	0	-3.2086	10.889	-4.3064	11.691	2	3137	1
150	105.71	130	0	0	-3.0006	10.668	-3.306	12.035	2	3121	1
151	129.14	130	0	0	-7.0303	8.6397	-8.0937	9.6267	2	2890	1
152	74.749	90	0	0	2.9681	10.886	4.8879	11.719	2	2971	1
153	63.13	50	0	0	5.0729	10.012	5.6263	11.146	2	2869	1
154	99.886	90	0	0	-1.9252	11.046	-0.61438	12.923	2	2829	1
155	66.722	50	0	0	4.4363	10.312	6.722	10.859	2	2869	1
156	118.69	130	0	0	-5.3391	9.7573	-5.1163	12.235	2	2770	1
157	61.151	50	0	0	5.4439	9.8825	7.0078	10.114	2	2815	1
158	89.412	90	0	0	0.1147	11.177	0.60041	12.751	2	2749	1
159	111.12	130	0	0	-4.0857	10.58	-4.4255	12.321	2	2709	1
160	138.24	130	0	0	-8.3178	7.4255	-8.9512	9.0247	2	2709	1
161	66.683	50	0	0	4.4899	10.417	6.9126	10.601	2	2803	1
162	112.62	90	0	0	-4.2933	10.305	-4.9019	11.977	2	2689	1
217	93.459	90	0	0	-0.6817	11.28	-1.8292	12.264	3	3895	1
218	137.87	130	0	0	-8.3711	7.5718	-10.38	7.5913	3	2830	1
219	68.843	50	0	0	4.1352	10.685	4.8165	11.232	3	2689	1
220	113.13	90	0	0	-4.4151	10.336	-2.8058	11.347	3	2694	1
221	112.01	130	0	0	-4.2098	10.414	-4.6399	11.347	3	2689	1
222	34.725	50	0	0	9.2737	6.4275	11.01	5.4987	3	3485	1
223	131.2	130	0	0	-7.429	8.4865	-9.0465	7.9927	3	2589	1
224	111.02	90	0	0	-4.0107	10.439	-2.8772	12.149	3	3139	1
225	70.762	50	0	0	3.7639	10.786	5.8645	10.773	3	2689	1
226	114.84	130	0	0	-4.7453	10.249	-3.2822	12.637	3	2770	1
227	36.464	50	0	0	9.1923	6.793	11.295	5.8427	3	2569	1
228	112.82	90	0	0	-4.27	10.149	-3.83	12.321	3	2510	1
229	62.381	50	0	0	5.2941	10.119	5.7931	11.089	3	2549	1
230	69.957	90	0	0	3.8901	10.663	5.4596	10.429	3	2546	1
231	113.73	130	0	0	-4.5012	10.241	-3.4965	11.891	3	3512	1
232	145.3	130	0	0	-9.2349	6.3953	-10.69	4.9827	3	2770	1
233	105.44	90	0	0	-2.9585	10.714	-2.2341	12.121	3	3332	1
234	72.992	50	0	0	3.3039	10.801	4.4115	12.121	3	2604	1
289	104.41	90	0	0	-2.8103	10.936	-4.0444	12.035	4	3396	1
290	69.293	50	0	0	3.9529	10.457	4.4592	11.662	4	2863	1
291	119.34	130	0	0	-5.4464	9.6879	-4.5446	11.576	4	3630	1
292	109.34	90	0	0	-3.7115	10.573	-3.7347	11.777	4	2570	1
293	141.8	130	0	0	-8.7876	6.9156	-8.5939	7.0467	4	2570	1
294	75.798	50	0	0	2.7951	11.044	4.9117	12.092	4	3330	1
295	131.22	130	0	0	-7.3638	8.4052	-6.7122	8.7667	4	2489	1
296	79.673	50	0	0	2.0192	11.081	4.1019	11.891	4	2709	1
