Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	90	528.316476346	117.009787928	0.000097	-0.085204	528	395	0.0	-0.085	0.0	0.035	1	0	0
187	90	528.453507341	116.924959217	0.000139	-0.085230	528	395	0.0	-0.085	0.0	0.035	1	0	20
187	90	528.998368679	116.582381729	0.000306	-0.085335	528	395	0.0	-0.085	0.0	0.035	1	0	40
187	90	529.406199021	116.324632953	0.000431	-0.085414	528	395	0.0	-0.085	0.0	0.035	1	0	60
187	90	529.856443719	115.897226754	0.000569	-0.085545	528	395	0.0	-0.085	0.0	0.035	1	0	80
187	90	530.401305057	115.554649266	0.000736	-0.085650	528	395	0.0	-0.085	0.0	0.035	1	0	100
187	90	531.177814029	115.212071778	0.000974	-0.085755	528	395	0.0	-0.085	0.0	0.035	1	0	120
187	90	532.267536705	114.530179445	0.001308	-0.085964	528	395	0.0	-0.085	0.0	0.035	1	0	140
187	90	533.588907015	113.848287113	0.001713	-0.086173	528	395	0.0	-0.085	0.0	0.035	1	0	160
187	90	534.681892333	113.16639478	0.002048	-0.086382	528	395	0.0	-0.085	0.0	0.035	1	0	180
187	90	535.458401305	112.827079935	0.002286	-0.086486	528	395	0.0	-0.085	0.0	0.035	1	0	200
187	90	536.508972268	112.318107667	0.002608	-0.086642	528	395	0.0	-0.085	0.0	0.035	1	0	220
187	90	537.148450245	112.063621533	0.002804	-0.086720	528	395	0.0	-0.085	0.0	0.035	1	0	240
187	90	537.745513866	111.982055465	0.002987	-0.086745	528	395	0.0	-0.085	0.0	0.035	1	0	260
187	90	537.934747145	112.151712887	0.003045	-0.086693	528	395	0.0	-0.085	0.0	0.035	1	0	280
187	90	537.89233279	112.32137031	0.003032	-0.086641	528	395	0.0	-0.085	0.0	0.035	1	0	300
187	90	537.849918434	112.494290375	0.003019	-0.086588	528	395	0.0	-0.085	0.0	0.035	1	0	320
187	90	537.849918434	112.494290375	0.003019	-0.086588	528	395	0.0	-0.085	0.0	0.035	1	0	340
187	90	537.849918434	112.494290375	0.003019	-0.086588	528	395	0.0	-0.085	0.0	0.035	1	0	360
187	90	537.849918434	112.494290375	0.003019	-0.086588	528	395	0.0	-0.085	0.0	0.035	1	0	380
187	90	537.755301794	112.406199021	0.002990	-0.086615	528	395	0.0	-0.085	0.0	0.035	1	0	400
187	90	537.660685155	112.32137031	0.002961	-0.086641	528	395	0.0	-0.085	0.0	0.035	1	0	420
187	90	537.660685155	112.32137031	0.002961	-0.086641	528	395	0.0	-0.085	0.0	0.035	1	0	440
187	90	537.660685155	112.32137031	0.002961	-0.086641	528	395	0.0	-0.085	0.0	0.035	1	0	460
187	90	537.79771615	112.236541599	0.003003	-0.086667	528	395	0.0	-0.085	0.0	0.035	1	0	480
187	90	537.755301794	112.406199021	0.002990	-0.086615	528	395	0.0	-0.085	0.0	0.035	1	0	500
187	90	537.849918434	112.494290375	0.003019	-0.086588	528	395	0.0	-0.085	0.0	0.035	1	0	520
187	90	537.712887439	112.579119086	0.002977	-0.086562	528	395	0.0	-0.085	0.0	0.035	1	0	540
187	90	537.712887439	112.579119086	0.002977	-0.086562	528	395	0.0	-0.085	0.0	0.035	1	0	560
187	90	537.712887439	112.579119086	0.002977	-0.086562	528	395	0.0	-0.085	0.0	0.035	1	0	580
187	90	537.481239804	112.579119086	0.002906	-0.086562	528	395	0.0	-0.085	0.0	0.035	1	0	600
