trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	115.48	90	0	0	-4.9009	10.286	-3.2822	11.289	1	3138	1
140	131.63	130	0	0	-7.4719	8.4083	-5.0448	10.888	1	4392	1
141	55.335	50	0	0	6.5454	9.4652	10.366	7.4767	1	2609	1
142	90.754	50	0	0	-0.1487	11.305	4.4115	11.891	1	2469	1
143	133.96	130	0	0	-7.8474	8.139	-5.4259	11.433	1	2489	1
144	120.13	90	0	0	-5.613	9.671	-3.6633	12.207	1	2429	1
145	111.76	90	0	0	-4.109	10.296	-2.0197	12.35	1	2409	1
146	128.66	130	0	0	-6.9504	8.6867	-4.1873	12.035	1	2796	1
147	87.378	50	0	0	0.5143	11.23	3.5302	12.321	1	2569	1
148	91.64	50	0	0	-0.3193	11.155	2.6489	11.031	1	2489	1
149	126.3	90	0	0	-6.6755	9.0888	-3.8776	11.404	1	2466	1
150	131.82	130	0	0	-7.4959	8.3772	-4.6875	10.945	1	2469	1
151	95.204	90	0	0	-1.0217	11.217	3.2444	11.49	1	2489	1
152	132.6	130	0	0	-7.6739	8.3456	-4.9257	11.031	1	2529	1
153	86.163	50	0	0	0.7508	11.194	2.8633	12.407	1	3224	1
154	129.19	130	0	0	-7.0786	8.682	-4.2349	11.433	1	2689	1
155	101	90	0	0	-2.1373	10.993	1.1244	12.637	1	2690	1
156	85.645	50	0	0	0.8601	11.295	3.7684	11.203	1	2609	1
283	83.432	50	0	0	1.3014	11.302	3.8875	11.633	2	2470	1
284	116.23	90	0	0	-4.9502	10.047	-4.4969	10.745	2	4047	1
285	131.63	130	0	0	-7.4502	8.3812	-6.5692	11.003	2	2549	1
286	115.13	90	0	0	-4.7719	10.172	-3.3536	11.576	2	3635	1
287	127.5	130	0	0	-6.7833	8.8392	-4.6637	11.891	2	3063	1
288	82.507	50	0	0	1.4669	11.152	2.2678	12.866	2	2629	1
289	129.32	90	0	0	-7.0836	8.6486	-4.5208	10.114	2	2689	1
290	81.694	50	0	0	1.5954	10.929	3.1491	12.522	2	2609	1
291	140.41	130	0	0	-8.6625	7.1642	-7.9508	9.9707	2	2620	1
292	120.39	90	0	0	-5.6697	9.6666	-4.7113	12.149	2	2590	1
293	86.609	50	0	0	0.6646	11.215	1.9581	12.694	2	2589	1
294	132.33	130	0	0	-7.4898	8.2228	-5.6165	11.691	2	2709	1
295	104.29	90	0	0	-2.774	10.887	-1.591	12.637	2	2749	1
