Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	69.3010275664	90	0.0	-0.085	0.042438	0.027315	516	858	1	23752
47	108.329673504	130	0.0	-0.085	-0.037779	0.029035	693	813	1	14580
48	28.1944544213	50	0.0	-0.085	0.105820	-0.028273	69	561	1	7370
49	137.10910306	130	0.0	-0.085	-0.088304	-0.002969	963	629	1	8050
50	36.2096205562	50	0.0	-0.085	0.097632	-0.013519	176	621	1	5894
51	94.2315732551	90	0.0	-0.085	-0.008874	0.034936	727	797	1	6224
52	64.2911726244	90	0.0	-0.085	0.052280	0.023587	475	899	1	5390
53	58.7923368058	50	0.0	-0.085	0.062539	0.018233	459	835	1	6491
54	128.275970851	130	0.0	-0.085	-0.074587	0.009525	1063	633	1	7144
55	102.316702313	130	0.0	-0.085	-0.025719	0.032793	814	861	1	5654
56	37.9389381499	50	0.0	-0.085	0.095432	-0.010604	150	632	1	5486
57	99.1199401939	90	0.0	-0.085	-0.019130	0.034167	786	887	1	4896
58	68.2498708006	90	0.0	-0.085	0.044746	0.027156	408	873	1	5854
59	63.2158892352	50	0.0	-0.085	0.054608	0.023180	409	856	1	4793
60	124.583031552	130	0.0	-0.085	-0.068810	0.014809	1059	704	1	4997
61	98.4706796793	130	0.0	-0.085	-0.017954	0.035555	748	887	1	6849
62	61.4121329315	50	0.0	-0.085	0.057625	0.020745	383	839	1	4321
63	93.0684229552	90	0.0	-0.085	-0.006464	0.035585	773	844	1	4827
118	128.251797786	130	0.0	-0.085	-0.075168	0.010344	933	795	2	10612
119	58.3180401758	50	0.0	-0.085	0.063041	0.017144	344	843	2	4499
120	96.6515516731	90	0.0	-0.085	-0.013956	0.034675	628	899	2	4945
121	64.3047393687	50	0.0	-0.085	0.052359	0.023817	371	873	2	4199
122	97.5060324473	90	0.0	-0.085	-0.015757	0.034589	752	878	2	3937
123	140.316748291	130	0.0	-0.085	-0.093418	-0.007489	1142	604	2	4088
124	74.0212452106	50	0.0	-0.085	0.033382	0.031580	487	859	2	4167
125	87.9978263425	90	0.0	-0.085	0.004242	0.036343	443	849	2	3800
126	155.121309671	130	0.0	-0.085	-0.109244	-0.034340	1101	577	2	3962
127	114.248911989	90	0.0	-0.085	-0.049575	0.025058	884	818	2	3892
128	94.6241339141	130	0.0	-0.085	-0.009720	0.035175	744	899	2	4836
129	28.9499613782	50	0.0	-0.085	0.105637	-0.026565	41	538	2	4248
130	54.6052652162	50	0.0	-0.085	0.069954	0.013454	144	699	2	4304
131	131.91012951	130	0.0	-0.085	-0.081448	0.005743	1087	696	2	3958
132	97.0779009324	90	0.0	-0.085	-0.014850	0.034599	761	899	2	4768
133	72.2670028239	90	0.0	-0.085	0.037415	0.032004	482	887	2	4320
134	109.455923848	130	0.0	-0.085	-0.040108	0.028539	819	878	2	4402
135	63.0631634129	50	0.0	-0.085	0.055106	0.023447	382	860	2	4020
190	93.5868642541	90	0.0	-0.085	-0.007517	0.034918	699	843	3	5005
191	47.1075993892	50	0.0	-0.085	0.083178	0.004534	73	676	3	3926
192	143.796763467	130	0.0	-0.085	-0.097454	-0.013666	1053	568	3	3808
193	110.084003466	90	0.0	-0.085	-0.041584	0.028732	824	773	3	4200
