trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	130.36	90	0	0	-7.8772	9.2683	-8.272	10.088	1	3549	1
92	179.8	130	0	0	-12.329	0.0432	-8.8675	10.289	1	3049	1
93	68.023	50	0	0	4.5144	11.187	9.9499	8.8553	1	3489	1
94	165.12	130	0	0	-11.688	3.106	-8.8675	8.4827	1	3378	1
95	76.744	50	0	0	2.7894	11.84	7.7585	9.3427	1	3169	1
96	128.89	90	0	0	-7.6958	9.54	-3.2461	12.983	1	3671	1
97	85.792	50	0	0	0.8863	12.045	7.4012	9.2567	1	3048	1
98	168.46	130	0	0	-11.927	2.4355	-10.082	9.5147	1	2749	1
99	72.818	90	0	0	3.5659	11.532	2.3515	12.41	1	3589	1
100	111.03	130	0	0	-4.4049	11.458	-3.5319	13.671	1	2789	0
101	51.263	50	0	0	7.5791	9.4479	10.14	3.7527	1	2969	1
102	119.88	90	0	0	-6	10.444	-3.4605	13.671	1	3130	0
103	130.48	90	0	0	-7.9491	9.3146	-2.9365	13.671	1	2709	0
104	73.72	50	0	0	3.3971	11.632	7.4012	10.69	1	3449	1
105	172.37	130	0	0	-12.108	1.6225	-10.368	8.3393	1	2989	1
106	119.27	50	0	0	-5.9215	10.564	3.5662	12.553	1	4029	1
107	122.87	90	0	0	-6.5391	10.121	-2.079	13.671	1	3193	0
108	178.68	130	0	0	-12.386	0.2852	-9.8203	4.1827	1	4037	1
235	137.9	90	0	0	-9.0909	8.2143	-1.7455	13.671	2	4140	0
236	80.138	50	0	0	2.0568	11.831	8.0681	11.521	2	3009	1
237	178.75	130	0	0	-12.253	0.2681	-9.8679	10.633	2	2989	1
238	150.42	90	0	0	-10.509	5.9649	-3.3652	12.869	2	3189	1
239	114.53	50	0	0	-5.0898	11.154	3.7568	11.951	2	3269	1
240	218.85	130	0	0	-9.4068	-7.5769	-11.202	4.6127	2	3469	0
241	175.26	130	0	0	-11.995	0.9941	-9.4392	10.432	2	3049	1
242	141.7	90	0	0	-9.577	7.5628	-0.48306	13.299	2	3833	1
243	86.622	50	0	0	0.7162	12.134	6.5913	10.403	2	3357	1
244	108.12	130	0	0	-3.8048	11.624	-2.8412	13.671	2	3090	0
245	103.29	50	0	0	-2.7663	11.707	8.211	8.454	2	2850	1
246	143.54	90	0	0	-9.7685	7.2183	-0.4116	10.145	2	5578	1
247	124.78	130	0	0	-6.9727	10.041	-5.3184	13.671	2	3788	0
248	114.79	50	0	0	-5.1162	11.076	2.8755	13.671	2	3129	0
249	138.93	90	0	0	-9.1144	7.9419	-7.0096	11.149	2	3369	1
250	62.544	90	0	0	5.6251	10.826	5.972	9.6867	2	3329	1
251	140.51	50	0	0	-9.3028	7.6664	4.4714	11.005	2	3229	0
252	97.89	130	0	0	-1.6901	12.195	-2.4601	12.439	2	3429	1
379	158.43	90	0	0	-11.319	4.4738	-4.842	11.98	3	3890	1
380	85.493	50	0	0	0.968	12.28	8.7589	6.1033	3	3169	1
381	167.07	130	0	0	-11.963	2.7456	-7.8433	10.747	3	3110	1
382	75.065	90	0	0	3.1239	11.711	4.6381	11.837	3	3257	1
383	124.24	50	0	0	-6.8386	10.049	2.0656	12.467	3	3070	1
384	200.16	130	0	0	-11.643	-4.2739	-8.939	7.1927	3	3329	0
385	129.11	90	0	0	-7.753	9.5376	-0.5307	11.751	3	3049	1
386	125.84	130	0	0	-7.1394	9.8834	-1.6502	12.955	3	3489	1
387	91.72	50	0	0	-0.3679	12.251	8.2349	8.1387	3	2929	1
388	133.78	50	0	0	-8.423	8.7903	0.54118	13.241	3	3209	1
389	63.409	90	0	0	5.4482	10.884	5.6147	11.493	3	3569	1
390	91.006	130	0	0	-0.2139	12.182	-4.4133	12.983	3	3278	1
391	105.64	130	0	0	-3.2685	11.677	-5.9615	11.693	3	3909	1
392	155.63	90	0	0	-11.009	4.9866	-6.8905	11.607	3	3909	1
393	137.76	50	0	0	-8.9087	8.088	0.92229	12.009	3	3109	1
394	50.416	90	0	0	7.7195	9.3365	3.2566	12.467	3	3409	1
395	66.721	130	0	0	4.7715	11.09	-5.1993	13.671	3	3070	0
396	128.05	50	0	0	-7.4803	9.5583	-0.12577	13.671	3	2809	0
523	143.07	90	0	0	-9.6763	7.2742	-3.0079	12.009	4	3589	1
524	116.4	50	0	0	-5.3738	10.823	4.0426	11.607	4	3029	1
525	73.831	130	0	0	3.4189	11.791	-4.1751	13.671	4	3369	0
526	145.63	50	0	0	-10.024	6.8558	0.92229	13.671	4	3529	0
527	222.07	130	0	0	-9.0158	-8.1388	-11.297	4.67	4	3349	0
528	146.7	90	0	0	-10.053	6.6025	-4.2942	12.754	4	3029	1
529	121.3	90	0	0	-6.2909	10.346	1.3034	12.095	4	4230	1
530	115.82	50	0	0	-5.2545	10.858	1.1128	12.152	4	3762	1
531	73.567	130	0	0	3.4575	11.723	-5.4375	13.299	4	2989	1
532	225.14	130	0	0	-8.5259	-8.5678	-11.916	7.25	4	2969	0
533	130.76	50	0	0	-8.0072	9.2906	3.1375	11.034	4	3910	1
534	37.051	90	0	0	9.8548	7.4398	3.1375	11.263	4	3029	1
535	8.248	90	0	0	11.989	1.7379	7.7823	8.5973	4	2969	1
536	-5.6231	50	0	0	12.321	-1.2131	10.807	5.9887	4	3216	0
537	106.93	130	0	0	-3.5424	11.634	-5.9615	11.951	4	2850	1
538	161.16	90	0	0	-11.654	3.9774	-5.0564	12.553	4	2970	1
539	211.75	130	0	0	-10.274	-6.3575	-11.083	4.9853	4	3249	0
540	94.136	50	0	0	-0.8912	12.324	7.7823	6.1607	4	3209	1
