Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	534.75040783	127.176182708	0.002069	-0.082088	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	535.353996737	127.525285481	0.002254	-0.081981	528	395	0.0	-0.085	0.0	0.035	1	0	20
1	90	538.133768352	129.694942904	0.003106	-0.081316	528	395	0.0	-0.085	0.0	0.035	1	0	41
1	90	543.11908646	133.535073409	0.004634	-0.080139	528	395	0.0	-0.085	0.0	0.035	1	0	60
1	90	550.146818923	138.282218597	0.006788	-0.078684	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	558.871125612	143.874388254	0.009462	-0.076970	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	568.450244698	150.412724307	0.012398	-0.074966	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	579.28548124	156.781402936	0.015719	-0.073014	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	590.407830343	163.587275693	0.019128	-0.070928	528	395	0.0	-0.085	0.0	0.035	1	0	161
1	90	602.003262643	170.135399674	0.022682	-0.068921	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	613.938009788	176.513866232	0.026340	-0.066966	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	625.624796085	182.791190865	0.029922	-0.065042	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	636.936378467	189.039151713	0.033389	-0.063127	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	648.593800979	195.114192496	0.036962	-0.061265	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	660.456769984	201.101141925	0.040598	-0.059430	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	672.30995106	206.990212072	0.044231	-0.057625	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	683.742251223	213.019575856	0.047735	-0.055777	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	694.16639478	219.23817292	0.050930	-0.053871	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	703.236541599	225.698205546	0.053710	-0.051891	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	710.632952692	231.991843393	0.055977	-0.049962	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	717.464926591	237.169657423	0.058071	-0.048375	528	395	0.0	-0.085	0.0	0.035	1	0	400
1	90	721.148450245	242.305057096	0.059200	-0.046801	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	721.092985318	246.856443719	0.059183	-0.045406	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	717.243066884	250.729200653	0.058003	-0.044219	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	709.973898858	253.867862969	0.055775	-0.043257	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	698.623164763	255.978792822	0.052296	-0.042610	528	395	0.0	-0.085	0.0	0.035	1	0	500
