trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	76.934	50	0	0	2.821	12.156	5.0566	5.036	1	14427	1
47	81.795	90	0	0	1.7461	12.109	4.08	5.7813	1	9279	1
48	119.41	130	0	0	-5.9577	10.567	-7.4963	5.9247	1	9209	1
49	84.801	90	0	0	1.1007	12.097	-2.8515	8.3613	1	4930	1
50	65.644	50	0	0	5.2562	11.611	2.627	7.3293	1	3226	1
51	127.29	130	0	0	-7.299	9.5843	-8.711	4.9213	1	2329	1
52	64.942	90	0	0	5.1313	10.975	3.4369	6.154	1	2520	1
53	55.597	50	0	0	6.8358	9.9823	6.7001	4.7207	1	4589	1
54	127.09	130	0	0	-7.3628	9.7391	-7.6154	5.6667	1	8209	1
55	130.17	130	0	0	-7.8046	9.2439	-6.6864	5.552	1	3686	1
56	68.167	50	0	0	4.5561	11.372	5.3424	6.5553	1	2976	1
57	132.59	90	0	0	-8.1842	8.9022	-5.2096	6.5267	1	3592	1
58	53.798	50	0	0	7.2351	9.8848	7.1765	4.2047	1	2740	1
59	111.29	130	0	0	-4.3871	11.261	-5.4478	7.53	1	2770	1
60	91.362	90	0	0	-0.2918	12.276	-0.040767	7.5013	1	2786	1
61	73.118	50	0	0	3.5027	11.542	3.3416	6.9567	1	2789	1
62	134.59	130	0	0	-8.4835	8.6065	-7.8535	6.3547	1	2541	1
63	112.85	90	0	0	-4.7524	11.278	-6.7817	6.584	1	2674	1
118	107.83	130	0	0	-3.7103	11.538	-4.5426	7.6447	2	3836	1
119	53.294	50	0	0	7.2233	9.6886	8.3437	5.0933	2	3329	1
120	95.895	90	0	0	-1.2369	11.98	-0.63625	8.39	2	2810	1
121	94.789	90	0	0	-1.0102	12.057	-1.7796	8.906	2	3188	1
122	134.92	130	0	0	-8.5577	8.5822	-10.474	7.8167	2	2949	1
123	75.721	50	0	0	3.0012	11.792	2.9367	7.702	2	2629	1
124	50.988	50	0	0	7.5892	9.3678	9.6299	4.4053	2	2889	1
125	88.855	90	0	0	0.2417	12.098	3.4369	8.132	2	2889	1
126	131.19	130	0	0	-8.0241	9.168	-10.76	9.3073	2	2689	1
127	129	130	0	0	-7.6873	9.4921	-10.164	7.1573	2	2849	1
128	103.31	90	0	0	-2.7686	11.704	-3.3993	10.941	2	2689	1
129	85.212	50	0	0	1.0021	11.963	1.8172	9.3933	2	2709	1
130	87.927	90	0	0	0.4347	12.008	3.0558	9.7087	2	2869	1
131	75.211	50	0	0	3.1511	11.935	7.2242	6.498	2	2689	1
132	118.66	130	0	0	-5.7804	10.576	-8.6396	9.938	2	3539	1
133	127.13	130	0	0	-7.375	9.7405	-9.9258	8.6193	2	2713	1
134	107.76	90	0	0	-3.675	11.471	-4.0663	9.336	2	2509	1
135	88.858	50	0	0	0.2398	12.033	2.103	9.4507	2	2589	1
190	114.8	130	0	0	-5.1287	11.1	-5.7098	10.626	3	3538	1
191	75.223	90	0	0	3.1864	12.079	2.2935	9.25	3	2749	1
192	65.513	50	0	0	5.1526	11.313	5.4615	8.5907	3	2888	1
193	106.64	90	0	0	-3.4878	11.673	-1.8749	8.8773	3	3012	1
194	80.173	50	0	0	2.1062	12.159	4.5564	8.0173	3	2790	1
195	133.72	130	0	0	-8.3082	8.6888	-10.998	8.4473	3	2808	1
196	58.866	50	0	0	6.2673	10.375	9.5585	6.24	3	3090	1
197	117.76	130	0	0	-5.7828	10.987	-6.8769	10.54	3	2750	1
198	95.265	90	0	0	-1.1201	12.156	0.17361	11.629	3	2709	1
199	106.21	90	0	0	-3.3728	11.605	-2.6371	10.454	3	2569	1
200	85.955	50	0	0	0.8619	12.188	2.9367	9.6513	3	2929	1
201	141.12	130	0	0	-9.5889	7.7318	-11.808	7.4727	3	2569	1
202	85.944	90	0	0	0.8567	12.081	3.3178	8.7627	3	2589	1
203	122.08	130	0	0	-6.6282	10.574	-6.0194	9.3073	3	2469	1
204	82.138	50	0	0	1.6741	12.123	7.1289	7.3867	3	2870	1
205	82.676	50	0	0	1.5332	11.929	5.7474	7.702	3	2996	1
206	109.94	90	0	0	-4.1158	11.348	-3.7328	11.515	3	2549	1
207	122.65	130	0	0	-6.6094	10.315	-9.5685	7.6733	3	2849	1
262	77.351	90	0	0	2.6641	11.87	5.9617	8.5333	4	3748	1
263	63.135	50	0	0	5.5671	10.99	6.1047	7.2147	4	2789	1
264	131.22	130	0	0	-7.9918	9.1236	-8.0679	9.25	4	2550	1
265	126.3	130	0	0	-7.2308	9.8434	-9.8067	8.8773	4	2549	1
266	104.86	90	0	0	-3.1376	11.825	-3.6613	10.626	4	2449	1
267	83.801	50	0	0	1.3147	12.105	3.7942	8.046	4	2710	1
268	61.697	50	0	0	5.7611	10.698	7.248	7.2433	4	2770	1
269	126.37	130	0	0	-7.1438	9.6985	-6.6149	9.2787	4	2449	1
270	87.797	90	0	0	0.4702	12.222	0.14979	9.7373	4	4929	1
271	103.59	90	0	0	-2.8585	11.821	-1.8987	10.139	4	2389	1
272	132.96	130	0	0	-8.3498	8.9669	-9.0683	8.046	4	2329	1
273	90.601	50	0	0	-0.127	12.101	2.6508	10.339	4	2309	1
274	120.61	130	0	0	-6.3102	10.665	-4.0901	10.683	4	2209	1
275	93.593	50	0	0	-0.7569	12.053	4.8899	9.25	4	4809	1
276	105.46	90	0	0	-3.3355	12.058	-0.54098	9.9093	4	2289	1
277	93.866	90	0	0	-0.8179	12.103	-2.8753	9.8233	4	2929	1
278	67.938	50	0	0	4.5383	11.198	2.2459	9.164	4	3952	1
279	147.1	130	0	0	-10.251	6.6327	-9.116	6.8133	4	2492	1
