Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	44.7682930275	50	0.0	-0.085	0.080193	-0.005453	498	602	1	5031
74	96.0993976276	130	0.0	-0.085	-0.012000	0.027298	927	643	1	3739
75	68.1208559539	90	0.0	-0.085	0.042793	0.021563	673	633	1	3913
76	49.6906523691	50	0.0	-0.085	0.075147	0.003581	530	614	1	3436
77	88.3675280348	90	0.0	-0.085	0.003191	0.026966	866	671	1	3209
78	114.009558327	130	0.0	-0.085	-0.045562	0.017288	1043	622	1	5482
79	89.0684552027	130	0.0	-0.085	0.001925	0.033389	792	713	1	4092
80	42.8061212845	50	0.0	-0.085	0.084373	-0.006853	424	594	1	3243
81	76.806920404	90	0.0	-0.085	0.026832	0.029461	721	690	1	3838
82	51.6525120534	50	0.0	-0.085	0.075262	0.010136	538	635	1	3247
83	121.652910459	130	0.0	-0.085	-0.059950	0.012246	1068	643	1	3385
84	94.825119667	90	0.0	-0.085	-0.010260	0.036544	937	653	1	4927
85	46.1240396943	50	0.0	-0.085	0.080671	-0.001100	492	603	1	3189
86	92.3780155216	130	0.0	-0.085	-0.004706	0.028321	914	707	1	3483
87	70.2654344155	90	0.0	-0.085	0.041359	0.030292	571	616	1	5869
88	89.9484607713	90	0.0	-0.085	0.000104	0.030616	863	683	1	3329
89	116.91911961	130	0.0	-0.085	-0.052717	0.018825	1063	619	1	4753
90	67.8551117724	50	0.0	-0.085	0.044639	0.024686	623	634	1	3317
145	47.5898591926	50	0.0	-0.085	0.076770	-0.000956	490	588	2	11449
146	71.8183446699	90	0.0	-0.085	0.037855	0.030261	670	657	2	4497
147	111.278672298	130	0.0	-0.085	-0.040478	0.018935	977	643	2	4185
148	107.188451101	130	0.0	-0.085	-0.033778	0.024197	1024	628	2	4439
149	98.4370498737	90	0.0	-0.085	-0.016926	0.029112	881	655	2	4065
150	72.0536394587	50	0.0	-0.085	0.035765	0.025425	656	646	2	3719
151	94.398250974	130	0.0	-0.085	-0.008900	0.030712	804	666	2	4049
152	71.9663360711	90	0.0	-0.085	0.035965	0.025468	621	636	2	4569
153	53.0747517284	50	0.0	-0.085	0.068283	0.005861	537	580	2	4689
154	65.5937702573	50	0.0	-0.085	0.048977	0.022938	655	654	2	4713
155	118.255073496	130	0.0	-0.085	-0.053846	0.015191	1029	616	2	3869
156	99.9320039406	90	0.0	-0.085	-0.020201	0.030366	879	667	2	4905
157	96.288325018	130	0.0	-0.085	-0.012333	0.026920	888	649	2	4303
158	72.3908048117	90	0.0	-0.085	0.034963	0.025156	666	652	2	3446
159	57.1178423438	50	0.0	-0.085	0.062088	0.011039	516	579	2	3344
160	93.2605248745	90	0.0	-0.085	-0.006671	0.032100	867	647	2	3410
161	119.688432333	130	0.0	-0.085	-0.056555	0.014198	1053	572	2	3566
162	77.5611445964	50	0.0	-0.085	0.025834	0.032121	623	660	2	3960
217	89.3986134228	130	0.0	-0.085	0.001192	0.028561	806	693	3	5510
218	68.8275280759	90	0.0	-0.085	0.042031	0.023517	661	653	3	3586
219	57.6260008092	50	0.0	-0.085	0.063016	0.014397	540	635	3	5064
220	61.7438109141	50	0.0	-0.085	0.053547	0.014630	519	640	3	4894
221	95.6418014136	90	0.0	-0.085	-0.011276	0.029144	874	658	3	7118
222	130.229116908	130	0.0	-0.085	-0.072018	0.000134	1122	575	3	3856
223	48.8228866697	50	0.0	-0.085	0.075308	0.001093	486	606	3	4984
224	68.3770120168	90	0.0	-0.085	0.045025	0.028587	649	638	3	4888
225	108.406038332	130	0.0	-0.085	-0.035619	0.022037	911	699	3	3025
226	113.592064219	130	0.0	-0.085	-0.045042	0.018136	1007	625	3	4639
227	65.4748522969	50	0.0	-0.085	0.050133	0.024879	614	660	3	4321
228	103.698695674	90	0.0	-0.085	-0.027035	0.025913	915	652	3	3923
229	52.7507542561	50	0.0	-0.085	0.070504	0.007720	490	609	3	5285
230	71.1808730573	90	0.0	-0.085	0.038384	0.027629	627	704	3	5418
231	111.827233374	130	0.0	-0.085	-0.042586	0.021326	936	668	3	3560
232	115.940777555	130	0.0	-0.085	-0.049359	0.016467	1023	622	3	3850
233	72.9352164917	50	0.0	-0.085	0.035607	0.030996	663	693	3	4010
234	110.836924255	90	0.0	-0.085	-0.041121	0.023042	949	688	3	4018
289	48.0636175991	50	0.0	-0.085	0.076935	0.000636	538	635	4	3661
290	75.5700498968	90	0.0	-0.085	0.029835	0.030948	682	665	4	3770
291	113.809693293	130	0.0	-0.085	-0.045481	0.018072	1003	650	4	3354
292	95.1142067565	90	0.0	-0.085	-0.010260	0.029640	800	682	4	2822
293	121.835005252	130	0.0	-0.085	-0.059040	0.010092	1109	604	4	3476
294	82.186599496	50	0.0	-0.085	0.015986	0.031498	718	684	4	3608
295	100.387728255	130	0.0	-0.085	-0.020391	0.026236	868	691	4	3584
296	79.4396613893	90	0.0	-0.085	0.021347	0.029505	665	671	4	3495
297	63.7446108774	50	0.0	-0.085	0.051247	0.018894	553	598	4	3839
298	90.8640984827	90	0.0	-0.085	-0.001722	0.029172	853	689	4	4089
299	122.810260175	130	0.0	-0.085	-0.060809	0.009320	1091	607	4	4257
300	74.1021746177	50	0.0	-0.085	0.032448	0.028926	639	662	4	3320
301	100.513619877	130	0.0	-0.085	-0.020496	0.025440	889	691	4	3251
302	59.6657020685	50	0.0	-0.085	0.059202	0.016173	463	596	4	3555
303	97.9835588757	90	0.0	-0.085	-0.015820	0.027800	893	678	4	3839
304	121.641781443	130	0.0	-0.085	-0.058938	0.010646	1089	589	4	3137
305	104.540096875	90	0.0	-0.085	-0.028611	0.025312	907	670	4	2897
306	73.1584276026	50	0.0	-0.085	0.035134	0.031065	699	671	4	4281
