Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	526.936378467	117.009787928	-0.000326	-0.085204	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	526.936378467	117.009787928	-0.000326	-0.085204	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	526.47634584	117.009787928	-0.000467	-0.085204	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	525.830342577	116.840130506	-0.000665	-0.085256	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	524.900489396	116.412724307	-0.000950	-0.085387	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	523.92822186	116.158238173	-0.001248	-0.085465	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	522.998368679	115.730831974	-0.001533	-0.085596	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	521.836867863	115.303425775	-0.001889	-0.085727	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	520.864600326	115.052202284	-0.002187	-0.085804	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	519.566068515	114.712887439	-0.002585	-0.085908	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	518.551386623	114.63132137	-0.002896	-0.085933	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	517.575856444	114.376835237	-0.003195	-0.086011	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	516.698205546	114.210440457	-0.003464	-0.086062	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	516.143556281	114.128874388	-0.003634	-0.086087	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	515.817292007	114.044045677	-0.003734	-0.086113	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	515.494290375	113.959216966	-0.003833	-0.086139	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	515.399673736	113.874388254	-0.003862	-0.086165	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	515.399673736	113.874388254	-0.003862	-0.086165	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
187	45	515.494290375	113.959216966	-0.003833	-0.086139	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
187	45	515.817292007	114.044045677	-0.003734	-0.086113	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
187	45	515.954323002	113.955954323	-0.003692	-0.086140	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
187	45	516.182707993	113.955954323	-0.003622	-0.086140	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
187	45	516.277324633	114.040783034	-0.003593	-0.086114	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
187	45	516.414355628	113.955954323	-0.003551	-0.086140	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
187	45	516.414355628	113.955954323	-0.003551	-0.086140	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
187	45	516.551386623	113.867862969	-0.003509	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	503
187	45	516.551386623	113.867862969	-0.003509	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
187	45	516.551386623	113.867862969	-0.003509	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
187	45	516.685154976	113.783034258	-0.003468	-0.086193	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
187	45	516.779771615	113.867862969	-0.003439	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
187	45	516.91680261	113.783034258	-0.003397	-0.086193	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
187	45	517.01141925	113.867862969	-0.003368	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
187	45	517.01141925	113.867862969	-0.003368	-0.086167	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
187	45	517.239804241	113.864600326	-0.003298	-0.086168	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
187	45	517.471451876	113.864600326	-0.003227	-0.086168	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
187	45	517.566068515	113.949429038	-0.003198	-0.086142	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	700
187	45	517.889070147	114.034257749	-0.003099	-0.086116	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	720
187	45	518.078303426	114.203915171	-0.003041	-0.086064	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	740
187	45	518.267536705	114.373572594	-0.002983	-0.086012	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	760
187	45	518.685154976	114.543230016	-0.002855	-0.085960	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	780
187	45	518.874388254	114.716150082	-0.002797	-0.085907	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	800
187	45	519.334420881	114.712887439	-0.002656	-0.085908	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	820
187	45	519.794453507	114.712887439	-0.002515	-0.085908	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	840
187	45	520.391517129	114.624796085	-0.002332	-0.085935	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	860
187	45	520.851549755	114.621533442	-0.002191	-0.085936	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	880
187	45	521.448613377	114.536704731	-0.002008	-0.085962	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	900
187	45	521.774877651	114.621533442	-0.001908	-0.085936	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	920
187	45	522.192495922	114.791190865	-0.001780	-0.085884	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	940
187	45	522.610114192	114.960848287	-0.001652	-0.085832	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	960
187	45	523.216965742	115.300163132	-0.001466	-0.085728	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	980
187	45	523.876019576	115.900489396	-0.001264	-0.085544	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1000
187	45	524.668841762	116.412724307	-0.001021	-0.085387	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1020
187	45	525.934747145	117.355628059	-0.000633	-0.085098	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1040
187	45	527.383360522	118.468189233	-0.000189	-0.084757	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1060
187	45	529.435562806	119.929853181	0.000440	-0.084309	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1080
187	45	532.13050571	121.567699837	0.001266	-0.083807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1100
187	45	535.151712887	123.727569331	0.002192	-0.083145	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1120
187	45	538.766721044	126.239804241	0.003300	-0.082375	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1140
187	45	542.838499184	129.20228385	0.004548	-0.081467	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1160
187	45	547.128874388	132.608482871	0.005863	-0.080423	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1180
187	45	551.820554649	136.647634584	0.007301	-0.079185	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1200
187	45	556.949429038	141.143556281	0.008873	-0.077807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1220
187	45	562.326264274	145.933115824	0.010521	-0.076339	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1240
187	45	568.084828711	151.371941272	0.012286	-0.074672	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1260
187	45	573.990212072	157.026101142	0.014096	-0.072939	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1280
187	45	580.127243067	162.983686786	0.015977	-0.071113	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1300
187	45	586.443719413	169.430668842	0.017913	-0.069137	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1320
187	45	592.805872757	176.01141925	0.019863	-0.067120	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1340
187	45	599.468189233	183.006525285	0.021905	-0.064976	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1360
187	45	606.032626427	190.230016313	0.023917	-0.062762	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1380
187	45	613.024469821	197.789559543	0.026060	-0.060445	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1400
187	45	620.127243067	205.590538336	0.028237	-0.058054	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1420
187	45	627.334420881	213.639477977	0.030446	-0.055587	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1440
187	45	634.867862969	221.949429038	0.032755	-0.053040	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1460
187	45	642.492659054	230.513866232	0.035092	-0.050415	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1480
187	45	650.394779772	239.068515498	0.037514	-0.047793	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1500
187	45	658.796084829	247.626427406	0.040089	-0.045170	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1520
187	45	667.112561175	256.256117455	0.042638	-0.042525	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1540
187	45	675.758564437	264.693311582	0.045288	-0.039939	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1560
187	45	683.970636215	273.267536705	0.047805	-0.037311	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1580
187	45	692.453507341	281.838499184	0.050405	-0.034684	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1600
187	45	701.615008157	290.151712887	0.053213	-0.032136	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1620
187	45	710.280587276	298.787928222	0.055869	-0.029489	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1640
187	45	719.680261011	306.980424144	0.058750	-0.026978	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1660
187	45	728.7862969	315.221859706	0.061541	-0.024452	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1680
187	45	738.349102773	322.898858075	0.064472	-0.022099	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1700
187	45	747.556280587	330.810766721	0.067294	-0.019674	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1720
187	45	756.610114192	338.380097879	0.070069	-0.017354	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1740
187	45	765.517128874	345.903752039	0.072799	-0.015048	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1760
187	45	773.588907015	353.792822186	0.075273	-0.012630	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1780
