Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	90	527.425774878	118.298531811	-0.000176	-0.084809	528	395	0.0	-0.085	0	0	1	0	19
73	90	527.654159869	118.298531811	-0.000106	-0.084809	528	395	0.0	-0.085	0	0	1	0	20
73	90	527.654159869	118.298531811	-0.000106	-0.084809	528	395	0.0	-0.085	0	0	1	0	40
73	90	527.654159869	118.298531811	-0.000106	-0.084809	528	395	0.0	-0.085	0	0	1	0	60
73	90	527.843393148	118.468189233	-0.000048	-0.084757	528	395	0.0	-0.085	0	0	1	0	80
73	90	528.143556281	119.587275693	0.000044	-0.084414	528	395	0.0	-0.085	0	0	1	0	100
73	90	528.747145188	122.252854812	0.000229	-0.083597	528	395	0.0	-0.085	0	0	1	0	120
73	90	529.177814029	127.946166395	0.000361	-0.081852	528	395	0.0	-0.085	0	0	1	0	140
73	90	530.665579119	137.225122349	0.000817	-0.079008	528	395	0.0	-0.085	0	0	1	0	160
73	90	533.216965742	150.862969005	0.001599	-0.074828	528	395	0.0	-0.085	0	0	1	0	180
73	90	537.66721044	168.990212072	0.002963	-0.069272	528	395	0.0	-0.085	0	0	1	0	200
73	90	544.60685155	191.593800979	0.005090	-0.062344	528	395	0.0	-0.085	0	0	1	0	220
73	90	555.295269168	216.233278956	0.008366	-0.054792	528	395	0.0	-0.085	0	0	1	0	240
73	90	567.911908646	242.161500816	0.012233	-0.046845	528	395	0.0	-0.085	0	0	1	0	260
73	90	579.207177814	271.456769984	0.015695	-0.037866	528	395	0.0	-0.085	0	0	1	0	280
73	90	589.954323002	301.466557912	0.018989	-0.028668	528	395	0.0	-0.085	0	0	1	0	300
73	90	600.900489396	328.990212072	0.022344	-0.020232	528	395	0.0	-0.085	0	0	1	0	320
73	90	611.125611746	352.588907015	0.025478	-0.012999	528	395	0.0	-0.085	0	0	1	0	340
73	90	619.278955954	371.140293638	0.027977	-0.007313	528	395	0.0	-0.085	0	0	1	0	360
73	90	624.479608483	384.941272431	0.029571	-0.003083	528	395	0.0	-0.085	0	0	1	0	380
73	90	625.879282219	395.541598695	0.030000	0.000166	528	395	0.0	-0.085	0	0	1	0	400
73	90	625.063621533	404.477977162	0.029750	0.002905	528	395	0.0	-0.085	0	0	1	0	420
73	90	622.701468189	412.363784666	0.029026	0.005322	528	395	0.0	-0.085	0	0	1	0	440
73	90	620.065252855	420.168026101	0.028218	0.007714	528	395	0.0	-0.085	0	0	1	0	460
73	90	617.83360522	428.017944535	0.027534	0.010120	528	395	0.0	-0.085	0	0	1	0	480
73	90	616.199021207	435.923327896	0.027033	0.012543	528	395	0.0	-0.085	0	0	1	0	500
73	90	615.265905383	443.47634584	0.026747	0.014858	528	395	0.0	-0.085	0	0	1	0	520
73	90	614.257748777	450.947797716	0.026438	0.017148	528	395	0.0	-0.085	0	0	1	0	540
73	90	612.959216966	458.014681892	0.026040	0.019314	528	395	0.0	-0.085	0	0	1	0	560
73	90	611.63132137	464.481239804	0.025633	0.021296	528	395	0.0	-0.085	0	0	1	0	580
73	90	610.345840131	470.448613377	0.025239	0.023125	528	395	0.0	-0.085	0	0	1	0	600
73	90	609.543230016	475.411092985	0.024993	0.024646	528	395	0.0	-0.085	0	0	1	0	620
73	90	608.336052202	480.053833605	0.024623	0.026069	528	395	0.0	-0.085	0.024623	0.026069	1	0	1388
74	130	527.337683524	116.324632953	-0.000203	-0.085414	528	395	0.0	-0.085	0	0	1	0	19
74	130	527.200652529	116.409461664	-0.000245	-0.085388	528	395	0.0	-0.085	0	0	1	0	20
74	130	526.646003263	116.324632953	-0.000415	-0.085414	528	395	0.0	-0.085	0	0	1	0	40
74	130	525.996737357	116.15497553	-0.000614	-0.085466	528	395	0.0	-0.085	0	0	1	0	60
74	130	525.265905383	116.327895595	-0.000838	-0.085413	528	395	0.0	-0.085	0	0	1	0	80
74	130	525.422512235	117.097879282	-0.000790	-0.085177	528	395	0.0	-0.085	0	0	1	0	100
74	130	526.890701468	119.07177814	-0.000340	-0.084572	528	395	0.0	-0.085	0	0	1	0	120
74	130	529.784665579	123.629690049	0.000547	-0.083175	528	395	0.0	-0.085	0	0	1	0	140
74	130	534.727569331	131.414355628	0.002062	-0.080789	528	395	0.0	-0.085	0	0	1	0	160
74	130	543.582381729	143.026101142	0.004776	-0.077230	528	395	0.0	-0.085	0	0	1	0	180
74	130	555.536704731	159.473083197	0.008440	-0.072189	528	395	0.0	-0.085	0	0	1	0	200
74	130	571.941272431	179.818923328	0.013468	-0.065953	528	395	0.0	-0.085	0	0	1	0	220
74	130	590.907014682	203.701468189	0.019281	-0.058633	528	395	0.0	-0.085	0	0	1	0	240
74	130	611.755301794	230.566068515	0.025671	-0.050399	528	395	0.0	-0.085	0	0	1	0	260
74	130	633.347471452	259.208809135	0.032289	-0.041620	528	395	0.0	-0.085	0	0	1	0	280
74	130	654.626427406	287.747145188	0.038811	-0.032873	528	395	0.0	-0.085	0	0	1	0	300
74	130	673.696574225	316.01141925	0.044656	-0.024210	528	395	0.0	-0.085	0	0	1	0	320
74	130	690.505709625	342.334420881	0.049808	-0.016142	528	395	0.0	-0.085	0	0	1	0	340
74	130	703.820554649	365.965742251	0.053889	-0.008899	528	395	0.0	-0.085	0	0	1	0	360
74	130	713.771615008	386.350734095	0.056939	-0.002651	528	395	0.0	-0.085	0	0	1	0	380
74	130	720.417618271	403.437194127	0.058976	0.002586	528	395	0.0	-0.085	0	0	1	0	400
74	130	725.458401305	416.562805873	0.060521	0.006609	528	395	0.0	-0.085	0	0	1	0	420
74	130	728.120717781	427.0	0.061337	0.009808	528	395	0.0	-0.085	0.061337	0.009808	1	0	1188
75	50	531.951060359	121.825448613	0.001211	-0.083728	528	395	0.0	-0.085	0	0	1	0	18
75	50	532.691680261	122.08319739	0.001438	-0.083649	528	395	0.0	-0.085	0	0	1	0	20
75	50	534.91680261	123.293637847	0.002120	-0.083278	528	395	0.0	-0.085	0	0	1	0	40
75	50	538.208809135	125.721044046	0.003129	-0.082534	528	395	0.0	-0.085	0	0	1	0	60
75	50	542.097879282	128.504078303	0.004321	-0.081681	528	395	0.0	-0.085	0	0	1	0	80
75	50	546.848287113	131.913539967	0.005777	-0.080636	528	395	0.0	-0.085	0	0	1	0	100
75	50	552.907014682	135.528548124	0.007634	-0.079528	528	395	0.0	-0.085	0	0	1	0	120
75	50	562.502446982	139.561174551	0.010575	-0.078292	528	395	0.0	-0.085	0	0	1	0	140
75	50	574.962479608	145.189233279	0.014394	-0.076567	528	395	0.0	-0.085	0	0	1	0	160
75	50	591.001631321	153.456769984	0.019310	-0.074033	528	395	0.0	-0.085	0	0	1	0	180
