trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	138.11	130	0	0	-8.2356	7.3879	-7.139	7.616	1	2249	1
140	95.221	90	0	0	-1.0274	11.243	1.8886	8.7053	1	2189	1
141	131.46	50	0	0	-7.5499	8.5467	-8.7825	6.498	1	2231	1
142	105.97	90	0	0	-3.0897	10.793	-1.2079	9.25	1	2169	1
143	111.82	130	0	0	-4.2032	10.499	-7.0437	8.132	1	2209	1
144	139.62	50	0	0	-8.4999	7.2277	-11.355	4.8927	1	2089	1
145	98.383	90	0	0	-1.7038	11.563	-1.2317	9.9667	1	2229	1
146	108.51	50	0	0	-3.6399	10.874	-4.8999	9.1353	1	2149	1
147	105.49	130	0	0	-2.9996	10.821	-1.9463	9.594	1	2089	1
148	89.539	130	0	0	0.0932	11.587	2.0315	8.5333	1	2149	1
149	101.62	50	0	0	-2.3393	11.378	-2.5418	9.164	1	2129	1
150	132.15	90	0	0	-7.7762	8.592	-10.998	4.606	1	2149	1
151	104.72	130	0	0	-2.8934	11.014	-2.6133	8.476	1	2169	1
152	81.161	90	0	0	1.7389	11.182	3.9371	7.874	1	2149	1
153	96.896	50	0	0	-1.3477	11.143	0.0068719	10.081	1	2130	1
154	140.91	130	0	0	-8.7236	7.0877	-12.213	2.542	1	2129	1
155	110.37	90	0	0	-3.8716	10.43	-1.3508	10.081	1	2090	1
156	94.327	50	0	0	-0.8635	11.413	1.841	9.852	1	2050	1
283	130.58	130	0	0	-7.3694	8.6032	-6.9246	7.8453	2	2371	1
284	126.16	90	0	0	-6.8046	9.311	-7.9726	7.0713	2	2109	1
285	93.756	50	0	0	-0.7559	11.515	1.1264	8.734	2	2089	1
286	91.03	130	0	0	-0.2078	11.556	1.2455	9.5653	2	2029	1
287	118.21	50	0	0	-5.4632	10.184	-5.3525	8.648	2	2050	1
288	105.66	90	0	0	-3.1091	11.088	-3.0182	8.7913	2	1949	1
289	106	130	0	0	-3.1234	10.894	-1.3985	8.82	2	1970	1
290	73.79	50	0	0	3.1441	10.815	5.4853	7.358	2	2029	1
291	101.61	90	0	0	-2.2608	11	-3.9233	8.5907	2	2049	1
292	105.76	90	0	0	-3.1139	11.034	-3.1373	8.734	2	2049	1
293	116.2	50	0	0	-4.9396	10.037	-8.854	6.5267	2	2029	1
294	135.78	130	0	0	-7.9818	7.767	-11.641	3.7747	2	2009	1
295	99.001	130	0	0	-1.7323	10.936	-1.4461	8.5907	2	2049	1
296	76.225	90	0	0	2.6498	10.808	4.0085	8.4187	2	2009	1
297	63.142	50	0	0	5.1118	10.094	4.4373	6.8707	2	2149	1
298	155.57	130	0	0	-10.471	4.7575	-12.236	2.9433	2	2149	1
299	127.76	90	0	0	-6.9465	8.9682	-7.2819	6.8133	2	2209	1
300	99.364	50	0	0	-1.8348	11.127	0.48326	9.6513	2	2089	1
427	133.13	130	0	0	-7.8258	8.3544	-8.854	5.7527	3	2048	1
428	121.72	50	0	0	-5.8212	9.4172	-5.2572	9.336	3	2030	1
429	86.111	90	0	0	0.7594	11.172	1.6266	8.5333	3	2049	1
430	120.62	90	0	0	-5.8008	9.8008	-8.2823	7.3867	3	2150	1
431	137.57	130	0	0	-8.2076	7.5027	-10.902	4.176	3	2070	1
432	86.4	50	0	0	0.7178	11.408	2.5556	7.3293	3	2129	1
