Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	530.336052202	116.755301794	0.000716	-0.085282	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	530.838499184	116.582381729	0.000870	-0.085335	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	531.843393148	116.243066884	0.001178	-0.085439	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	533.497553018	116.073409462	0.001685	-0.085491	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	535.063621533	116.24959217	0.002165	-0.085437	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	536.861337684	116.425774878	0.002716	-0.085383	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	538.707993475	116.862969005	0.003282	-0.085249	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	540.23817292	117.64274062	0.003751	-0.085010	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	541.905383361	118.337683524	0.004262	-0.084797	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	543.569331158	119.03588907	0.004772	-0.084583	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	545.004893964	119.730831974	0.005212	-0.084370	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	546.531810767	120.517128874	0.005680	-0.084129	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	547.732463295	121.215334421	0.006048	-0.083915	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	548.978792822	121.740619902	0.006430	-0.083754	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	550.088091354	122.353996737	0.006770	-0.083566	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	551.01141925	122.794453507	0.007053	-0.083431	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	551.79771615	123.316476346	0.007294	-0.083271	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	552.394779772	123.668841762	0.007477	-0.083163	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
187	45	552.672104405	123.929853181	0.007562	-0.083083	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
187	45	552.858075041	124.102773246	0.007619	-0.083030	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
187	45	552.95269168	124.1908646	0.007648	-0.083003	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
187	45	552.95269168	124.1908646	0.007648	-0.083003	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
187	45	552.815660685	124.275693312	0.007606	-0.082977	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
187	45	552.355628059	124.272430669	0.007465	-0.082978	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
187	45	552.127243067	124.269168026	0.007395	-0.082979	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
187	45	551.898858075	124.265905383	0.007325	-0.082980	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
187	45	551.76182708	124.350734095	0.007283	-0.082954	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
187	45	551.66721044	124.262642741	0.007254	-0.082981	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
187	45	551.66721044	124.262642741	0.007254	-0.082981	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
187	45	551.624796085	124.435562806	0.007241	-0.082928	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
187	45	551.716150082	124.52365416	0.007269	-0.082901	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
187	45	551.536704731	124.781402936	0.007214	-0.082822	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
187	45	551.353996737	125.03588907	0.007158	-0.082744	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
187	45	551.360522023	125.469820555	0.007160	-0.082611	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
187	45	551.22675367	125.985318108	0.007119	-0.082453	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
