Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	130	529.115823817	115.639477977	0.000342	-0.085624	528	395	0.0	-0.085	0	0	1	0	19
139	130	529.52365416	115.381729201	0.000467	-0.085703	528	395	0.0	-0.085	0	0	1	0	20
139	130	530.153344209	114.699836868	0.000660	-0.085912	528	395	0.0	-0.085	0	0	1	0	40
139	130	531.014681892	114.014681892	0.000924	-0.086122	528	395	0.0	-0.085	0	0	1	0	60
139	130	531.468189233	113.587275693	0.001063	-0.086253	528	395	0.0	-0.085	0	0	1	0	80
139	130	531.706362153	114.014681892	0.001136	-0.086122	528	395	0.0	-0.085	0	0	1	0	100
139	130	531.520391517	116.15497553	0.001079	-0.085466	528	395	0.0	-0.085	0	0	1	0	120
139	130	530.652528548	121.048939641	0.000813	-0.083966	528	395	0.0	-0.085	0	0	1	0	140
139	130	529.931484502	129.068515498	0.000592	-0.081508	528	395	0.0	-0.085	0	0	1	0	160
139	130	528.959216966	141.841761827	0.000294	-0.077593	528	395	0.0	-0.085	0	0	1	0	180
139	130	528.075040783	159.841761827	0.000023	-0.072076	528	395	0.0	-0.085	0	0	1	0	200
139	130	528.110929853	182.810766721	0.000034	-0.065036	528	395	0.0	-0.085	0	0	1	0	220
139	130	528.13050571	211.225122349	0.000040	-0.056327	528	395	0.0	-0.085	0	0	1	0	240
139	130	529.184339315	243.300163132	0.000363	-0.046496	528	395	0.0	-0.085	0	0	1	0	260
139	130	530.388254486	278.35725938	0.000732	-0.035751	528	395	0.0	-0.085	0	0	1	0	280
139	130	532.646003263	313.707993475	0.001424	-0.024916	528	395	0.0	-0.085	0	0	1	0	300
139	130	535.670473083	347.264274062	0.002351	-0.014631	528	395	0.0	-0.085	0	0	1	0	320
139	130	538.561174551	377.98858075	0.003237	-0.005214	528	395	0.0	-0.085	0	0	1	0	340
139	130	541.076672104	405.316476346	0.004008	0.003162	528	395	0.0	-0.085	0	0	1	0	360
139	130	542.884176183	428.791190865	0.004562	0.010357	528	395	0.0	-0.085	0	0	1	0	380
139	130	543.676998369	448.278955954	0.004805	0.016330	528	395	0.0	-0.085	0	0	1	0	400
