Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	60.7140757149	90	0.0	-0.085	0.055476	0.013914	602	600	1	5325
74	111.416441493	130	0.0	-0.085	-0.041578	0.021005	1068	617	1	4750
75	53.8542189255	50	0.0	-0.085	0.069122	0.009631	474	570	1	2970
76	83.4052711721	90	0.0	-0.085	0.013078	0.028121	822	672	1	3409
77	115.463977958	130	0.0	-0.085	-0.048529	0.016908	1093	540	1	2429
78	65.9521645165	50	0.0	-0.085	0.046859	0.020011	574	597	1	2289
79	100.164992717	130	0.0	-0.085	-0.020138	0.027316	897	635	1	2889
80	61.4851738174	90	0.0	-0.085	0.054623	0.015541	588	593	1	2449
81	59.4012311428	50	0.0	-0.085	0.059571	0.015734	548	565	1	2289
82	91.4232914808	90	0.0	-0.085	-0.002856	0.029947	915	627	1	2349
83	131.337872577	130	0.0	-0.085	-0.075724	0.001080	1174	462	1	2789
84	65.5192538226	50	0.0	-0.085	0.047907	0.020216	547	536	1	4351
85	53.4632359206	50	0.0	-0.085	0.067518	0.006123	472	524	1	2569
86	113.866039273	130	0.0	-0.085	-0.046026	0.019030	1065	540	1	2509
87	68.0686101458	90	0.0	-0.085	0.045064	0.026923	551	550	1	2950
88	119.792637115	130	0.0	-0.085	-0.058560	0.017282	1112	527	1	2368
89	52.4882938155	50	0.0	-0.085	0.067908	0.003462	524	567	1	5460
90	110.099233629	90	0.0	-0.085	-0.040227	0.024930	1053	549	1	2470
145	105.66395696	130	0.0	-0.085	-0.030465	0.023645	998	550	2	2549
146	60.3215192514	90	0.0	-0.085	0.057762	0.016356	499	512	2	3106
147	58.4274433097	50	0.0	-0.085	0.060119	0.012827	504	522	2	3128
148	95.8560397867	90	0.0	-0.085	-0.011382	0.025974	816	629	2	3640
149	136.275149699	130	0.0	-0.085	-0.083469	-0.005166	1122	547	2	3346
150	60.5416705723	50	0.0	-0.085	0.057276	0.016407	476	501	2	3384
151	108.105375393	130	0.0	-0.085	-0.034921	0.021807	957	608	2	2926
152	72.606767148	90	0.0	-0.085	0.035284	0.027638	585	571	2	3816
153	59.4230493822	50	0.0	-0.085	0.060129	0.016766	496	534	2	2824
154	130.806806979	130	0.0	-0.085	-0.075945	0.002962	1089	509	2	4118
155	63.4690037534	50	0.0	-0.085	0.052094	0.019343	570	568	2	2409
156	122.779532404	90	0.0	-0.085	-0.063858	0.014166	1106	522	2	2680
157	56.0222027288	90	0.0	-0.085	0.065868	0.012735	525	529	2	2922
158	45.58049332	50	0.0	-0.085	0.081334	-0.002001	459	483	2	2168
159	125.070766547	130	0.0	-0.085	-0.065040	0.007643	1076	524	2	2733
160	80.2216846303	90	0.0	-0.085	0.019719	0.029419	818	638	2	5741
161	133.866983764	130	0.0	-0.085	-0.079102	-0.002706	1090	525	2	3195
162	64.7766239915	50	0.0	-0.085	0.048356	0.017653	499	541	2	3439
217	99.2675914853	130	0.0	-0.085	-0.018213	0.026616	820	636	3	2330
218	67.5970389372	90	0.0	-0.085	0.044854	0.023808	522	553	3	3057
219	70.1224623805	50	0.0	-0.085	0.039604	0.024539	555	561	3	2209
220	70.1042924266	50	0.0	-0.085	0.038559	0.021543	625	616	3	2109
221	114.684108715	90	0.0	-0.085	-0.047364	0.018052	1016	562	3	2149
222	134.36041012	130	0.0	-0.085	-0.080562	-0.002619	1177	431	3	2049
223	49.0965257565	50	0.0	-0.085	0.076233	0.002995	494	530	3	2593
224	111.666534219	130	0.0	-0.085	-0.041648	0.019835	1011	582	3	3005
225	82.1411167427	90	0.0	-0.085	0.015711	0.028823	753	611	3	2149
226	59.3062897576	50	0.0	-0.085	0.059473	0.015189	576	555	3	2947
227	119.720506638	90	0.0	-0.085	-0.056084	0.013244	1094	526	3	2495
228	125.870532552	130	0.0	-0.085	-0.064934	0.004800	1128	498	3	2189
229	74.7651157951	90	0.0	-0.085	0.030150	0.025704	656	606	3	2452
230	118.53638535	130	0.0	-0.085	-0.053436	0.013268	994	568	3	2963
231	64.4495765187	50	0.0	-0.085	0.049573	0.018697	604	588	3	2190
232	128.532082689	130	0.0	-0.085	-0.070657	0.003726	1108	508	3	3026
233	89.9535756852	90	0.0	-0.085	0.000091	0.027310	749	616	3	2229
234	70.1854766078	50	0.0	-0.085	0.039194	0.023779	561	564	3	2564
289	84.1209061466	90	0.0	-0.085	0.011960	0.031149	708	659	4	2210
290	57.8216355467	50	0.0	-0.085	0.061666	0.013006	540	605	4	2179
291	118.772176956	130	0.0	-0.085	-0.054440	0.014140	1083	569	4	2169
292	107.149158473	130	0.0	-0.085	-0.033895	0.024842	979	555	4	2492
293	66.9807237734	50	0.0	-0.085	0.045282	0.021578	619	607	4	2249
294	99.4045463681	90	0.0	-0.085	-0.018515	0.026785	817	620	4	2369
295	53.6120513507	50	0.0	-0.085	0.067270	0.006283	540	566	4	2249
296	85.6842202103	90	0.0	-0.085	0.008514	0.027817	839	607	4	2189
297	126.399311499	130	0.0	-0.085	-0.067699	0.006827	1052	580	4	2873
298	84.409521709	90	0.0	-0.085	0.010940	0.026766	836	596	4	2588
