trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	100.19	130	0	0	-2.1258	11.824	-4.0424	-1.9873	1	13771	0
47	57.209	50	0	0	6.554	10.173	5.4377	5.294	1	31580	0
48	95.856	90	0	0	-1.2268	11.961	-1.4461	10.253	1	11794	1
49	86.945	90	0	0	0.6447	12.078	-1.6129	10.139	1	4789	1
50	122.82	130	0	0	-6.6097	10.249	-11.022	6.9567	1	6490	1
51	82.278	50	0	0	1.645	12.132	-1.0174	8.82	1	4939	1
52	75.678	90	0	0	3.0216	11.835	3.2463	8.82	1	3629	1
53	52.365	50	0	0	7.532	9.7683	9.5585	6.2113	1	4245	1
54	113.44	130	0	0	-4.882	11.259	-9.8067	10.626	1	7229	1
55	61.262	50	0	0	5.9125	10.783	5.2948	10.655	1	3787	1
56	119.23	130	0	0	-5.8972	10.539	-11.26	7.4727	1	5589	1
57	92.569	90	0	0	-0.546	12.171	-6.5435	11.113	1	4949	1
58	73.519	90	0	0	3.4673	11.72	0.98347	10.196	1	3249	1
59	112.9	130	0	0	-4.7745	11.305	-8.2108	9.7087	1	3145	1
60	57.316	50	0	0	6.571	10.242	7.6767	10.597	1	4535	1
61	97.789	90	0	0	-1.6435	12.016	-3.8995	12.145	1	3999	1
62	73.802	50	0	0	3.4473	11.867	2.2935	9.6513	1	3362	1
63	132.78	130	0	0	-8.3153	8.9873	-14.094	6.842	1	4429	1
118	82.11	90	0	0	1.6639	12.006	3.3654	11.601	2	3950	1
119	111.9	130	0	0	-4.5007	11.198	-9.4256	11.83	2	3749	1
120	54.875	50	0	0	7.1291	10.134	9.3203	10.999	2	3250	1
121	122.49	130	0	0	-6.5713	10.321	-11.879	9.1067	2	4929	1
122	95.163	90	0	0	-1.1036	12.214	-4.3283	10.941	2	3589	1
123	62.445	50	0	0	5.5665	10.668	1.3646	12.891	2	4421	1
124	100.25	130	0	0	-2.1937	12.13	-6.4244	11.429	2	2929	1
125	72.651	90	0	0	3.6485	11.679	2.6032	12.518	2	2995	1
126	60.442	50	0	0	6.0196	10.615	6.1285	11.285	2	3009	1
127	70.932	50	0	0	4.0694	11.773	4.7708	11.285	2	2959	1
128	124.9	130	0	0	-7.0134	10.055	-14.666	10.282	2	2909	1
129	91.916	90	0	0	-0.4173	12.475	-5.7098	11.429	2	2649	1
130	94.104	130	0	0	-0.8839	12.318	-5.7813	14.41	2	4829	1
131	78.559	90	0	0	2.4629	12.169	3.1749	13.808	2	2589	1
132	58.812	50	0	0	6.3755	10.532	9.3917	11.027	2	2669	1
133	64.702	50	0	0	5.207	11.017	6.5334	12.489	2	3113	1
134	101.24	90	0	0	-2.379	11.975	-11.117	12.031	2	2629	1
135	132.3	130	0	0	-8.1607	8.9675	-13.761	6.5267	2	2692	1
190	79.508	90	0	0	2.2624	12.217	2.1268	11.486	3	3209	1
191	52.921	50	0	0	7.3155	9.6803	7.0336	12.088	3	2709	1
192	115.51	130	0	0	-5.1799	10.855	-10.712	13.865	3	2829	1
193	116.27	130	0	0	-5.4979	11.141	-10.688	12.145	3	2910	1
194	94.042	90	0	0	-0.8656	12.249	-3.9472	13.636	3	3670	1
195	75.494	50	0	0	3.0078	11.625	0.88819	11.973	3	2549	1
196	52.826	50	0	0	7.5472	9.9525	9.225	7.7593	3	2690	1
197	80.343	90	0	0	2.0185	11.862	1.3884	12.747	3	3129	1
198	119.93	130	0	0	-5.9999	10.422	-11.879	10.97	3	3670	1
199	65.14	50	0	0	5.1464	11.107	5.6521	11.601	3	2489	1
200	106.45	90	0	0	-3.4534	11.693	-6.472	12.059	3	2569	1
201	125.08	130	0	0	-6.9773	9.9347	-14.475	9.2213	3	3509	1
202	72.343	90	0	0	3.7115	11.66	3.9609	11.457	3	2429	1
203	114.09	130	0	0	-5.1705	11.565	-10.736	13.521	3	2629	1
204	64.638	50	0	0	5.3635	11.315	9.1774	12.833	3	2629	1
205	107	130	0	0	-3.5848	11.723	-13.07	12.117	3	3985	1
206	102.47	90	0	0	-2.629	11.891	-5.019	14.783	3	2769	1
207	76.933	50	0	0	2.7719	11.943	-0.2075	12.203	3	3404	1
262	47.051	50	0	0	8.3364	8.9558	7.2956	11.056	4	2787	1
263	78.203	90	0	0	2.5888	12.395	0.07833	13.321	4	2909	1
264	118.53	130	0	0	-6.0152	11.064	-9.378	11.658	4	2829	1
265	81.726	90	0	0	1.736	11.937	-2.1845	12.518	4	2669	1
266	126.13	130	0	0	-7.3976	10.134	-12.093	11.314	4	2489	1
267	75.032	50	0	0	3.1319	11.715	0.74527	12.575	4	2610	1
268	100.77	130	0	0	-2.313	12.157	-16.476	-6.8893	4	2809	0
269	76.278	90	0	0	2.8596	11.711	2.103	11.859	4	2490	1
270	48.437	50	0	0	8.4237	9.5003	9.0106	11.085	4	2550	1
271	121.74	130	0	0	-6.6285	10.714	-13.88	14.123	4	2589	1
272	69.597	50	0	0	4.4142	11.868	3.556	14.639	4	4026	1
273	110.85	90	0	0	-4.3736	11.481	-8.2823	13.665	4	2509	1
274	94.714	130	0	0	-1.0003	12.131	-6.1862	12.403	4	2489	1
275	53.429	50	0	0	7.5757	10.212	8.1769	9.766	4	2469	1
276	78.576	90	0	0	2.5114	12.428	-1.1603	12.633	4	2589	1
277	68.843	50	0	0	4.5993	11.884	4.3658	13.321	4	2996	1
278	112.99	130	0	0	-4.9902	11.763	-12.832	11.887	4	2529	1
279	92.411	90	0	0	-0.5154	12.242	-8.4967	13.12	4	2572	1
