Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	114.423193514	130	0.0	-0.085	-0.049768	0.024595	1000	600	1	24703
47	85.183044801	90	0.0	-0.085	0.010125	0.035149	658	635	1	12302
48	76.6385441525	50	0.0	-0.085	0.027979	0.032795	646	644	1	13652
49	137.266837014	130	0.0	-0.085	-0.088255	-0.003466	1074	595	1	7660
50	83.801817457	90	0.0	-0.085	0.013051	0.035172	679	649	1	10002
51	72.0199620608	50	0.0	-0.085	0.037216	0.029675	581	623	1	6565
52	49.7843679178	50	0.0	-0.085	0.078085	0.007350	417	462	1	6367
53	150.220290157	130	0.0	-0.085	-0.105198	-0.024802	1152	558	1	6529
54	87.0382350865	90	0.0	-0.085	0.006212	0.035065	686	679	1	7009
55	154.992731741	130	0.0	-0.085	-0.109503	-0.033921	1148	534	1	6086
56	86.8696994737	90	0.0	-0.085	0.006577	0.035263	653	641	1	8048
57	49.9294628704	50	0.0	-0.085	0.077493	0.007122	410	504	1	5896
58	75.3478042785	50	0.0	-0.085	0.030543	0.031820	546	617	1	6088
59	97.0445483668	90	0.0	-0.085	-0.014763	0.034467	783	676	1	6185
60	128.680345145	130	0.0	-0.085	-0.075429	0.009217	930	650	1	5975
61	135.705745208	90	0.0	-0.085	-0.085961	-0.001131	971	637	1	6223
62	43.5455243765	50	0.0	-0.085	0.087331	-0.001994	415	486	1	7173
63	152.451332383	130	0.0	-0.085	-0.107266	-0.029045	1143	539	1	6525
118	41.9926756797	50	0.0	-0.085	0.089224	-0.004683	392	469	2	14688
119	148.111202047	130	0.0	-0.085	-0.102661	-0.021127	1181	474	2	5002
120	104.864234584	90	0.0	-0.085	-0.031159	0.032399	806	692	2	4419
121	127.290721788	90	0.0	-0.085	-0.073564	0.011599	911	675	2	4633
122	137.323666629	130	0.0	-0.085	-0.088305	-0.003582	968	633	2	4318
123	57.8965081091	50	0.0	-0.085	0.063857	0.016783	434	533	2	4928
124	140.691339379	130	0.0	-0.085	-0.093315	-0.008599	1032	621	2	4944
125	132.398095896	90	0.0	-0.085	-0.081050	0.003767	918	650	2	4933
126	68.3199080277	50	0.0	-0.085	0.044386	0.026650	425	520	2	5485
127	108.784694646	90	0.0	-0.085	-0.038652	0.028639	807	677	2	5127
128	164.487833137	130	0.0	-0.085	-0.115794	-0.052861	1151	499	2	4169
129	23.2884253858	50	0.0	-0.085	0.110692	-0.037355	356	410	2	5536
130	127.54764096	130	0.0	-0.085	-0.073366	0.010448	874	648	2	4640
131	88.8781913405	50	0.0	-0.085	0.002355	0.035265	655	633	2	5202
132	92.6055981648	90	0.0	-0.085	-0.005493	0.035705	712	651	2	5316
133	160.909016738	130	0.0	-0.085	-0.114526	-0.045362	1121	523	2	4864
134	44.5463288215	50	0.0	-0.085	0.086176	-0.000178	386	469	2	5070
135	95.4652464424	90	0.0	-0.085	-0.011442	0.034590	698	659	2	5274
190	83.2644845942	90	0.0	-0.085	0.014096	0.034355	632	664	3	5803
191	92.0157924795	50	0.0	-0.085	-0.004231	0.035210	651	664	3	4676
192	153.372611107	130	0.0	-0.085	-0.108397	-0.030654	1139	510	3	4232
193	51.0178712926	50	0.0	-0.085	0.075690	0.008529	415	484	3	4332
194	151.896709916	130	0.0	-0.085	-0.106939	-0.027892	1139	523	3	3829
195	101.05821949	90	0.0	-0.085	-0.023127	0.033336	804	692	3	4824
196	86.7129541817	90	0.0	-0.085	0.006950	0.036011	709	657	3	4670
197	92.1511105809	50	0.0	-0.085	-0.004519	0.035309	671	633	3	5218
198	145.79592036	130	0.0	-0.085	-0.099795	-0.017169	1031	606	3	4429
199	53.470565063	50	0.0	-0.085	0.071803	0.011932	406	478	3	5437
200	126.029189825	90	0.0	-0.085	-0.070932	0.012525	855	653	3	5025
201	150.268629503	130	0.0	-0.085	-0.105054	-0.025002	1047	573	3	4215
202	99.824362301	90	0.0	-0.085	-0.020532	0.033567	803	662	3	4663
203	141.515257648	130	0.0	-0.085	-0.094103	-0.010188	975	650	3	4269
204	58.3651360088	50	0.0	-0.085	0.062959	0.017199	473	520	3	4865
205	116.981629346	90	0.0	-0.085	-0.054810	0.022656	914	682	3	4167
206	167.500076837	130	0.0	-0.085	-0.118470	-0.058736	1195	446	3	3569
207	61.2444827626	50	0.0	-0.085	0.058067	0.020818	447	486	3	5017
262	162.740838978	130	0.0	-0.085	-0.115336	-0.049167	1199	425	4	8469
263	45.1983469344	50	0.0	-0.085	0.085496	0.001090	376	455	4	3969
264	100.300836332	90	0.0	-0.085	-0.021709	0.034447	796	678	4	4153
265	87.7675628856	50	0.0	-0.085	0.004680	0.035052	662	663	4	4729
266	92.7726249735	90	0.0	-0.085	-0.005838	0.035547	677	675	4	4797
267	151.501508873	130	0.0	-0.085	-0.106380	-0.027244	1139	497	4	4229
268	40.0811127904	50	0.0	-0.085	0.092280	-0.007345	413	478	4	4573
269	94.9777667139	90	0.0	-0.085	-0.010437	0.034831	736	677	4	4949
270	158.61185788	130	0.0	-0.085	-0.111950	-0.041154	1154	505	4	4029
271	149.346213401	130	0.0	-0.085	-0.103738	-0.023518	1027	596	4	6349
272	50.5575200841	50	0.0	-0.085	0.076964	0.008556	455	481	4	7969
273	110.878532755	90	0.0	-0.085	-0.043065	0.027903	830	636	4	4465
274	143.964763996	130	0.0	-0.085	-0.097480	-0.014085	1033	622	4	3888
275	45.2548649847	50	0.0	-0.085	0.084599	0.000355	382	433	4	4432
276	130.256833221	90	0.0	-0.085	-0.077624	0.006671	886	661	4	4449
277	98.7289681393	90	0.0	-0.085	-0.018263	0.033947	779	664	4	5396
278	141.377468732	130	0.0	-0.085	-0.093770	-0.010084	998	608	4	4535
279	62.8275591264	50	0.0	-0.085	0.055215	0.022564	498	562	4	6529
