Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	90	528.300163132	116.15497553	0.000092	-0.085466	528	395	0.0	-0.085	0	0	1	0	19
139	90	528.613376835	115.812398042	0.000188	-0.085571	528	395	0.0	-0.085	0	0	1	0	23
139	90	528.929853181	115.469820555	0.000285	-0.085676	528	395	0.0	-0.085	0	0	1	0	40
139	90	528.920065253	115.039151713	0.000282	-0.085808	528	395	0.0	-0.085	0	0	1	0	60
139	90	528.77324633	114.696574225	0.000237	-0.085913	528	395	0.0	-0.085	0	0	1	0	80
139	90	528.584013051	114.526916803	0.000179	-0.085965	528	395	0.0	-0.085	0	0	1	0	101
139	90	528.032626427	114.442088091	0.000010	-0.085991	528	395	0.0	-0.085	0	0	1	0	120
139	90	526.890701468	114.86949429	-0.000340	-0.085860	528	395	0.0	-0.085	0	0	1	0	140
139	90	525.340946166	115.554649266	-0.000815	-0.085650	528	395	0.0	-0.085	0	0	1	0	160
139	90	523.288743883	116.415986949	-0.001444	-0.085386	528	395	0.0	-0.085	0	0	1	0	181
139	90	519.380097879	118.314845024	-0.002642	-0.084804	528	395	0.0	-0.085	0	0	1	0	200
139	90	514.339314845	120.657422512	-0.004187	-0.084086	528	395	0.0	-0.085	0	0	1	0	220
139	90	508.362153344	123.623164763	-0.006019	-0.083177	528	395	0.0	-0.085	0	0	1	0	241
139	90	500.267536705	127.414355628	-0.008500	-0.082015	528	395	0.0	-0.085	0	0	1	0	261
139	90	491.579119086	131.942903752	-0.011163	-0.080627	528	395	0.0	-0.085	0	0	1	0	281
139	90	481.278955954	137.769983687	-0.014320	-0.078841	528	395	0.0	-0.085	0	0	1	0	300
139	90	469.308319739	145.27406199	-0.017989	-0.076541	528	395	0.0	-0.085	0	0	1	0	321
139	90	455.673735726	154.69004894	-0.022168	-0.073655	528	395	0.0	-0.085	0	0	1	0	340
139	90	441.158238173	165.691680261	-0.026617	-0.070283	528	395	0.0	-0.085	0	0	1	0	361
139	90	425.641109299	178.605220228	-0.031373	-0.066325	528	395	0.0	-0.085	0	0	1	0	380
139	90	408.296900489	193.985318108	-0.036689	-0.061611	528	395	0.0	-0.085	0	0	1	0	401
139	90	390.061990212	211.427406199	-0.042278	-0.056265	528	395	0.0	-0.085	0	0	1	0	420
139	90	371.530179445	229.77324633	-0.047958	-0.050642	528	395	0.0	-0.085	0	0	1	0	440
139	90	353.128874388	248.546492659	-0.053598	-0.044888	528	395	0.0	-0.085	0	0	1	0	460
139	90	334.740619902	267.199021207	-0.059234	-0.039171	528	395	0.0	-0.085	0	0	1	0	481
139	90	316.515497553	285.420880914	-0.064820	-0.033586	528	395	0.0	-0.085	0	0	1	0	500
139	90	299.063621533	302.445350734	-0.070169	-0.028368	528	395	0.0	-0.085	0	0	1	0	520
139	90	282.535073409	318.399673736	-0.075235	-0.023478	528	395	0.0	-0.085	0	0	1	0	540
139	90	267.911908646	332.432300163	-0.079717	-0.019177	528	395	0.0	-0.085	0	0	1	0	560
139	90	255.021207178	344.579119086	-0.083668	-0.015454	528	395	0.0	-0.085	0	0	1	0	581
139	90	244.192495922	354.924959217	-0.086987	-0.012283	528	395	0.0	-0.085	-0.086987	-0.012283	1	0	1348
140	50	528.867862969	114.784665579	0.000266	-0.085886	528	395	0.0	-0.085	0	0	1	0	19
140	50	529.275693312	114.526916803	0.000391	-0.085965	528	395	0.0	-0.085	0	0	1	0	22
140	50	529.853181077	113.587275693	0.000568	-0.086253	528	395	0.0	-0.085	0	0	1	0	41
140	50	530.486133768	112.902120718	0.000762	-0.086463	528	395	0.0	-0.085	0	0	1	0	61
140	50	530.799347471	112.55954323	0.000858	-0.086568	528	395	0.0	-0.085	0	0	1	0	80
140	50	531.344208809	112.220228385	0.001025	-0.086672	528	395	0.0	-0.085	0	0	1	0	101
140	50	531.533442088	112.389885808	0.001083	-0.086620	528	395	0.0	-0.085	0	0	1	0	120
140	50	531.553017945	113.244698206	0.001089	-0.086358	528	395	0.0	-0.085	0	0	1	0	140
140	50	531.389885808	114.35725938	0.001039	-0.086017	528	395	0.0	-0.085	0	0	1	0	161
140	50	531.298531811	116.585644372	0.001011	-0.085334	528	395	0.0	-0.085	0	0	1	0	180
140	50	530.67862969	120.017944535	0.000821	-0.084282	528	395	0.0	-0.085	0	0	1	0	200
140	50	530.446982055	124.663947798	0.000750	-0.082858	528	395	0.0	-0.085	0	0	1	0	220
140	50	530.463295269	130.628058728	0.000755	-0.081030	528	395	0.0	-0.085	0	0	1	0	241
140	50	530.584013051	138.008156607	0.000792	-0.078768	528	395	0.0	-0.085	0	0	1	0	260
140	50	531.037520392	147.264274062	0.000931	-0.075931	528	395	0.0	-0.085	0	0	1	0	280
140	50	531.582381729	158.432300163	0.001098	-0.072508	528	395	0.0	-0.085	0	0	1	0	301
140	50	531.575856444	172.265905383	0.001096	-0.068268	528	395	0.0	-0.085	0	0	1	0	321
140	50	530.913539967	188.742251223	0.000893	-0.063218	528	395	0.0	-0.085	0	0	1	0	340
140	50	530.649265905	207.212071778	0.000812	-0.057557	528	395	0.0	-0.085	0	0	1	0	360
140	50	530.088091354	228.663947798	0.000640	-0.050982	528	395	0.0	-0.085	0	0	1	0	380
140	50	529.337683524	252.164763458	0.000410	-0.043779	528	395	0.0	-0.085	0	0	1	0	401
140	50	528.378466558	277.7862969	0.000116	-0.035926	528	395	0.0	-0.085	0	0	1	0	420
140	50	528.176182708	304.539967374	0.000054	-0.027726	528	395	0.0	-0.085	0	0	1	0	441
140	50	527.265905383	332.262642741	-0.000225	-0.019229	528	395	0.0	-0.085	0	0	1	0	460
140	50	526.60685155	359.580750408	-0.000427	-0.010856	528	395	0.0	-0.085	0	0	1	0	480
140	50	525.500815661	386.360522023	-0.000766	-0.002648	528	395	0.0	-0.085	0	0	1	0	501
140	50	524.215334421	411.554649266	-0.001160	0.005074	528	395	0.0	-0.085	0	0	1	0	521
140	50	523.001631321	434.572593801	-0.001532	0.012129	528	395	0.0	-0.085	0	0	1	0	541
140	50	522.300163132	454.823817292	-0.001747	0.018336	528	395	0.0	-0.085	0	0	1	0	561
140	50	521.543230016	472.233278956	-0.001979	0.023672	528	395	0.0	-0.085	0	0	1	0	581
140	50	521.057096248	486.311582382	-0.002128	0.027987	528	395	0.0	-0.085	-0.002128	0.027987	1	0	1349
141	130	528.482871126	114.01141925	0.000148	-0.086123	528	395	0.0	-0.085	0	0	1	0	19
141	130	528.838499184	113.499184339	0.000257	-0.086280	528	395	0.0	-0.085	0	0	1	0	22
141	130	529.774877651	112.04730832	0.000544	-0.086725	528	395	0.0	-0.085	0	0	1	0	40
141	130	530.384991843	110.510603589	0.000731	-0.087196	528	395	0.0	-0.085	0	0	1	0	61
141	130	530.36867863	109.655791191	0.000726	-0.087458	528	395	0.0	-0.085	0	0	1	0	80
141	130	529.800978793	109.143556281	0.000552	-0.087615	528	395	0.0	-0.085	0	0	1	0	100
141	130	529.014681892	109.058727569	0.000311	-0.087641	528	395	0.0	-0.085	0	0	1	0	121
