trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	51.841	50	0	0	6.9337	8.8242	6.7478	5.8673	1	9334	1
74	139.62	130	0	0	-8.6511	7.3562	-8.711	4.8927	1	5998	1
75	126.08	90	0	0	-6.6129	9.0761	-6.5911	6.8707	1	4641	1
76	50.538	90	0	0	7.1009	8.6257	4.5802	6.67	1	5491	1
77	139.78	130	0	0	-8.5367	7.2204	-8.8063	5.6093	1	6339	1
78	66.344	50	0	0	5.2367	11.955	5.7235	6.068	1	6937	0
79	98.521	90	0	0	-1.649	11.007	-3.5899	8.6193	1	5745	1
80	104.57	130	0	0	-2.7999	10.773	-2.6371	7.788	1	5823	1
81	70.15	50	0	0	3.9626	10.976	3.151	8.2753	1	8405	1
82	90.515	90	0	0	-0.1044	11.62	-1.5652	8.9633	1	5303	1
83	73.529	50	0	0	3.2655	11.045	3.2701	7.2147	1	5677	1
84	116.86	130	0	0	-5.153	10.173	-5.4716	7.788	1	5210	1
85	134.21	130	0	0	-8.027	8.2529	-8.5681	6.5553	1	4930	1
86	75.155	90	0	0	3.3294	12.561	0.86437	9.25	1	6410	1
87	32.009	50	0	0	11.016	6.8864	8.2484	4.606	1	6842	1
88	134.29	130	0	0	-9.1175	9.3451	-8.854	5.0073	1	7396	0
89	50.628	50	0	0	7.1233	8.6807	5.7712	5.7527	1	7168	1
90	121.01	90	0	0	-5.8395	9.7133	-6.5673	6.67	1	5991	1
145	94.15	50	0	0	-0.8114	11.182	1.2931	8.0173	2	4619	1
146	131.01	130	0	0	-7.4156	8.5282	-7.9012	6.068	2	4390	1
147	112.81	90	0	0	-4.3954	10.452	-4.3044	7.788	2	4089	1
148	129.37	130	0	0	-7.1318	8.6909	-7.8774	5.9247	2	5569	1
149	37.5	50	0	0	9.1842	7.0474	8.8677	3.6027	2	4789	1
150	70.098	90	0	0	3.8114	10.528	2.365	8.304	2	4909	1
151	122.21	130	0	0	-6.4572	10.249	-8.0203	4.864	2	5069	0
152	97.817	90	0	0	-1.5202	11.074	-3.3993	7.3867	2	4829	1
153	31.898	50	0	0	9.7597	6.0743	8.2246	3.5167	2	3969	1
154	140.21	130	0	0	-8.596	7.1586	-9.4494	3.7173	2	3869	1
155	35.254	50	0	0	9.1233	6.4486	8.2722	3.832	2	4584	1
156	92.224	90	0	0	-0.4357	11.22	-1.6843	8.39	2	4158	1
157	73.761	50	0	0	3.1699	10.883	1.0311	7.7307	2	3993	1
158	122.06	130	0	0	-5.9786	9.5443	-7.0199	7.5873	2	4104	1
159	65.657	90	0	0	4.8575	10.736	2.7699	8.5907	2	4148	1
160	146.32	130	0	0	-9.3357	6.2218	-10.474	3.058	2	4009	1
161	67.269	50	0	0	4.5291	10.811	2.9605	8.3613	2	4069	1
162	92.559	90	0	0	-0.5086	11.381	-1.6843	8.6193	2	4389	1
217	122.03	90	0	0	-5.8675	9.3808	-6.1862	7.2147	3	6699	1
218	28.944	50	0	0	9.845	5.4445	8.8439	1.252	3	3930	1
219	137.62	130	0	0	-8.1887	7.4731	-9.5209	4.692	3	4792	1
220	54.429	50	0	0	6.7727	9.4701	6.3905	5.638	3	4645	1
221	101.09	90	0	0	-2.1553	10.993	-4.2568	7.3867	3	5615	1
222	102.44	130	0	0	-2.4033	10.894	-4.1854	7.96	3	4815	1
223	56.023	90	0	0	6.3104	9.3635	4.0085	7.702	3	4869	1
224	134.9	130	0	0	-7.8622	7.8898	-10.021	3.7747	3	4971	1
225	54.117	50	0	0	6.691	9.2492	6.0094	5.2653	3	4315	1
226	60.441	50	0	0	5.523	9.7384	4.3897	6.5553	3	4639	1
227	77.257	90	0	0	2.4911	11.015	1.7457	8.218	3	5057	1
228	142.11	130	0	0	-8.8646	6.8987	-10.235	3.2013	3	4429	1
229	88.444	90	0	0	0.3063	11.273	0.91201	9.4507	3	4374	1
230	43.842	50	0	0	8.4178	8.0843	8.2722	4.2907	3	4158	1
231	101.84	130	0	0	-2.3384	11.15	-4.6856	8.2467	3	4210	1
232	62.952	50	0	0	5.2821	10.345	3.6274	7.8167	3	4409	1
233	91.298	90	0	0	-0.2543	11.222	-2.0178	8.8773	3	4809	1
234	113.9	130	0	0	-4.5079	10.172	-4.9476	7.3007	3	4720	1
289	95.522	90	0	0	-1.0685	11.052	-1.1365	8.9347	4	4940	1
290	143.36	130	0	0	-8.9129	6.6293	-10.093	3.144	4	4169	1
291	39.364	50	0	0	8.8431	7.2545	7.4385	3.23	4	4734	1
292	123.67	130	0	0	-6.2915	9.4429	-7.9965	6.4693	4	4649	1
293	105.35	90	0	0	-2.9683	10.813	-4.7094	8.1033	4	4049	1
294	52.801	50	0	0	6.7205	8.8543	-5.3287	0.36334	4	4769	0
295	44.989	50	0	0	8.1939	8.1907	8.5342	4.004	4	4749	1
296	64.168	90	0	0	4.8478	10.014	4.342	7.5013	4	4369	1
297	139.45	130	0	0	-8.5086	7.2802	-10.188	3.8033	4	3929	1
298	55.27	50	0	0	6.4787	9.346	5.6997	5.5807	4	4449	1
299	102.35	90	0	0	-2.3625	10.794	-4.1854	7.9027	4	5529	1
300	117.98	130	0	0	-5.2701	9.9182	-6.5197	6.412	4	4409	1
301	137.27	130	0	0	-8.1477	7.5257	-10.14	3.6887	4	4309	1
