Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	87.8445283789	90	0.0	-0.085	0.004253	0.027998	704	770	1	2929
74	139.721788536	130	0.0	-0.085	-0.085555	-0.012500	1151	633	1	3377
75	39.8477296992	50	0.0	-0.085	0.086169	-0.013085	355	607	1	3537
76	78.5389233321	90	0.0	-0.085	0.022705	0.026988	595	784	1	3753
77	62.9304592027	50	0.0	-0.085	0.052214	0.017169	558	734	1	4221
78	117.321608599	130	0.0	-0.085	-0.051005	0.013729	936	771	1	3731
79	126.949376944	130	0.0	-0.085	-0.067080	0.004182	1040	677	1	3467
80	39.3621874374	50	0.0	-0.085	0.088305	-0.012563	705	633	1	3825
81	101.865973352	90	0.0	-0.085	-0.023137	0.025117	764	793	1	4399
82	76.9138550084	90	0.0	-0.085	0.025305	0.023861	598	768	1	5169
83	144.578765455	130	0.0	-0.085	-0.092666	-0.019094	1168	571	1	5169
84	70.465709777	50	0.0	-0.085	0.038176	0.022601	595	755	1	4102
85	156.191787195	130	0.0	-0.085	-0.105672	-0.038375	1188	550	1	4407
86	23.8684955747	50	0.0	-0.085	0.102445	-0.039670	285	539	1	4041
87	84.2604020948	90	0.0	-0.085	0.011244	0.026868	599	784	1	3337
88	93.9636296253	90	0.0	-0.085	-0.007823	0.027904	715	789	1	3610
89	53.4528134238	50	0.0	-0.085	0.069906	0.009310	638	602	1	3834
90	146.312964668	130	0.0	-0.085	-0.095936	-0.021050	1155	621	1	4526
145	42.3067089417	50	0.0	-0.085	0.082955	-0.009499	340	620	2	3603
146	64.1342962587	90	0.0	-0.085	0.050096	0.018326	638	762	2	3260
147	132.183289053	130	0.0	-0.085	-0.077184	0.000172	1100	670	2	3418
148	123.130241787	130	0.0	-0.085	-0.061607	0.009396	1037	722	2	3000
149	105.246753056	90	0.0	-0.085	-0.029382	0.022796	840	759	2	3287
150	47.7291480704	50	0.0	-0.085	0.078584	0.001451	399	639	2	3103
151	77.6329322627	90	0.0	-0.085	0.024153	0.025156	692	762	2	3405
152	40.2058917083	50	0.0	-0.085	0.086787	-0.011644	392	547	2	3768
153	109.999251589	130	0.0	-0.085	-0.038782	0.021557	896	741	2	4120
154	118.291701806	130	0.0	-0.085	-0.054645	0.016522	1007	718	2	3802
155	85.5178801993	90	0.0	-0.085	0.008942	0.029074	806	732	2	4004
156	44.7810170349	50	0.0	-0.085	0.083652	-0.001985	478	619	2	4157
157	86.6379299916	90	0.0	-0.085	0.006696	0.028981	751	802	2	3960
158	63.5328834199	50	0.0	-0.085	0.054456	0.024379	622	727	2	3578
159	121.191953507	130	0.0	-0.085	-0.059254	0.012871	879	766	2	4240
160	64.9752973575	50	0.0	-0.085	0.048749	0.019425	625	749	2	4610
161	73.8720989614	90	0.0	-0.085	0.031720	0.024696	568	752	2	3650
162	141.520691262	130	0.0	-0.085	-0.088056	-0.015009	1047	227	2	3474
217	64.5377581374	50	0.0	-0.085	0.049918	0.019833	702	675	3	5113
218	90.1747121509	90	0.0	-0.085	-0.000350	0.029780	649	787	3	3309
219	128.830579399	130	0.0	-0.085	-0.074186	0.007168	1154	606	3	2959
220	113.443682687	130	0.0	-0.085	-0.045906	0.020861	877	717	3	3323
221	88.4061399309	50	0.0	-0.085	0.003254	0.031944	650	788	3	3399
222	90.2696469188	90	0.0	-0.085	-0.000526	0.026766	647	769	3	3219
223	107.47635462	90	0.0	-0.085	-0.033656	0.021897	746	758	3	3499
224	131.960116487	130	0.0	-0.085	-0.077660	0.001371	1107	658	3	3563
225	81.7276584375	50	0.0	-0.085	0.017876	0.037951	633	765	3	3693
226	69.9512761171	50	0.0	-0.085	0.039257	0.022573	613	795	3	3909
227	82.0313320963	90	0.0	-0.085	0.015691	0.027092	628	787	3	3673
228	131.317218334	130	0.0	-0.085	-0.074455	-0.000301	905	566	3	3605
229	138.087443567	130	0.0	-0.085	-0.086600	-0.007264	1056	700	3	3639
230	104.017004719	90	0.0	-0.085	-0.027817	0.026427	872	754	3	3499
231	59.5650254497	50	0.0	-0.085	0.060123	0.017334	489	682	3	3984
232	91.9130648726	90	0.0	-0.085	-0.003860	0.030563	693	739	3	3685
233	135.809523462	130	0.0	-0.085	-0.085481	-0.001901	1040	707	3	3488
234	72.4390953266	50	0.0	-0.085	0.033638	0.021292	857	580	3	4304
289	44.3233167107	50	0.0	-0.085	0.080913	-0.005976	396	650	4	3819
290	123.158084215	130	0.0	-0.085	-0.061089	0.008503	1024	716	4	3099
291	91.7748810916	90	0.0	-0.085	-0.003570	0.030208	731	750	4	2895
292	80.2941739002	50	0.0	-0.085	0.019558	0.029349	979	552	4	2819
293	69.3524700431	90	0.0	-0.085	0.039133	0.018850	611	776	4	2919
294	124.287439374	130	0.0	-0.085	-0.062507	0.006675	1064	677	4	3279
295	138.585686617	130	0.0	-0.085	-0.085520	-0.009566	1115	636	4	3505
296	54.3550202227	50	0.0	-0.085	0.066740	0.008067	510	707	4	3567
297	86.8743484525	90	0.0	-0.085	0.006266	0.029747	609	783	4	3233
298	68.2354237434	50	0.0	-0.085	0.042200	0.020697	544	734	4	3261
299	104.381999538	90	0.0	-0.085	-0.028631	0.026656	696	730	4	3467
300	117.743169348	130	0.0	-0.085	-0.052368	0.014564	860	733	4	3440
301	68.3849976008	50	0.0	-0.085	0.041420	0.019535	645	741	4	3242
302	141.76372473	130	0.0	-0.085	-0.089629	-0.014377	1104	654	4	3276
303	96.4497049441	90	0.0	-0.085	-0.012740	0.027697	771	803	4	3719
304	72.8241741799	50	0.0	-0.085	0.034002	0.025007	604	784	4	3474
305	124.296699133	130	0.0	-0.085	-0.063944	0.008750	1047	717	4	3486
306	133.750375636	90	0.0	-0.085	-0.080471	-0.000940	965	754	4	3419
