Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	529.823817292	116.497553018	0.000559	-0.085361	528	395	0.0	-0.085	0.0	0.035	1	0	1
1	90	530.231647635	116.239804241	0.000684	-0.085440	528	395	0.0	-0.085	0.0	0.035	1	0	21
1	90	531.239804241	115.897226754	0.000993	-0.085545	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	532.796084829	115.64274062	0.001470	-0.085623	528	395	0.0	-0.085	0.0	0.035	1	0	61
1	90	534.639477977	115.649265905	0.002035	-0.085621	528	395	0.0	-0.085	0.0	0.035	1	0	81
1	90	536.707993475	115.655791191	0.002669	-0.085619	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	538.515497553	116.262642741	0.003223	-0.085433	528	395	0.0	-0.085	0.0	0.035	1	0	121
1	90	540.319738989	116.86949429	0.003776	-0.085247	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	542.208809135	117.140293638	0.004355	-0.085164	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	543.86949429	117.407830343	0.004864	-0.085082	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	545.477977162	117.417618271	0.005357	-0.085079	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	546.949429038	117.515497553	0.005808	-0.085049	528	395	0.0	-0.085	0.0	0.035	1	0	221
1	90	548.101141925	117.525285481	0.006161	-0.085046	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	549.52365416	117.365415987	0.006597	-0.085095	528	395	0.0	-0.085	0.0	0.035	1	0	261
1	90	550.443719413	117.371941272	0.006879	-0.085093	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	551.22675367	117.466557912	0.007119	-0.085064	528	395	0.0	-0.085	0.0	0.035	1	0	301
1	90	551.504078303	117.727569331	0.007204	-0.084984	528	395	0.0	-0.085	0.0	0.035	1	0	321
1	90	551.461663948	117.897226754	0.007191	-0.084932	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	551.324632953	117.982055465	0.007149	-0.084906	528	395	0.0	-0.085	0.0	0.035	1	0	361
1	90	551.138662316	117.8091354	0.007092	-0.084959	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	550.907014682	117.805872757	0.007021	-0.084960	528	395	0.0	-0.085	0.0	0.035	1	0	400
1	90	550.721044046	117.632952692	0.006964	-0.085013	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	550.629690049	117.54812398	0.006936	-0.085039	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	550.629690049	117.54812398	0.006936	-0.085039	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	550.721044046	117.632952692	0.006964	-0.085013	528	395	0.0	-0.085	0.0	0.035	1	0	481
1	90	550.77324633	117.890701468	0.006980	-0.084934	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	550.597063622	118.575856444	0.006926	-0.084724	528	395	0.0	-0.085	0.0	0.035	1	0	521
1	90	550.567699837	120.037520392	0.006917	-0.084276	528	395	0.0	-0.085	0.0	0.035	1	0	540
1	90	550.492659054	121.668841762	0.006894	-0.083776	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	550.518760196	123.822185971	0.006902	-0.083116	528	395	0.0	-0.085	0.0	0.035	1	0	581
1	90	551.272430669	125.812398042	0.007133	-0.082506	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	552.251223491	127.8091354	0.007433	-0.081894	528	395	0.0	-0.085	0.0	0.035	1	0	620
1	90	553.732463295	129.639477977	0.007887	-0.081333	528	395	0.0	-0.085	0.0	0.035	1	0	640
1	90	555.301794454	131.561174551	0.008368	-0.080744	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	557.004893964	133.838499184	0.008890	-0.080046	528	395	0.0	-0.085	0.0	0.035	1	0	681
1	90	558.616639478	136.461663948	0.009384	-0.079242	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	559.676998369	139.871125612	0.009709	-0.078197	528	395	0.0	-0.085	0.0	0.035	1	0	720
1	90	561.008156607	143.554649266	0.010117	-0.077068	528	395	0.0	-0.085	0.0	0.035	1	0	740
1	90	562.329526917	147.685154976	0.010522	-0.075802	528	395	0.0	-0.085	0.0	0.035	1	0	761
1	90	563.096247961	152.171288744	0.010757	-0.074427	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	564.401305057	156.768352365	0.011157	-0.073018	528	395	0.0	-0.085	0.0	0.035	1	0	801
1	90	565.331158238	161.907014682	0.011442	-0.071443	528	395	0.0	-0.085	0.0	0.035	1	0	821
1	90	566.163132137	166.970636215	0.011697	-0.069891	528	395	0.0	-0.085	0.0	0.035	1	0	840
1	90	567.027732463	172.32137031	0.011962	-0.068251	528	395	0.0	-0.085	0.0	0.035	1	0	860
1	90	567.207177814	178.122349103	0.012017	-0.066473	528	395	0.0	-0.085	0.0	0.035	1	0	880
1	90	567.644371941	183.77324633	0.012151	-0.064741	528	395	0.0	-0.085	0.0	0.035	1	0	900
1	90	568.032626427	189.172920065	0.012270	-0.063086	528	395	0.0	-0.085	0.0	0.035	1	0	921
1	90	568.414355628	194.592169657	0.012387	-0.061425	528	395	0.0	-0.085	0.0	0.035	1	0	940
1	90	568.743882545	199.756933116	0.012488	-0.059842	528	395	0.0	-0.085	0.0	0.035	1	0	960
1	90	569.295269168	204.48776509	0.012657	-0.058392	528	395	0.0	-0.085	0.0	0.035	1	0	980
1	90	569.079934747	209.584013051	0.012591	-0.056830	528	395	0.0	-0.085	0.0	0.035	1	0	1000
1	90	569.044045677	214.422512235	0.012580	-0.055347	528	395	0.0	-0.085	0.0	0.035	1	0	1021
1	90	568.691680261	219.179445351	0.012472	-0.053889	528	395	0.0	-0.085	0.0	0.035	1	0	1040
1	90	567.814029364	223.848287113	0.012203	-0.052458	528	395	0.0	-0.085	0.0	0.035	1	0	1060
1	90	566.626427406	228.435562806	0.011839	-0.051052	528	395	0.0	-0.085	0.0	0.035	1	0	1080
1	90	565.670473083	232.572593801	0.011546	-0.049784	528	395	0.0	-0.085	0.0	0.035	1	0	1101
1	90	564.587275693	236.350734095	0.011214	-0.048626	528	395	0.0	-0.085	0.0	0.035	1	0	1120
1	90	562.453507341	240.399673736	0.010560	-0.047385	528	395	0.0	-0.085	0.0	0.035	1	0	1140
1	90	559.931484502	244.269168026	0.009787	-0.046199	528	395	0.0	-0.085	0.0	0.035	1	0	1160
1	90	557.295269168	247.776508972	0.008979	-0.045124	528	395	0.0	-0.085	0.0	0.035	1	0	1180
1	90	554.446982055	251.290375204	0.008106	-0.044047	528	395	0.0	-0.085	0.0	0.035	1	0	1200
1	90	551.308319739	254.24959217	0.007144	-0.043140	528	395	0.0	-0.085	0.0	0.035	1	0	1220
1	90	548.30995106	257.123980424	0.006225	-0.042259	528	395	0.0	-0.085	0.0	0.035	1	0	1241
1	90	545.148450245	259.818923328	0.005256	-0.041433	528	395	0.0	-0.085	0.0	0.035	1	0	1260
1	90	542.075040783	262.618270799	0.004314	-0.040575	528	395	0.0	-0.085	0.0	0.035	1	0	1281
1	90	539.269168026	265.23817292	0.003454	-0.039772	528	395	0.0	-0.085	0.0	0.035	1	0	1300
1	90	536.724306688	268.151712887	0.002674	-0.038879	528	395	0.0	-0.085	0.0	0.035	1	0	1321
1	90	533.794453507	271.352365416	0.001776	-0.037898	528	395	0.0	-0.085	0.0	0.035	1	0	1341
1	90	531.292006525	275.039151713	0.001009	-0.036768	528	395	0.0	-0.085	0.0	0.035	1	0	1360
1	90	528.88091354	278.830342577	0.000270	-0.035606	528	395	0.0	-0.085	0.0	0.035	1	0	1380
1	90	527.373572594	282.438825449	-0.000192	-0.034500	528	395	0.0	-0.085	0.0	0.035	1	0	1401
1	90	526.818923328	285.675367047	-0.000362	-0.033508	528	395	0.0	-0.085	0.0	0.035	1	0	1420
1	90	526.815660685	288.823817292	-0.000363	-0.032543	528	395	0.0	-0.085	0.0	0.035	1	0	1440
1	90	527.663947798	291.975530179	-0.000103	-0.031577	528	395	0.0	-0.085	0.0	0.035	1	0	1460
1	90	529.148450245	295.133768352	0.000352	-0.030609	528	395	0.0	-0.085	0.0	0.035	1	0	1481
1	90	531.347471452	298.39314845	0.001026	-0.029610	528	395	0.0	-0.085	0.0	0.035	1	0	1501
1	90	534.123980424	301.854812398	0.001877	-0.028549	528	395	0.0	-0.085	0.0	0.035	1	0	1520
1	90	536.929853181	305.616639478	0.002737	-0.027396	528	395	0.0	-0.085	0.0	0.035	1	0	1541
1	90	539.673735726	309.580750408	0.003578	-0.026181	528	395	0.0	-0.085	0.0	0.035	1	0	1560
1	90	541.970636215	314.037520392	0.004282	-0.024815	528	395	0.0	-0.085	0.0	0.035	1	0	1580
1	90	544.254486134	318.507340946	0.004982	-0.023445	528	395	0.0	-0.085	0.0	0.035	1	0	1600
1	90	546.052202284	323.179445351	0.005533	-0.022013	528	395	0.0	-0.085	0.0	0.035	1	0	1620
1	90	547.889070147	327.672104405	0.006096	-0.020636	528	395	0.0	-0.085	0.0	0.035	1	0	1640
1	90	548.779771615	332.556280587	0.006369	-0.019139	528	395	0.0	-0.085	0.0	0.035	1	0	1660
1	90	549.72593801	336.765089723	0.006659	-0.017849	528	395	0.0	-0.085	0.0	0.035	1	0	1680
1	90	549.442088091	341.267536705	0.006572	-0.016469	528	395	0.0	-0.085	0.0	0.035	1	0	1700
1	90	549.174551387	345.290375204	0.006490	-0.015236	528	395	0.0	-0.085	0.0	0.035	1	0	1720
1	90	547.898858075	349.60685155	0.006099	-0.013913	528	395	0.0	-0.085	0.0	0.035	1	0	1740
1	90	546.127243067	353.828711256	0.005556	-0.012619	528	395	0.0	-0.085	0.0	0.035	1	0	1761
1	90	543.738988581	358.053833605	0.004824	-0.011324	528	395	0.0	-0.085	0.0	0.035	1	0	1780
1	90	539.742251223	364.663947798	0.003599	-0.009298	528	395	0.0	-0.085	0.0	0.035	1	0	1811
1	90	538.261011419	366.938009788	0.003145	-0.008601	528	395	0.0	-0.085	0.0	0.035	1	0	1821
1	90	535.099510604	371.495921697	0.002176	-0.007204	528	395	0.0	-0.085	0.0	0.035	1	0	1841
1	90	532.068515498	375.972267537	0.001247	-0.005832	528	395	0.0	-0.085	0.0	0.035	1	0	1861
1	90	528.766721044	380.35725938	0.000235	-0.004488	528	395	0.0	-0.085	0.0	0.035	1	0	1880
1	90	525.598694943	384.660685155	-0.000736	-0.003169	528	395	0.0	-0.085	0.0	0.035	1	0	1900
1	90	522.234910277	388.973898858	-0.001767	-0.001847	528	395	0.0	-0.085	0.0	0.035	1	0	1920
1	90	518.646003263	393.003262643	-0.002867	-0.000612	528	395	0.0	-0.085	0.0	0.035	1	0	1940
1	90	514.7862969	396.947797716	-0.004050	0.000597	528	395	0.0	-0.085	0.0	0.035	1	0	1960
1	90	511.060358891	400.800978793	-0.005192	0.001778	528	395	0.0	-0.085	0.0	0.035	1	0	1980
1	90	507.641109299	404.262642741	-0.006240	0.002839	528	395	0.0	-0.085	0.0	0.035	1	0	2000
1	90	504.590538336	407.933115824	-0.007175	0.003964	528	395	0.0	-0.085	0.0	0.035	1	0	2021
1	90	502.319738989	411.300163132	-0.007871	0.004996	528	395	0.0	-0.085	0.0	0.035	1	0	2040
1	90	500.088091354	414.980424144	-0.008555	0.006124	528	395	0.0	-0.085	0.0	0.035	1	0	2060
1	90	498.016313214	418.86949429	-0.009190	0.007316	528	395	0.0	-0.085	0.0	0.035	1	0	2080
