Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	527.331158238	118.2137031	-0.000205	-0.084835	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	527.194127243	118.298531811	-0.000247	-0.084809	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	526.923327896	118.468189233	-0.000330	-0.084757	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	526.694942904	118.471451876	-0.000400	-0.084756	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	526.234910277	118.471451876	-0.000541	-0.084756	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	525.908646003	118.383360522	-0.000641	-0.084783	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	525.585644372	118.298531811	-0.000740	-0.084809	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	525.262642741	118.2137031	-0.000839	-0.084835	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	524.802610114	118.2137031	-0.000980	-0.084835	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	524.479608483	118.128874388	-0.001079	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	524.247960848	118.128874388	-0.001150	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	523.882544861	118.216965742	-0.001262	-0.084834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	523.882544861	118.216965742	-0.001262	-0.084834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	523.882544861	118.216965742	-0.001262	-0.084834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	523.748776509	118.301794454	-0.001303	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
187	45	523.748776509	118.301794454	-0.001303	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
187	45	523.748776509	118.301794454	-0.001303	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
187	45	523.748776509	118.301794454	-0.001303	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
187	45	523.748776509	118.301794454	-0.001303	-0.084808	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
187	45	523.882544861	118.216965742	-0.001262	-0.084834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
187	45	523.882544861	118.216965742	-0.001262	-0.084834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
187	45	524.019575856	118.128874388	-0.001220	-0.084861	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
187	45	523.924959217	118.044045677	-0.001249	-0.084887	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
187	45	523.924959217	118.044045677	-0.001249	-0.084887	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
187	45	524.061990212	117.959216966	-0.001207	-0.084913	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
187	45	524.061990212	117.959216966	-0.001207	-0.084913	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
187	45	523.967373573	117.871125612	-0.001236	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	700
187	45	523.967373573	117.871125612	-0.001236	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	720
187	45	523.872756933	117.7862969	-0.001265	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	740
187	45	523.781402936	117.701468189	-0.001293	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	760
187	45	523.781402936	117.701468189	-0.001293	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	780
187	45	523.686786297	117.616639478	-0.001322	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	800
187	45	523.686786297	117.616639478	-0.001322	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	820
187	45	523.549755302	117.701468189	-0.001364	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	840
187	45	523.32137031	117.701468189	-0.001434	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	860
187	45	523.32137031	117.701468189	-0.001434	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	880
187	45	523.184339315	117.7862969	-0.001476	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	900
187	45	523.089722675	117.701468189	-0.001505	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	920
187	45	522.995106036	117.616639478	-0.001534	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	940
187	45	522.995106036	117.616639478	-0.001534	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	960
187	45	522.995106036	117.616639478	-0.001534	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	980
187	45	522.903752039	117.531810767	-0.001562	-0.085044	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1001
187	45	522.903752039	117.531810767	-0.001562	-0.085044	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1020
187	45	522.903752039	117.531810767	-0.001562	-0.085044	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1040
187	45	522.942903752	117.358890701	-0.001550	-0.085097	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1060
187	45	522.942903752	117.358890701	-0.001550	-0.085097	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1080
187	45	522.942903752	117.358890701	-0.001550	-0.085097	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1100
187	45	523.037520392	117.443719413	-0.001521	-0.085071	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1120
187	45	523.037520392	117.443719413	-0.001521	-0.085071	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1140
187	45	523.037520392	117.443719413	-0.001521	-0.085071	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1160
187	45	523.037520392	117.443719413	-0.001521	-0.085071	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1180
187	45	523.037520392	117.443719413	-0.001521	-0.085071	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1200
187	45	523.132137031	117.531810767	-0.001492	-0.085044	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1220
187	45	523.132137031	117.531810767	-0.001492	-0.085044	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1240
187	45	523.22675367	117.616639478	-0.001463	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1260
187	45	523.455138662	117.616639478	-0.001393	-0.085018	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1280
187	45	523.549755302	117.701468189	-0.001364	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1300
187	45	523.781402936	117.701468189	-0.001293	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1320
187	45	523.872756933	117.7862969	-0.001265	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1340
187	45	524.199021207	117.871125612	-0.001165	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1360
187	45	524.427406199	117.871125612	-0.001095	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1380
