Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	45	528.306688418	116.582381729	0.000094	-0.085335	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
100	45	528.443719413	116.497553018	0.000136	-0.085361	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
100	45	528.98858075	116.15497553	0.000303	-0.085466	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
100	45	529.438825449	115.724306688	0.000441	-0.085598	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
100	45	529.849918434	115.469820555	0.000567	-0.085676	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
100	45	530.026101142	115.212071778	0.000621	-0.085755	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
100	45	530.163132137	115.127243067	0.000663	-0.085781	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
100	45	530.300163132	115.042414356	0.000705	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
100	45	530.300163132	115.042414356	0.000705	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
100	45	530.300163132	115.042414356	0.000705	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
100	45	530.300163132	115.042414356	0.000705	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
100	45	530.300163132	115.042414356	0.000705	-0.085807	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
100	45	530.437194127	114.954323002	0.000747	-0.085834	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
100	45	530.479608483	114.784665579	0.000760	-0.085886	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
100	45	530.613376835	114.699836868	0.000801	-0.085912	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
100	45	530.613376835	114.699836868	0.000801	-0.085912	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
100	45	530.659053834	114.526916803	0.000815	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
100	45	530.659053834	114.526916803	0.000815	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
100	45	530.929853181	114.35725938	0.000898	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
100	45	531.024469821	114.442088091	0.000927	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
100	45	530.887438825	114.526916803	0.000885	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
100	45	530.887438825	114.526916803	0.000885	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
100	45	530.887438825	114.526916803	0.000885	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
100	45	530.887438825	114.526916803	0.000885	-0.085965	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
100	45	530.792822186	114.442088091	0.000856	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
100	45	530.929853181	114.35725938	0.000898	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
100	45	530.929853181	114.35725938	0.000898	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
100	45	531.024469821	114.442088091	0.000927	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
100	45	531.024469821	114.442088091	0.000927	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
100	45	531.024469821	114.442088091	0.000927	-0.085991	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	700
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	720
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	740
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	760
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	780
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	800
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	820
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	840
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	860
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	880
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	900
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	920
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	940
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	960
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	980
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1000
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1020
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1040
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1060
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1080
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1100
100	45	531.161500816	114.35725938	0.000969	-0.086017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1120
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1140
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1160
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1180
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1200
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1220
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1240
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1260
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1280
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1300
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1320
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1340
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1360
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1380
100	45	531.295269168	114.272430669	0.001010	-0.086043	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1400
