Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	57.9504735611	50	0.0	-0.085	0.060086	0.010973	466	514	1	2683
74	-30.8911195304	90	0.0	-0.085	0.095424	-0.142090	933	638	1	12062
75	-29.8839662418	130	0.0	-0.085	0.096667	-0.140550	1112	532	1	6164
76	49.889258162	50	0.0	-0.085	0.074650	0.003616	486	481	1	2558
77	89.424499173	90	0.0	-0.085	0.001132	0.027696	757	630	1	2449
78	139.412497135	130	0.0	-0.085	-0.086917	-0.010536	1189	451	1	2409
79	129.762211705	130	0.0	-0.085	-0.073694	0.003569	1162	508	1	2409
80	78.3486277801	50	0.0	-0.085	0.023415	0.028552	487	485	1	2409
81	104.020103433	90	0.0	-0.085	-0.027533	0.025264	823	638	1	2449
82	112.791179885	50	0.0	-0.085	-0.044079	0.019905	732	620	1	2429
83	101.763741319	90	0.0	-0.085	-0.023575	0.028205	686	608	1	2450
84	140.658849485	130	0.0	-0.085	-0.087067	-0.013632	1177	459	1	2390
85	95.7783437255	50	0.0	-0.085	-0.011861	0.032210	655	583	1	2470
86	89.384169517	90	0.0	-0.085	0.001241	0.030456	733	604	1	2490
87	135.843729473	130	0.0	-0.085	-0.083338	-0.004081	1164	477	1	2449
88	130.89346234	90	0.0	-0.085	-0.073705	0.000107	1032	584	1	2509
89	131.459861123	130	0.0	-0.085	-0.074751	-0.000390	1175	459	1	2389
90	85.8419645611	50	0.0	-0.085	0.008064	0.025923	480	484	1	2409
145	80.7789474587	50	0.0	-0.085	0.018543	0.029222	660	620	2	2710
146	91.8733906987	90	0.0	-0.085	-0.003762	0.030016	765	625	2	2449
147	126.951668285	130	0.0	-0.085	-0.068405	0.005936	1174	487	2	2369
148	94.3941194302	50	0.0	-0.085	-0.008810	0.029650	677	606	2	2489
149	110.79321379	90	0.0	-0.085	-0.040331	0.021210	908	622	2	2449
150	146.285236197	130	0.0	-0.085	-0.095807	-0.021069	1235	425	2	2390
151	93.7230327306	50	0.0	-0.085	-0.007478	0.029921	693	634	2	2469
152	139.586900643	130	0.0	-0.085	-0.084907	-0.012705	1151	480	2	2330
153	130.325732294	90	0.0	-0.085	-0.072695	0.000641	1014	571	2	2505
154	145.133863587	130	0.0	-0.085	-0.094596	-0.019092	1176	432	2	3215
155	123.000610602	90	0.0	-0.085	-0.061651	0.009932	955	561	2	2629
156	102.13258336	50	0.0	-0.085	-0.024058	0.026910	650	623	2	12171
157	135.811035958	130	0.0	-0.085	-0.081097	-0.006167	1193	446	2	2244
158	111.433348035	90	0.0	-0.085	-0.042179	0.022444	964	594	2	2229
159	92.1175024747	50	0.0	-0.085	-0.004513	0.037058	663	605	2	2369
160	118.089287087	90	0.0	-0.085	-0.054408	0.016943	1011	580	2	2229
161	136.119618016	130	0.0	-0.085	-0.082034	-0.006111	1144	473	2	2249
162	96.8033900648	50	0.0	-0.085	-0.014093	0.033128	593	532	2	2289
217	107.971711006	90	0.0	-0.085	-0.034998	0.022894	979	612	3	2425
218	136.415973855	130	0.0	-0.085	-0.083388	-0.005635	1214	443	3	2329
219	71.5416719804	50	0.0	-0.085	0.036315	0.023797	447	482	3	2329
220	132.509813929	130	0.0	-0.085	-0.078882	0.001055	1155	510	3	2349
221	117.558301785	90	0.0	-0.085	-0.052112	0.014858	1016	567	3	2329
222	80.5142910291	50	0.0	-0.085	0.019050	0.029013	455	474	3	2309
223	89.9161042569	50	0.0	-0.085	0.000166	0.028368	616	597	3	2269
224	117.516946959	90	0.0	-0.085	-0.051639	0.014126	1000	574	3	2292
225	123.224276258	130	0.0	-0.085	-0.063575	0.012063	1140	510	3	2269
226	136.622618913	130	0.0	-0.085	-0.084836	-0.004838	1210	398	3	2250
227	83.2589247203	50	0.0	-0.085	0.013345	0.027902	610	579	3	2229
228	106.084540009	90	0.0	-0.085	-0.031498	0.024238	821	631	3	2250
229	114.987550749	90	0.0	-0.085	-0.047837	0.017645	1005	569	3	2250
230	86.5802100246	50	0.0	-0.085	0.006616	0.025714	483	502	3	2250
231	128.867759832	130	0.0	-0.085	-0.070935	0.003012	1120	532	3	2249
232	111.046479061	90	0.0	-0.085	-0.041347	0.022452	897	607	3	2229
233	86.8414778291	50	0.0	-0.085	0.006476	0.032356	498	520	3	2269
234	120.160764072	130	0.0	-0.085	-0.057395	0.013770	1088	512	3	2209
289	149.21268097	130	0.0	-0.085	-0.097840	-0.026705	1217	428	4	2429
290	73.2488561634	50	0.0	-0.085	0.032823	0.024051	420	481	4	2389
291	108.266656361	90	0.0	-0.085	-0.035635	0.022961	916	625	4	2399
292	107.165853694	90	0.0	-0.085	-0.032970	0.021734	886	622	4	2389
293	93.8160296884	50	0.0	-0.085	-0.007396	0.025883	466	495	4	2309
294	138.976772662	130	0.0	-0.085	-0.086053	-0.010134	1198	435	4	2309
295	83.2816458764	50	0.0	-0.085	0.013379	0.028576	487	510	4	2309
296	151.134898785	130	0.0	-0.085	-0.098809	-0.030533	1208	403	4	2249
297	117.031645581	90	0.0	-0.085	-0.051839	0.016601	996	604	4	2309
298	103.769378763	90	0.0	-0.085	-0.026486	0.023081	694	640	4	2329
299	149.343935501	130	0.0	-0.085	-0.100108	-0.025664	1245	398	4	2270
300	78.1141771131	50	0.0	-0.085	0.023795	0.028054	456	466	4	2329
301	118.282295804	90	0.0	-0.085	-0.055479	0.018112	955	611	4	2269
302	137.427628017	130	0.0	-0.085	-0.081913	-0.009750	1148	498	4	2230
303	96.5363466644	50	0.0	-0.085	-0.013171	0.029952	539	539	4	2270
304	73.375221098	50	0.0	-0.085	0.033167	0.026081	399	399	4	2309
305	126.049598279	90	0.0	-0.085	-0.066032	0.005720	995	589	4	2249
306	134.277032975	130	0.0	-0.085	-0.079616	-0.003349	1176	475	4	2210
