trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	57.95	50	0	0	6.0086	9.5973	6.7001	4.6347	1	2683	1
74	-30.891	90	0	0	9.5424	-5.709	-4.4235	8.1893	1	12062	0
75	-29.884	130	0	0	9.6667	-5.555	-8.6872	5.1507	1	6164	0
76	49.889	50	0	0	7.465	8.8616	6.2237	3.6887	1	2558	1
77	89.424	90	0	0	0.1132	11.27	-0.23132	7.96	1	2449	1
78	139.41	130	0	0	-8.6917	7.4464	-10.521	2.8287	1	2409	1
79	129.76	130	0	0	-7.3694	8.8569	-9.8782	4.4627	1	2409	1
80	78.349	50	0	0	2.3415	11.355	6.1999	3.8033	1	2409	1
81	104.02	90	0	0	-2.7533	11.026	-1.8034	8.1893	1	2449	1
82	112.79	50	0	0	-4.4079	10.491	0.36416	7.6733	1	2429	1
83	101.76	90	0	0	-2.3575	11.32	1.4599	7.3293	1	2450	1
84	140.66	130	0	0	-8.7067	7.1368	-10.235	3.058	1	2390	1
85	95.778	50	0	0	-1.1861	11.721	2.1983	6.6127	1	2470	1
86	89.384	90	0	0	0.1241	11.546	0.34034	7.2147	1	2490	1
87	135.84	130	0	0	-8.3338	8.0919	-9.9258	3.574	1	2449	1
88	130.89	90	0	0	-7.3705	8.5107	-6.7817	6.6413	1	2509	1
89	131.46	130	0	0	-7.4751	8.461	-10.188	3.058	1	2389	1
90	85.842	50	0	0	0.8064	11.092	6.3667	3.7747	1	2409	1
145	80.779	50	0	0	1.8543	11.422	2.0792	7.6733	2	2710	1
146	91.873	90	0	0	-0.3762	11.502	-0.42188	7.8167	2	2449	1
147	126.95	130	0	0	-6.8405	9.0936	-10.164	3.8607	2	2369	1
148	94.394	50	0	0	-0.881	11.465	1.6742	7.272	2	2489	1
149	110.79	90	0	0	-4.0331	10.621	-3.8281	7.7307	2	2449	1
150	146.29	130	0	0	-9.5807	6.3931	-11.617	2.0833	2	2390	1
151	93.723	50	0	0	-0.7478	11.492	1.2931	8.0747	2	2469	1
152	139.59	130	0	0	-8.4907	7.2295	-9.6162	3.66	2	2330	1
153	130.33	90	0	0	-7.2695	8.5641	-6.3529	6.2687	2	2505	1
154	145.13	130	0	0	-9.4596	6.5908	-10.212	2.284	2	3215	1
155	123	90	0	0	-6.1651	9.4932	-4.9476	5.982	2	2629	1
