Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	80.4734073102	90	0.0	-0.085	0.018653	0.026149	1058	374	1	15543
74	112.642660595	130	0.0	-0.085	-0.043097	0.018317	1082	510	1	5693
75	39.4503658203	50	0.0	-0.085	0.085926	-0.014293	399	439	1	6597
76	59.9412799095	50	0.0	-0.085	0.056859	0.013250	587	558	1	4063
77	89.1250721247	90	0.0	-0.085	0.001702	0.026449	802	624	1	9085
78	119.344903743	130	0.0	-0.085	-0.054874	0.012605	1083	527	1	6560
79	57.7912350616	50	0.0	-0.085	0.059496	0.009446	477	508	1	7618
80	84.1806264556	90	0.0	-0.085	0.011611	0.028925	815	583	1	5880
81	117.572816409	130	0.0	-0.085	-0.051716	0.014038	1094	538	1	4642
82	55.6144248664	50	0.0	-0.085	0.066107	0.011599	517	511	1	6044
83	113.60910689	130	0.0	-0.085	-0.045308	0.018661	1081	509	1	4790
84	89.5773624119	90	0.0	-0.085	0.000850	0.030230	819	616	1	5682
85	87.4845430513	90	0.0	-0.085	0.005001	0.028837	821	570	1	4164
86	-52.3189632148	130	0.0	-0.085	0.068214	-0.173319	55	0	1	15742
87	58.580099056	50	0.0	-0.085	0.060799	0.014527	544	568	1	6541
88	60.1029915029	50	0.0	-0.085	0.058189	0.016206	589	614	1	4603
89	118.330516817	130	0.0	-0.085	-0.053153	0.013590	1175	437	1	3517
90	84.8382020458	90	0.0	-0.085	0.010269	0.028677	856	603	1	3393
145	79.9762992699	90	0.0	-0.085	0.019623	0.026019	0	0	2	21756
146	120.31769789	130	0.0	-0.085	-0.057875	0.013971	1094	511	2	6718
147	45.1228428632	50	0.0	-0.085	0.080284	-0.004371	498	512	2	5050
148	104.991764336	130	0.0	-0.085	-0.028999	0.023288	1066	525	2	4890
149	78.3086929953	90	0.0	-0.085	0.023064	0.026457	820	636	2	4114
150	48.6426513611	50	0.0	-0.085	0.075540	0.000812	478	521	2	4806
151	112.296493578	130	0.0	-0.085	-0.042692	0.019112	1058	532	2	3440
152	77.7524636225	90	0.0	-0.085	0.024176	0.026371	817	619	2	4170
153	49.0462869687	50	0.0	-0.085	0.074563	0.000915	505	508	2	3898
154	82.7988409897	90	0.0	-0.085	0.014414	0.029080	806	621	2	3433
155	112.568387878	130	0.0	-0.085	-0.042651	0.017622	1088	511	2	3613
156	48.0767820603	50	0.0	-0.085	0.076833	0.000562	503	520	2	5853
157	107.265158616	130	0.0	-0.085	-0.034052	0.024563	1107	519	2	3837
158	81.7809106193	90	0.0	-0.085	0.016532	0.029454	825	604	2	3681
159	50.121781539	50	0.0	-0.085	0.073744	0.003265	516	542	2	4299
160	108.764130935	130	0.0	-0.085	-0.036048	0.021108	1084	522	2	4177
161	45.7247400966	50	0.0	-0.085	0.079848	-0.003106	504	539	2	3529
162	74.8280096887	90	0.0	-0.085	0.029965	0.025503	816	648	2	4249
217	115.306217636	130	0.0	-0.085	-0.047754	0.015996	1147	525	3	6732
218	53.3422260672	50	0.0	-0.085	0.067440	0.005617	425	473	3	4804
219	75.9874163487	90	0.0	-0.085	0.027163	0.023843	683	633	3	4398
220	74.3015920809	90	0.0	-0.085	0.030909	0.024974	735	642	3	4496
221	132.200872814	130	0.0	-0.085	-0.075020	-0.002267	1200	447	3	4024
222	40.276170208	50	0.0	-0.085	0.086785	-0.011463	432	453	3	4150
223	83.9358624628	90	0.0	-0.085	0.011838	0.026431	692	631	3	3922
224	33.6062507855	50	0.0	-0.085	0.093637	-0.022773	427	464	3	4460
225	109.458638405	130	0.0	-0.085	-0.036935	0.019541	980	609	3	3914
226	138.997678464	130	0.0	-0.085	-0.083878	-0.012080	1179	432	3	3575
227	64.7714880709	90	0.0	-0.085	0.048028	0.016933	636	623	3	3871
228	38.9131691584	50	0.0	-0.085	0.087416	-0.014431	420	455	3	3531
229	93.1811066911	130	0.0	-0.085	-0.006217	0.026861	968	642	3	3579
230	93.6710749636	90	0.0	-0.085	-0.007297	0.028731	958	624	3	3305
231	47.2921137923	50	0.0	-0.085	0.077419	-0.001125	471	481	3	3559
232	35.218634614	50	0.0	-0.085	0.090700	-0.020974	357	398	3	3849
233	94.4241720597	90	0.0	-0.085	-0.008652	0.026826	945	619	3	3769
234	106.530124429	130	0.0	-0.085	-0.031705	0.021828	948	624	3	3729
289	113.395582076	130	0.0	-0.085	-0.044721	0.018366	1159	482	4	7275
290	49.7391800474	50	0.0	-0.085	0.074045	0.002432	513	540	4	4919
291	94.8002641079	90	0.0	-0.085	-0.009459	0.027638	945	622	4	4017
292	135.060648769	130	0.0	-0.085	-0.079440	-0.005728	1192	455	4	4153
293	62.1886664354	90	0.0	-0.085	0.053204	0.015862	838	656	4	4413
294	68.066983848	50	0.0	-0.085	0.043242	0.022389	644	606	4	3717
295	33.0492433467	50	0.0	-0.085	0.094098	-0.023777	380	434	4	3353
296	129.375965197	130	0.0	-0.085	-0.070882	0.001367	1192	454	4	3573
297	73.6175790955	90	0.0	-0.085	0.032152	0.024367	685	639	4	4421
298	51.4429050342	50	0.0	-0.085	0.071024	0.004107	602	605	4	3659
299	104.850349593	130	0.0	-0.085	-0.028564	0.022727	1015	595	4	4081
300	78.0588752372	90	0.0	-0.085	0.023821	0.027638	792	638	4	3739
301	100.976983841	90	0.0	-0.085	-0.021496	0.025825	992	607	4	3641
302	141.905886178	130	0.0	-0.085	-0.087640	-0.016296	1184	403	4	3451
303	61.3662112749	50	0.0	-0.085	0.055794	0.017190	627	602	4	3636
304	119.6431235	130	0.0	-0.085	-0.054922	0.011511	1098	564	4	4512
305	65.3928236145	90	0.0	-0.085	0.047311	0.018302	730	648	4	4564
306	35.0245270074	50	0.0	-0.085	0.092942	-0.019862	566	591	4	5502
