Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	529.970636215	116.840130506	0.000604	-0.085256	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	530.734094617	116.070146819	0.000838	-0.085492	528	395	0.0	-0.085	0.0	0.035	1	0	29
1	90	531.145187602	115.812398042	0.000964	-0.085571	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	532.378466558	115.473083197	0.001342	-0.085675	528	395	0.0	-0.085	0.0	0.035	1	0	61
1	90	533.804241436	115.303425775	0.001779	-0.085727	528	395	0.0	-0.085	0.0	0.035	1	0	81
1	90	535.549755302	115.221859706	0.002314	-0.085752	528	395	0.0	-0.085	0.0	0.035	1	0	101
1	90	537.11908646	115.401305057	0.002795	-0.085697	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	538.557911909	116.089722675	0.003236	-0.085486	528	395	0.0	-0.085	0.0	0.035	1	0	141
1	90	540.225122349	116.784665579	0.003747	-0.085273	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	541.934747145	117.30995106	0.004271	-0.085112	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	543.601957586	118.004893964	0.004782	-0.084899	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	545.216965742	118.445350734	0.005277	-0.084764	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	546.783034258	118.628058728	0.005757	-0.084708	528	395	0.0	-0.085	0.0	0.035	1	0	241
1	90	548.208809135	118.898858075	0.006194	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	261
1	90	549.128874388	118.905383361	0.006476	-0.084623	528	395	0.0	-0.085	0.0	0.035	1	0	281
1	90	550.091353997	118.742251223	0.006771	-0.084673	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	551.057096248	118.579119086	0.007067	-0.084723	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	551.970636215	118.161500816	0.007347	-0.084851	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	552.929853181	117.567699837	0.007641	-0.085033	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	553.520391517	117.061990212	0.007822	-0.085188	528	395	0.0	-0.085	0.0	0.035	1	0	381
1	90	554.068515498	116.722675367	0.007990	-0.085292	528	395	0.0	-0.085	0.0	0.035	1	0	400
1	90	554.479608483	116.471451876	0.008116	-0.085369	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	554.985318108	116.305057096	0.008271	-0.085420	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	555.48776509	116.138662316	0.008425	-0.085471	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	555.947797716	116.145187602	0.008566	-0.085469	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	556.316476346	116.063621533	0.008679	-0.085494	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	556.776508972	116.070146819	0.008820	-0.085492	528	395	0.0	-0.085	0.0	0.035	1	0	520
1	90	557.145187602	115.98858075	0.008933	-0.085517	528	395	0.0	-0.085	0.0	0.035	1	0	540
1	90	557.510603589	115.907014682	0.009045	-0.085542	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	558.016313214	115.740619902	0.009200	-0.085593	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	558.290375204	115.574225122	0.009284	-0.085644	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	558.796084829	115.407830343	0.009439	-0.085695	528	395	0.0	-0.085	0.0	0.035	1	0	621
1	90	559.024469821	115.411092985	0.009509	-0.085694	528	395	0.0	-0.085	0.0	0.035	1	0	640
1	90	559.298531811	115.244698206	0.009593	-0.085745	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	559.572593801	115.075040783	0.009677	-0.085797	528	395	0.0	-0.085	0.0	0.035	1	0	680
1	90	559.804241436	115.078303426	0.009748	-0.085796	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	560.172920065	115.0	0.009861	-0.085820	528	395	0.0	-0.085	0.0	0.035	1	0	721
1	90	560.401305057	115.003262643	0.009931	-0.085819	528	395	0.0	-0.085	0.0	0.035	1	0	740
1	90	560.907014682	114.836867863	0.010086	-0.085870	528	395	0.0	-0.085	0.0	0.035	1	0	760
1	90	561.318107667	114.585644372	0.010212	-0.085947	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	561.637846656	114.24959217	0.010310	-0.086050	528	395	0.0	-0.085	0.0	0.035	1	0	800
1	90	562.052202284	113.998368679	0.010437	-0.086127	528	395	0.0	-0.085	0.0	0.035	1	0	820
1	90	562.600326264	113.662316476	0.010605	-0.086230	528	395	0.0	-0.085	0.0	0.035	1	0	840
1	90	563.151712887	113.329526917	0.010774	-0.086332	528	395	0.0	-0.085	0.0	0.035	1	0	860
1	90	563.562805873	113.078303426	0.010900	-0.086409	528	395	0.0	-0.085	0.0	0.035	1	0	880
1	90	563.882544861	112.742251223	0.010998	-0.086512	528	395	0.0	-0.085	0.0	0.035	1	0	900
1	90	564.159869494	112.575856444	0.011083	-0.086563	528	395	0.0	-0.085	0.0	0.035	1	0	920
1	90	564.57096248	112.324632953	0.011209	-0.086640	528	395	0.0	-0.085	0.0	0.035	1	0	940
1	90	565.122349103	111.991843393	0.011378	-0.086742	528	395	0.0	-0.085	0.0	0.035	1	0	960
1	90	565.533442088	111.740619902	0.011504	-0.086819	528	395	0.0	-0.085	0.0	0.035	1	0	980
1	90	565.856443719	111.4045677	0.011603	-0.086922	528	395	0.0	-0.085	0.0	0.035	1	0	1000
1	90	566.4045677	111.07177814	0.011771	-0.087024	528	395	0.0	-0.085	0.0	0.035	1	0	1020
1	90	566.864600326	110.650897227	0.011912	-0.087153	528	395	0.0	-0.085	0.0	0.035	1	0	1040
1	90	567.184339315	110.314845024	0.012010	-0.087256	528	395	0.0	-0.085	0.0	0.035	1	0	1060
1	90	567.367047308	110.063621533	0.012066	-0.087333	528	395	0.0	-0.085	0.0	0.035	1	0	1080
1	90	567.641109299	109.897226754	0.012150	-0.087384	528	395	0.0	-0.085	0.0	0.035	1	0	1100
1	90	567.686786297	109.727569331	0.012164	-0.087436	528	395	0.0	-0.085	0.0	0.035	1	0	1120
1	90	567.86949429	109.473083197	0.012220	-0.087514	528	395	0.0	-0.085	0.0	0.035	1	0	1140
1	90	567.915171289	109.303425775	0.012234	-0.087566	528	395	0.0	-0.085	0.0	0.035	1	0	1160
1	90	567.866231648	109.048939641	0.012219	-0.087644	528	395	0.0	-0.085	0.0	0.035	1	0	1180
1	90	567.957585644	108.709624796	0.012247	-0.087748	528	395	0.0	-0.085	0.0	0.035	1	0	1200
1	90	567.954323002	108.282218597	0.012246	-0.087879	528	395	0.0	-0.085	0.0	0.035	1	0	1220
1	90	567.951060359	107.858075041	0.012245	-0.088009	528	395	0.0	-0.085	0.0	0.035	1	0	1240
1	90	567.947797716	107.430668842	0.012244	-0.088140	528	395	0.0	-0.085	0.0	0.035	1	0	1261
1	90	567.807504078	107.088091354	0.012201	-0.088245	528	395	0.0	-0.085	0.0	0.035	1	0	1280
1	90	567.572593801	106.657422512	0.012129	-0.088377	528	395	0.0	-0.085	0.0	0.035	1	0	1300
