trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	55.944	50	0	0	6.3736	9.4292	7.2718	7.2633	1	6315	1
140	110.97	90	0	0	-4.03	10.516	-4.4474	11.076	1	4023	1
141	115.41	130	0	0	-4.7824	10.069	-5.3287	11.133	1	3813	1
142	31.797	50	0	0	10.476	6.4942	8.0578	4.8553	1	3949	1
143	131.52	90	0	0	-7.4799	8.4492	-5.8289	10.531	1	3537	1
144	129.32	130	0	0	-7.0906	8.6555	-6.6626	9.614	1	3521	1
145	87.894	90	0	0	0.4156	11.303	-1.8749	10.13	1	4123	1
146	46.987	50	0	0	7.7513	8.3086	8.296	4.97	1	4845	1
147	167.44	130	0	0	-10.88	2.4247	-10.283	5.83	1	3824	1
148	68.707	50	0	0	4.1549	10.661	4.866	8.3813	1	3829	1
149	109.07	90	0	0	-3.7028	10.709	-4.8523	10.13	1	3722	1
150	117.35	130	0	0	-5.1112	9.8832	-8.5443	8.066	1	4052	1
151	80.947	90	0	0	1.7803	11.173	1.6981	10.961	1	4588	1
152	77.647	50	0	0	2.4442	11.16	1.0787	10.245	1	5088	1
153	155.76	130	0	0	-10.165	4.5761	-10.879	4.3393	1	4535	1
154	86.243	90	0	0	0.752	11.45	-0.13604	10.789	1	4856	1
155	120.37	130	0	0	-5.7079	9.7422	-6.734	10.359	1	5143	1
156	76.901	50	0	0	2.5744	11.063	2.5794	9.5567	1	4422	1
283	137.74	130	0	0	-8.2575	7.5029	-7.8297	8.066	2	5405	1
284	91.921	90	0	0	-0.3738	11.146	-1.7319	10.589	2	4437	1
285	49.945	50	0	0	7.3364	8.7261	8.2722	5.9447	2	4448	1
286	96.4	90	0	0	-1.2346	11.007	-0.85063	11.162	2	4023	1
287	81.791	50	0	0	1.6624	11.523	2.2935	10.503	2	4109	1
288	162.34	130	0	0	-10.691	3.4044	-10.426	5.1993	2	3793	1
289	110.4	130	0	0	-3.9161	10.531	-4.2568	10.359	2	4054	1
290	122.3	90	0	0	-6.0329	9.5432	-5.686	10.503	2	3967	1
291	54.684	50	0	0	6.5085	9.1868	8.6772	4.8553	2	3968	1
292	123.15	130	0	0	-6.152	9.42	-5.4954	10.789	2	4408	1
293	73.961	90	0	0	3.0947	10.765	1.5313	10.646	2	4864	1
294	83.315	50	0	0	1.3526	11.541	2.2697	10.359	2	3894	1
295	167.67	130	0	0	-10.904	2.3841	-11.355	3.5653	2	3749	1
296	73.406	50	0	0	3.3043	11.088	2.0792	11.42	2	4834	1
297	70.938	90	0	0	3.7385	10.819	3.0796	10.13	2	4030	1
298	130.18	130	0	0	-7.2076	8.5356	-9.7115	7.0913	2	4130	1
299	114.24	90	0	0	-4.6083	10.236	-5.5669	10.675	2	3746	1
300	79.895	50	0	0	2.009	11.273	1.9362	11.162	2	4064	1
427	96.279	50	0	0	-1.2325	11.202	1.5551	10.703	3	5278	1
428	166.78	130	0	0	-10.868	2.5525	-11.26	4.4253	3	3896	1
429	115.77	90	0	0	-4.9711	10.295	-5.1143	9.9293	3	4320	1
430	107.97	130	0	0	-3.4538	10.65	-4.8285	11.334	3	4594	1
431	69.497	90	0	0	3.9423	10.542	2.9843	10.474	3	4182	1
432	22.15	50	0	0	10.869	4.4244	9.2012	3.9093	3	4572	1
433	153.67	130	0	0	-9.9904	4.9437	-10.926	4.0527	3	3916	1
434	51.26	50	0	0	7.1947	8.9675	6.724	7.1773	3	4192	1
435	102.03	90	0	0	-2.4009	11.271	-3.1373	10.732	3	4652	1
436	142.87	130	0	0	-8.8646	6.7127	-8.4967	7.9513	3	4108	1
437	65.992	50	0	0	4.7632	10.694	5.4853	8.4673	3	4336	1
438	89.091	90	0	0	0.1789	11.27	0.95965	10.99	3	4624	1
439	126.2	90	0	0	-6.5913	9.0055	-5.948	9.9007	3	4223	1
440	162.65	130	0	0	-10.682	3.3383	-10.498	4.8553	3	3590	1
441	30.339	50	0	0	9.7177	5.6874	8.963	3.938	3	4009	1
442	130.82	90	0	0	-7.363	8.5253	-5.8765	10.359	3	4137	1
443	67.431	50	0	0	4.3329	10.425	5.4853	8.84	3	4241	1
444	120.98	130	0	0	-5.814	9.6827	-8.2823	8.6393	3	3835	1
571	132.72	130	0	0	-7.5239	8.1469	-7.3533	8.4387	4	5163	1
572	44.532	50	0	0	8.0491	7.9186	8.6772	4.8267	4	3580	1
573	115.2	90	0	0	-4.7876	10.176	-5.0429	11.076	4	3898	1
574	111.69	130	0	0	-4.1662	10.474	-4.5426	11.363	4	3408	1
575	56.343	90	0	0	6.165	9.2589	3.8418	9.9293	4	3749	1
576	34.545	50	0	0	9.2656	6.3787	8.7248	3.852	4	3624	1
577	107.87	130	0	0	-3.4392	10.668	-3.8757	11.162	4	3970	1
578	73.323	90	0	0	3.2685	10.911	3.1987	9.8147	4	3549	1
579	94.712	50	0	0	-0.9233	11.203	0.65	11.133	4	3310	1
580	93.428	90	0	0	-0.6682	11.155	-1.5176	11.162	4	3269	1
581	137.06	130	0	0	-8.1686	7.6011	-8.2108	8.754	4	3642	1
582	81.031	50	0	0	1.7674	11.198	2.8652	9.9867	4	3649	1
583	156.6	130	0	0	-10.203	4.4148	-10.76	3.6513	4	3428	1
584	64.946	50	0	0	4.8463	10.367	6.2237	8.41	4	3989	1
585	125.18	90	0	0	-6.4789	9.1901	-6.734	10.015	4	3269	1
586	36.629	50	0	0	9.0754	6.747	9.3917	3.766	4	4149	1
587	142.29	90	0	0	-8.7604	6.7739	-6.0433	10.302	4	3588	1
588	180.43	130	0	0	-11.428	-0.0867	-10.902	4.3967	4	3479	1
