Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	49.5626779252	50	0.0	-0.085	0.078001	0.006530	461	680	1	17295
47	91.2176111387	90	0.0	-0.085	-0.002561	0.035492	840	768	1	8817
48	142.780288821	130	0.0	-0.085	-0.096466	-0.011726	1151	590	1	5528
49	53.9438493526	50	0.0	-0.085	0.070735	0.012158	557	743	1	4402
50	88.4543210128	90	0.0	-0.085	0.003268	0.036110	811	761	1	5242
51	99.815219683	130	0.0	-0.085	-0.020726	0.034801	860	771	1	11062
52	150.203318909	130	0.0	-0.085	-0.104532	-0.025142	1180	534	1	8154
53	65.4646786669	50	0.0	-0.085	0.050430	0.025478	560	744	1	3599
54	75.3004122982	90	0.0	-0.085	0.030896	0.032772	618	750	1	3526
55	100.695070576	90	0.0	-0.085	-0.022571	0.034510	826	764	1	5656
56	139.175312152	130	0.0	-0.085	-0.091783	-0.005706	1128	617	1	3456
57	61.912854696	50	0.0	-0.085	0.057049	0.021901	544	745	1	2993
58	39.4532573211	50	0.0	-0.085	0.093316	-0.008204	298	546	1	2813
59	116.702064256	130	0.0	-0.085	-0.054707	0.023763	929	748	1	3029
60	90.3807288725	90	0.0	-0.085	-0.000800	0.035390	731	763	1	3177
61	145.344771846	130	0.0	-0.085	-0.100268	-0.015687	1166	537	1	2569
62	70.8408037051	90	0.0	-0.085	0.039912	0.029875	581	746	1	2681
63	69.479623927	50	0.0	-0.085	0.042903	0.029625	588	738	1	2771
118	139.674075172	130	0.0	-0.085	-0.091843	-0.007040	1139	607	2	6025
119	98.4094858495	90	0.0	-0.085	-0.017577	0.033895	855	778	2	3103
120	62.6407761893	50	0.0	-0.085	0.055991	0.023206	564	744	2	4964
121	37.2459582853	50	0.0	-0.085	0.097537	-0.010842	316	590	2	3254
122	88.2417217992	90	0.0	-0.085	0.003694	0.035336	777	782	2	3302
123	112.773168473	130	0.0	-0.085	-0.047062	0.027103	900	759	2	2876
124	147.312079634	130	0.0	-0.085	-0.102099	-0.019484	1129	520	2	2800
125	102.256751241	90	0.0	-0.085	-0.025702	0.033309	824	751	2	3034
126	52.1350452517	50	0.0	-0.085	0.075044	0.011520	436	664	2	3343
127	134.917800478	130	0.0	-0.085	-0.085612	0.000858	1078	664	2	3156
128	91.0188736172	90	0.0	-0.085	-0.002140	0.035329	705	755	2	3448
129	66.897776993	50	0.0	-0.085	0.047296	0.025872	567	732	2	3217
130	88.5196313182	90	0.0	-0.085	0.003129	0.036077	772	776	2	4897
131	59.3588295941	50	0.0	-0.085	0.062502	0.020512	484	703	2	3177
132	143.900001955	130	0.0	-0.085	-0.097294	-0.014052	1131	600	2	3225
133	96.8748079646	90	0.0	-0.085	-0.014395	0.034394	776	774	2	3879
134	51.9980854839	50	0.0	-0.085	0.075075	0.011085	432	668	2	3169
135	131.836798705	130	0.0	-0.085	-0.080679	0.005118	1043	701	2	3489
190	56.3632040619	50	0.0	-0.085	0.066921	0.015584	548	742	3	3395
191	90.8651053851	90	0.0	-0.085	-0.001815	0.035198	804	783	3	3583
192	131.369739295	130	0.0	-0.085	-0.079787	0.005597	1076	672	3	2988
193	89.2684258605	90	0.0	-0.085	0.001553	0.036622	806	781	3	3752
194	50.3308538489	50	0.0	-0.085	0.076822	0.007634	523	709	3	3404
195	133.031284311	130	0.0	-0.085	-0.082126	0.002973	1079	659	3	3238
196	146.95501333	130	0.0	-0.085	-0.100771	-0.019446	1159	592	3	3099
197	57.2495442042	50	0.0	-0.085	0.065301	0.016520	524	710	3	3414
198	92.2486591625	90	0.0	-0.085	-0.004742	0.035764	830	760	3	3863
199	129.991005254	130	0.0	-0.085	-0.077774	0.007717	1065	675	3	4140
200	60.4384511332	50	0.0	-0.085	0.060529	0.021717	547	743	3	3307
201	82.6838219529	90	0.0	-0.085	0.015282	0.034028	708	738	3	4401
202	59.5404549163	50	0.0	-0.085	0.061607	0.019757	582	734	3	3507
203	126.831695548	130	0.0	-0.085	-0.072646	0.011996	1026	704	3	3299
204	98.0335118799	90	0.0	-0.085	-0.017011	0.035528	822	757	3	3743
205	102.423368411	130	0.0	-0.085	-0.025994	0.032998	849	764	3	3485
206	98.6114864761	90	0.0	-0.085	-0.017973	0.033680	855	777	3	4399
207	64.7201917633	50	0.0	-0.085	0.051853	0.024796	555	739	3	2833
262	101.806723534	90	0.0	-0.085	-0.024797	0.033627	872	738	4	4099
263	147.576011718	130	0.0	-0.085	-0.103412	-0.019312	1140	608	4	4376
264	62.7452864914	50	0.0	-0.085	0.055179	0.022115	533	733	4	4273
265	100.115620374	90	0.0	-0.085	-0.021186	0.033750	823	754	4	4036
266	138.800261579	130	0.0	-0.085	-0.091014	-0.005324	1040	684	4	3056
267	64.3618746918	50	0.0	-0.085	0.052140	0.023639	501	713	4	3680
268	141.059186509	130	0.0	-0.085	-0.093349	-0.009567	1041	584	4	3306
269	86.5182802627	90	0.0	-0.085	0.007357	0.035919	750	764	4	4576
270	59.0339913512	50	0.0	-0.085	0.062858	0.019754	524	735	4	4075
271	60.163387457	50	0.0	-0.085	0.060978	0.021316	537	733	4	4024
272	97.0889293686	90	0.0	-0.085	-0.014825	0.034210	789	771	4	4174
273	135.501099028	130	0.0	-0.085	-0.086849	0.000343	1056	682	4	2982
274	68.3245230644	50	0.0	-0.085	0.044467	0.026880	589	749	4	4564
275	82.6567783229	90	0.0	-0.085	0.015427	0.034710	691	757	4	3478
276	111.250334371	130	0.0	-0.085	-0.043981	0.028095	910	750	4	3424
277	127.945623287	130	0.0	-0.085	-0.074102	0.010032	1051	700	4	3278
278	60.7241968867	50	0.0	-0.085	0.059374	0.020908	576	741	4	3568
279	94.6208742474	90	0.0	-0.085	-0.009776	0.035953	849	759	4	3200
