Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	526.326264274	118.556280587	-0.000513	-0.084730	528	395	0.0	-0.085	0	0	1	0	1
91	130	526.192495922	118.641109299	-0.000554	-0.084704	528	395	0.0	-0.085	0	0	1	0	20
91	130	525.827079935	118.729200653	-0.000666	-0.084677	528	395	0.0	-0.085	0	0	1	0	41
91	130	525.044045677	118.644371941	-0.000906	-0.084703	528	395	0.0	-0.085	0	0	1	0	61
91	130	524.257748777	118.55954323	-0.001147	-0.084729	528	395	0.0	-0.085	0	0	1	0	81
91	130	523.654159869	118.216965742	-0.001332	-0.084834	528	395	0.0	-0.085	0	0	1	0	100
91	130	523.184339315	117.7862969	-0.001476	-0.084966	528	395	0.0	-0.085	0	0	1	0	120
91	130	522.577487765	117.446982055	-0.001662	-0.085070	528	395	0.0	-0.085	0	0	1	0	140
91	130	522.10766721	117.019575856	-0.001806	-0.085201	528	395	0.0	-0.085	0	0	1	0	160
91	130	521.406199021	116.592169657	-0.002021	-0.085332	528	395	0.0	-0.085	0	0	1	0	180
91	130	520.802610114	116.24959217	-0.002206	-0.085437	528	395	0.0	-0.085	0	0	1	0	200
91	130	519.921696574	116.079934747	-0.002476	-0.085489	528	395	0.0	-0.085	0	0	1	0	221
91	130	518.907014682	115.998368679	-0.002787	-0.085514	528	395	0.0	-0.085	0	0	1	0	241
91	130	517.39314845	116.092985318	-0.003251	-0.085485	528	395	0.0	-0.085	0	0	1	0	260
91	130	516.104404568	116.184339315	-0.003646	-0.085457	528	395	0.0	-0.085	0	0	1	0	280
91	130	514.818923328	116.275693312	-0.004040	-0.085429	528	395	0.0	-0.085	0	0	1	0	300
91	130	513.305057096	116.370309951	-0.004504	-0.085400	528	395	0.0	-0.085	0	0	1	0	321
91	130	512.479608483	116.461663948	-0.004757	-0.085372	528	395	0.0	-0.085	0	0	1	0	340
91	130	511.830342577	116.295269168	-0.004956	-0.085423	528	395	0.0	-0.085	0	0	1	0	361
91	130	511.314845024	116.040783034	-0.005114	-0.085501	528	395	0.0	-0.085	0	0	1	0	380
91	130	510.854812398	116.044045677	-0.005255	-0.085500	528	395	0.0	-0.085	0	0	1	0	401
91	130	510.626427406	116.044045677	-0.005325	-0.085500	528	395	0.0	-0.085	0	0	1	0	420
91	130	510.626427406	116.044045677	-0.005325	-0.085500	528	395	0.0	-0.085	0	0	1	0	440
91	130	510.721044046	116.128874388	-0.005296	-0.085474	528	395	0.0	-0.085	0	0	1	0	461
91	130	510.949429038	116.128874388	-0.005226	-0.085474	528	395	0.0	-0.085	0	0	1	0	480
91	130	511.181076672	116.125611746	-0.005155	-0.085475	528	395	0.0	-0.085	0	0	1	0	500
91	130	511.275693312	116.210440457	-0.005126	-0.085449	528	395	0.0	-0.085	0	0	1	0	520
91	130	511.464926591	116.383360522	-0.005068	-0.085396	528	395	0.0	-0.085	0	0	1	0	541
91	130	511.464926591	116.383360522	-0.005068	-0.085396	528	395	0.0	-0.085	0	0	1	0	560
91	130	511.598694943	116.295269168	-0.005027	-0.085423	528	395	0.0	-0.085	0	0	1	0	580
91	130	511.641109299	116.122349103	-0.005014	-0.085476	528	395	0.0	-0.085	0	0	1	0	600
91	130	511.911908646	115.949429038	-0.004931	-0.085529	528	395	0.0	-0.085	0	0	1	0	620
