Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	150.630144184	130	0.0	-0.085	-0.097765	-0.029980	1031	702	1	2939
140	75.1195157589	50	0.0	-0.085	0.029011	0.024181	507	729	1	2473
141	104.279706025	90	0.0	-0.085	-0.027594	0.023416	721	773	1	2518
142	79.4974050199	50	0.0	-0.085	0.020218	0.024059	556	728	1	2568
143	162.834430319	130	0.0	-0.085	-0.109138	-0.051288	1106	618	1	2401
144	102.437788303	90	0.0	-0.085	-0.023779	0.022814	707	768	1	2490
145	85.1434484601	90	0.0	-0.085	0.009647	0.028539	595	743	1	3522
146	153.675466576	130	0.0	-0.085	-0.101598	-0.034733	1032	665	1	2139
147	81.1690854719	50	0.0	-0.085	0.017312	0.026431	539	721	1	2426
148	102.492626518	90	0.0	-0.085	-0.024002	0.023332	710	771	1	3792
149	49.254965773	50	0.0	-0.085	0.074104	0.001017	426	660	1	2244
150	142.466156574	130	0.0	-0.085	-0.090086	-0.015790	961	728	1	2246
151	109.027633747	90	0.0	-0.085	-0.036638	0.021238	810	766	1	2544
152	140.542579242	130	0.0	-0.085	-0.086552	-0.013760	968	720	1	2406
153	43.1807733373	50	0.0	-0.085	0.084231	-0.005955	350	622	1	2480
154	74.2400040494	50	0.0	-0.085	0.030254	0.022201	550	729	1	2546
155	124.331662485	90	0.0	-0.085	-0.062595	0.006652	899	762	1	3489
156	135.859087856	130	0.0	-0.085	-0.080245	-0.007126	943	714	1	2136
283	160.542792147	130	0.0	-0.085	-0.106794	-0.047272	1174	594	2	2574
284	123.332974472	90	0.0	-0.085	-0.061941	0.009178	917	743	2	2324
285	85.7499200077	50	0.0	-0.085	0.008515	0.029581	600	745	2	2192
286	151.241617522	130	0.0	-0.085	-0.098752	-0.030804	1078	647	2	2100
287	87.1603145845	50	0.0	-0.085	0.005534	0.026567	584	727	2	2290
288	112.482773748	90	0.0	-0.085	-0.043275	0.019564	774	769	2	2210
289	104.958401295	90	0.0	-0.085	-0.029267	0.024544	788	768	2	2338
290	150.771170254	130	0.0	-0.085	-0.098175	-0.030067	1084	671	2	2120
291	87.2942049722	50	0.0	-0.085	0.005324	0.027653	574	739	2	2586
292	72.1842474972	50	0.0	-0.085	0.034397	0.022033	527	704	2	3072
293	105.221997957	90	0.0	-0.085	-0.029200	0.022311	762	759	2	2308
294	132.562532445	130	0.0	-0.085	-0.076788	-0.001384	938	733	2	2352
295	166.545441105	130	0.0	-0.085	-0.111595	-0.058302	1179	537	2	2508
296	124.29276373	90	0.0	-0.085	-0.063226	0.007711	884	741	2	2448
297	67.4062845286	50	0.0	-0.085	0.043968	0.020659	499	706	2	2400
298	80.2037430706	50	0.0	-0.085	0.019111	0.025684	529	733	2	2394
299	117.984232916	90	0.0	-0.085	-0.052701	0.014182	787	766	2	2278
300	125.780190571	130	0.0	-0.085	-0.065693	0.006152	866	740	2	3401
427	72.2871391207	50	0.0	-0.085	0.034927	0.024356	539	706	3	2197
428	152.066848148	130	0.0	-0.085	-0.098134	-0.032968	1016	725	3	2119
429	130.971266609	90	0.0	-0.085	-0.073099	-0.000824	918	745	3	2019
430	79.3792028086	50	0.0	-0.085	0.021019	0.027089	549	720	3	2279
431	126.548066768	90	0.0	-0.085	-0.066176	0.004275	852	768	3	2067
432	150.878060074	130	0.0	-0.085	-0.098118	-0.030339	1031	701	3	2200
433	130.920517835	130	0.0	-0.085	-0.074585	0.001041	897	757	3	2279
434	77.3394823103	50	0.0	-0.085	0.024468	0.023923	574	740	3	2172
435	100.688928843	90	0.0	-0.085	-0.020751	0.024938	777	769	3	2139
436	126.599960335	90	0.0	-0.085	-0.066187	0.004121	871	763	3	2019
437	130.715196571	130	0.0	-0.085	-0.073458	0.000357	884	757	3	2257
438	73.9574107536	50	0.0	-0.085	0.030769	0.022004	565	743	3	2185
439	95.5494584319	90	0.0	-0.085	-0.010990	0.028112	681	743	3	2111
440	61.0198738403	50	0.0	-0.085	0.055354	0.014943	486	706	3	2098
441	143.934494792	130	0.0	-0.085	-0.090549	-0.019054	1021	682	3	2139
442	132.745513854	130	0.0	-0.085	-0.077949	-0.000662	938	759	3	2059
443	123.601093469	90	0.0	-0.085	-0.061775	0.007975	883	746	3	2181
444	75.5230256428	50	0.0	-0.085	0.028463	0.025241	549	742	3	2363
571	73.259826726	50	0.0	-0.085	0.032673	0.023628	554	734	4	2301
572	141.048506661	130	0.0	-0.085	-0.087675	-0.014125	933	745	4	1960
573	125.5052842	90	0.0	-0.085	-0.066514	0.008231	861	754	4	1960
574	111.206099934	90	0.0	-0.085	-0.040865	0.020323	795	759	4	2028
575	72.74706712	50	0.0	-0.085	0.033754	0.023686	553	748	4	2019
576	144.128963077	130	0.0	-0.085	-0.090635	-0.019461	1019	716	4	2000
577	114.423206598	90	0.0	-0.085	-0.047626	0.019878	840	752	4	2099
578	74.8764165709	50	0.0	-0.085	0.029444	0.023946	583	733	4	2070
579	151.5258039	130	0.0	-0.085	-0.099911	-0.030811	1020	709	4	2079
580	142.453158541	130	0.0	-0.085	-0.088757	-0.016779	1000	723	4	2099
581	116.122785109	90	0.0	-0.085	-0.049259	0.015449	841	761	4	2106
582	87.9781097174	50	0.0	-0.085	0.003936	0.026491	567	728	4	2136
583	85.7428688199	50	0.0	-0.085	0.008288	0.026341	609	754	4	2136
584	138.734359723	130	0.0	-0.085	-0.084062	-0.011239	917	753	4	2113
585	113.726253933	90	0.0	-0.085	-0.045253	0.017961	822	744	4	2068
586	138.565028309	130	0.0	-0.085	-0.087309	-0.007932	953	719	4	2120
587	119.387738514	90	0.0	-0.085	-0.056186	0.014764	869	747	4	2019
588	83.1547095582	50	0.0	-0.085	0.013469	0.027200	592	750	4	2019
