trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	95.409	90	0	0	-1.0814	11.42	2.365	12.031	1	4148	1
140	161.2	130	0	0	-10.916	3.7158	-10.736	5.6667	1	3849	1
141	44.386	50	0	0	8.2647	8.0893	10.583	5.9247	1	3865	1
142	138.86	130	0	0	-8.4197	7.3566	-6.6864	9.6513	1	3895	1
143	95.622	50	0	0	-1.1299	11.479	2.9367	11.371	1	3727	1
144	129	90	0	0	-7.0584	8.7169	-4.4474	11.371	1	3721	1
145	57.142	50	0	0	6.2914	9.7406	10.178	6.2973	1	5163	1
146	174.49	130	0	0	-11.522	1.1122	-10.736	4.778	1	3541	1
147	132.29	90	0	0	-7.5305	8.2797	-4.233	11.486	1	3779	1
148	42.69	50	0	0	8.3775	7.7278	9.9634	6.756	1	3753	1
149	140.32	130	0	0	-8.5345	7.0813	-9.3065	7.186	1	3341	1
150	124.5	90	0	0	-6.3562	9.2495	-2.9944	11.859	1	3443	1
151	81.211	50	0	0	1.7401	11.255	4.0324	10.425	1	3526	1
152	108.03	90	0	0	-3.5766	10.985	-0.70771	12.002	1	3512	1
153	150.95	130	0	0	-9.7729	5.4282	-8.9254	7.96	1	3644	1
154	140.8	130	0	0	-8.5687	6.9893	-8.3299	8.7627	1	3486	1
155	43.508	50	0	0	8.2789	7.8586	9.9872	5.8673	1	3656	1
156	124.19	90	0	0	-6.3138	9.2952	-4.8047	10.483	1	3344	1
283	61.853	50	0	0	5.3609	10.02	7.0336	9.6227	2	6278	1
284	131.66	90	0	0	-7.6017	8.5435	-4.1615	10.483	2	3698	1
285	175.21	130	0	0	-11.689	0.9787	-10.64	5.9533	2	3808	1
286	75.663	50	0	0	2.814	11.01	5.4853	10.884	2	3408	1
287	128.24	90	0	0	-7.1337	9.0508	-4.233	11.486	2	3688	1
288	175.86	130	0	0	-11.311	0.8178	-9.64	6.3547	2	3568	1
289	88.217	90	0	0	0.35	11.242	3.7227	11.687	2	3616	1
290	172.37	130	0	0	-11.651	1.5604	-10.926	5.4373	2	3600	1
291	42.356	50	0	0	8.8172	8.0389	10.511	5.638	2	3690	1
292	143.13	90	0	0	-9.2121	6.9098	-4.8761	10.712	2	3336	1
293	156.71	130	0	0	-10.605	4.5645	-9.3304	6.67	2	3354	1
294	45.635	50	0	0	8.0201	8.1998	9.749	7.0713	2	3766	1
295	172.34	130	0	0	-11.627	1.5647	-10.378	4.95	2	3400	1
296	70.838	50	0	0	3.7352	10.749	7.3433	9.9093	2	3489	1
297	130.73	90	0	0	-7.3738	8.5635	-4.9476	11.343	2	3339	1
298	67.539	50	0	0	4.2649	10.316	7.3433	9.5367	2	3345	1
299	158.3	130	0	0	-10.592	4.2151	-9.6162	7.2147	2	3375	1
300	98.024	90	0	0	-1.6243	11.522	2.9128	11.83	2	3589	1
427	149.89	130	0	0	-9.6673	5.6067	-10.069	6.1827	3	4692	1
428	108.37	90	0	0	-3.557	10.71	-0.99354	12.145	3	3979	1
429	60.413	50	0	0	5.6875	10.017	9.6537	7.186	3	4001	1
430	39.536	50	0	0	9.0199	7.4449	11.226	4.606	3	3780	1
431	171.64	130	0	0	-11.209	1.6472	-10.95	4.95	3	3962	1
432	92.949	90	0	0	-0.5769	11.198	3.3178	11.314	3	3636	1
433	100.57	50	0	0	-2.0603	11.038	3.5798	11.343	3	3456	1
434	171.94	130	0	0	-11.231	1.5911	-10.474	5.466	3	3736	1
435	143.11	90	0	0	-8.8648	6.6528	-4.495	10.884	3	3584	1
436	149.78	130	0	0	-10.011	5.8303	-9.6638	7.2433	3	3550	1
437	82.96	90	0	0	1.3973	11.314	2.9843	11.515	3	3514	1
438	84.321	50	0	0	1.154	11.605	3.8418	11.085	3	3605	1
439	141.42	90	0	0	-8.6851	6.9292	-5.2334	10.683	3	3656	1
440	143.49	130	0	0	-9.0938	6.7315	-4.5665	11.142	3	3456	1
441	145.12	50	0	0	-9.5411	6.6502	3.2701	11.371	3	25928	0
442	138.24	130	0	0	-8.5282	7.6133	-10.069	5.552	3	3505	1
443	48.152	50	0	0	7.5435	8.4227	10.63	5.552	3	3774	1
444	136.52	90	0	0	-8.1933	7.7686	-5.4001	10.741	3	3374	1
571	154.11	130	0	0	-10.253	4.9766	-10.426	5.982	4	4324	1
572	64.638	50	0	0	4.9717	10.488	10.082	7.2433	4	3646	1
573	118.91	90	0	0	-5.47	9.9067	-4.1854	11.601	4	3696	1
574	34.24	50	0	0	9.454	6.4347	11.131	4.8353	4	3800	1
575	141.67	90	0	0	-8.9142	7.0467	-5.5669	10.913	4	3610	1
576	188.72	130	0	0	-11.345	-1.7402	-11.022	5.208	4	3490	1
577	105.67	90	0	0	-3.0537	10.887	2.4365	11.859	4	3589	1
578	94.428	50	0	0	-0.8741	11.288	2.8176	11.543	4	3502	1
579	169.5	130	0	0	-11.297	2.094	-10.879	5.1793	4	3548	1
580	44.143	50	0	0	7.9378	7.7038	11.488	4.864	4	3745	1
581	90.754	90	0	0	-0.1487	11.305	4.6993	11.257	4	3295	1
582	144.23	130	0	0	-9.238	6.6555	-9.0683	7.702	4	3143	1
583	148.6	90	0	0	-9.7741	5.9669	-5.3287	11.142	4	3517	1
584	106.99	50	0	0	-3.3512	10.969	2.1506	11.973	4	3457	1
585	143.51	130	0	0	-9.1853	6.795	-8.711	7.8453	4	3537	1
586	79.123	90	0	0	2.1659	11.272	4.7231	11.457	4	3353	1
587	186.2	130	0	0	-11.464	-1.2462	-10.879	4.95	4	3165	1
588	34.185	50	0	0	9.6963	6.5858	11.297	4.5487	4	3226	1
