trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	189.4	130	0	0	-10.978	-1.8169	-10.76	7.96	1	7602	1
74	37.776	50	0	0	8.8247	6.8393	9.4394	8.6193	1	2579	1
75	268.68	90	0	0	-0.2565	-11.113	-1.1603	13.063	1	3719	0
76	269.59	50	0	0	-0.0786	-11.062	4.5564	12.661	1	3564	0
77	160.6	130	0	0	-10.552	3.7166	-10.498	8.1607	1	3270	1
78	93.181	90	0	0	-0.6121	11.013	-0.49334	13.579	1	3059	1
79	65.124	90	0	0	4.6721	10.076	3.6274	13.063	1	3980	1
80	141.43	130	0	0	-8.6641	6.9084	-5.948	11.83	1	4940	1
81	22.033	50	0	0	10.333	4.1819	10.487	6.5553	1	2639	1
82	135.52	130	0	0	-7.9699	7.8265	-9.3304	8.39	1	2619	1
83	50.157	50	0	0	7.182	8.6069	8.3199	8.8773	1	2659	1
84	93.95	90	0	0	-0.7665	11.101	0.38798	13.865	1	4339	1
85	71.246	90	0	0	3.5828	10.552	2.7937	13.206	1	2646	1
86	38.147	50	0	0	8.7074	6.8389	8.3913	9.2787	1	2568	1
87	161.58	130	0	0	-10.776	3.5895	-11.284	6.8993	1	3576	1
88	38.257	50	0	0	8.7897	6.9309	10.94	6.1253	1	2968	1
89	113.03	130	0	0	-4.3599	10.256	-5.7098	12.059	1	2659	1
90	104.9	90	0	0	-2.8843	10.841	-3.566	13.263	1	3606	1
145	120.05	130	0	0	-5.639	9.7455	-8.4252	9.9667	2	3480	1
146	91.467	90	0	0	-0.2841	11.094	-0.66007	13.464	2	2929	1
147	64.604	50	0	0	4.769	10.046	6.0094	12.059	2	2899	1
148	121.88	130	0	0	-5.8889	9.4672	-6.4482	11.687	2	2659	1
149	100.36	90	0	0	-2.0039	10.966	-2.0416	13.521	2	3077	1
150	39.882	50	0	0	8.5915	7.1791	9.9396	7.5013	2	2905	1
151	135.12	130	0	0	-7.9035	7.8704	-9.2351	9.1067	2	3647	1
152	58.724	50	0	0	5.8472	9.6262	8.7248	9.164	2	3167	1
153	104.66	90	0	0	-2.8155	10.761	-2.4704	12.461	2	2983	1
154	113.28	130	0	0	-4.4443	10.332	-4.1377	12.776	2	2719	1
155	50.528	50	0	0	7.0701	8.5853	10.392	7.3007	2	2688	1
156	72.128	90	0	0	3.4755	10.778	3.5322	12.317	2	2912	1
157	87.474	90	0	0	0.4887	11.079	0.38798	13.177	2	3012	1
158	69.835	50	0	0	3.8699	10.538	4.5087	12.117	2	3012	1
