trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	153.7	130	0	0	-10.139	5.012	-15.703	2.942	1	2399	1
140	117.37	90	0	0	-5.2708	10.18	-8.0572	11.771	1	2340	1
141	73.882	50	0	0	3.1831	11.015	5.0911	11.771	1	2655	1
142	42.663	50	0	0	8.2986	7.6478	13.857	3.9453	1	5160	1
143	168.86	130	0	0	-11.264	2.2174	-14.06	2.168	1	2282	1
144	93.431	90	0	0	-0.671	11.193	0.13666	11.771	1	2612	1
145	153.07	130	0	0	-10.23	5.1972	-12.94	3.028	1	3140	1
146	121.63	90	0	0	-6.2718	10.183	-8.081	8.8187	1	2362	1
147	46.594	50	0	0	8.0604	8.5217	11.737	7.9873	1	2399	1
148	123.17	130	0	0	-6.1546	9.4171	-7.0568	8.3313	1	3655	1
149	131.44	90	0	0	-7.8677	8.9125	-10.13	9.1053	1	2098	1
150	32.356	50	0	0	9.7006	6.1458	14.381	2.7413	1	2941	1
151	146.44	130	0	0	-9.4312	6.2559	-12.511	4.1747	1	2459	1
152	95.839	90	0	0	-1.1631	11.373	-2.0071	11.771	1	2300	1
153	79.099	50	0	0	2.2181	11.518	5.7819	11.771	1	2359	1
154	42.809	50	0	0	8.4517	7.8288	14.214	4.8913	1	2921	1
155	148.7	130	0	0	-9.5922	5.8315	-11.987	3.372	1	2199	1
156	127.23	90	0	0	-6.764	8.9023	-10.177	8.4747	1	2119	1
283	179.02	130	0	0	-11.238	0.1918	-14.655	2.2253	2	10640	1
284	98.532	50	0	0	-1.7231	11.486	2.3281	11.771	2	2711	1
285	80.644	90	0	0	1.8476	11.214	4.8529	11.771	2	2612	1
286	71.246	50	0	0	3.6787	10.835	4.2812	11.771	2	2230	1
287	130.65	90	0	0	-7.5942	8.8457	-9.3197	11.313	2	2240	1
288	144.38	130	0	0	-9.3225	6.6792	-12.654	6.0953	2	2180	1
289	130.95	130	0	0	-7.4143	8.5435	-9.01	6.5253	2	4440	1
290	93.087	90	0	0	-0.6178	11.455	-1.4354	11.771	2	2330	1
291	90.357	50	0	0	-0.0721	11.571	4.6147	9.822	2	4562	1
292	74.34	50	0	0	3.2817	11.707	4.7815	11.771	2	2322	1
293	105.17	90	0	0	-3.0618	11.294	-3.4839	11.055	2	2179	1
294	135.12	130	0	0	-8.1684	8.1354	-10.296	7.1847	2	2259	1
295	91.734	50	0	0	-0.3512	11.598	1.3515	11.771	2	2239	1
296	111.86	130	0	0	-4.2682	10.637	-5.8182	9.9367	2	2239	1
297	102.24	90	0	0	-2.4716	11.389	-3.6268	9.306	2	2302	1
298	62.256	50	0	0	5.3549	10.181	7.9018	6.7833	2	3348	1
299	94.985	90	0	0	-1.0252	11.754	-0.62556	9.7073	2	2616	1
300	130.08	130	0	0	-7.4234	8.8228	-9.534	7.4427	2	2059	1
