Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	528.283849918	117.610114192	0.000087	-0.085020	528	395	0.0	-0.085	0	0	1	0	19
73	130	528.283849918	117.610114192	0.000087	-0.085020	528	395	0.0	-0.085	0	0	1	0	24
73	130	528.420880914	117.525285481	0.000129	-0.085046	528	395	0.0	-0.085	0	0	1	0	41
73	130	528.515497553	117.610114192	0.000158	-0.085020	528	395	0.0	-0.085	0	0	1	0	60
73	130	528.515497553	117.610114192	0.000158	-0.085020	528	395	0.0	-0.085	0	0	1	0	81
73	130	528.378466558	117.698205546	0.000116	-0.084993	528	395	0.0	-0.085	0	0	1	0	100
73	130	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	0	0	1	0	120
73	130	527.288743883	118.383360522	-0.000218	-0.084783	528	395	0.0	-0.085	0	0	1	0	141
73	130	526.473083197	118.898858075	-0.000468	-0.084625	528	395	0.0	-0.085	0	0	1	0	160
73	130	524.528548124	120.275693312	-0.001064	-0.084203	528	395	0.0	-0.085	0	0	1	0	181
73	130	522.313213703	121.828711256	-0.001743	-0.083727	528	395	0.0	-0.085	0	0	1	0	201
73	130	518.701468189	124.422512235	-0.002850	-0.082932	528	395	0.0	-0.085	0	0	1	0	221
73	130	514.47634584	127.724306688	-0.004145	-0.081920	528	395	0.0	-0.085	0	0	1	0	240
73	130	509.458401305	131.998368679	-0.005683	-0.080610	528	395	0.0	-0.085	0	0	1	0	261
73	130	502.978792822	137.267536705	-0.007669	-0.078995	528	395	0.0	-0.085	0	0	1	0	280
73	130	495.422512235	143.897226754	-0.009985	-0.076963	528	395	0.0	-0.085	0	0	1	0	301
73	130	486.848287113	151.743882545	-0.012613	-0.074558	528	395	0.0	-0.085	0	0	1	0	321
73	130	476.610114192	161.287112561	-0.015751	-0.071633	528	395	0.0	-0.085	0	0	1	0	341
73	130	465.719412724	172.200652529	-0.019089	-0.068288	528	395	0.0	-0.085	0	0	1	0	361
73	130	453.862969005	185.065252855	-0.022723	-0.064345	528	395	0.0	-0.085	0	0	1	0	381
73	130	441.924959217	199.003262643	-0.026382	-0.060073	528	395	0.0	-0.085	0	0	1	0	401
73	130	429.239804241	214.712887439	-0.030270	-0.055258	528	395	0.0	-0.085	0	0	1	0	421
