trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	-10.805	50	0	0	10.997	-2.0988	8.8677	3.164	1	12784	0
74	73.557	90	0	0	3.1878	10.801	-1.5414	9.4707	1	3326	1
75	122.75	130	0	0	-5.9761	9.291	-9.9735	4.1387	1	5680	1
76	39.13	50	0	0	9.1553	7.4483	6.6287	6.2313	1	7986	1
77	113.81	130	0	0	-4.5813	10.382	-11.212	3.9667	1	3752	1
78	72.457	90	0	0	3.5893	11.354	-1.3747	11.391	1	3140	1
79	15.627	50	0	0	11.131	3.1135	8.701	3.7373	1	4011	1
80	145.85	130	0	0	-9.2893	6.3016	-10.45	3.6513	1	7219	1
81	108.88	90	0	0	-4.2186	12.337	-5.9004	9.0407	1	4393	1
82	21.797	50	0	0	11.096	4.4376	8.4151	3.0207	1	2901	1
83	89.411	130	0	0	0.1184	11.52	-3.3517	9.958	1	3531	1
84	90.516	90	0	0	-0.1037	11.517	-1.8272	10.617	1	5523	1
85	76.429	130	0	0	2.8281	11.716	-3.566	9.9007	1	5325	1
86	39.555	50	0	0	8.6282	7.1265	7.3194	5.9447	1	6958	1
87	82.945	90	0	0	1.3954	11.275	-1.3747	10.417	1	2977	1
88	124.43	130	0	0	-6.4731	9.4423	-9.4018	6.5753	1	3665	1
89	45.209	50	0	0	8.2931	8.3538	7.1765	6.432	1	8313	1
90	105.15	90	0	0	-2.9723	10.976	-7.0437	9.0693	1	2694	1
145	29.777	50	0	0	9.9325	5.6832	9.2965	3.078	2	4414	1
146	149.99	130	0	0	-9.7872	5.6533	-11.593	4.798	2	4717	1
147	83.396	90	0	0	1.2851	11.1	-0.4457	11.047	2	4191	1
148	46.888	50	0	0	7.8175	8.3504	6.6287	6.7187	2	4188	1
149	132.54	130	0	0	-7.7325	8.4264	-9.5685	6.9767	2	3808	1
150	111.42	90	0	0	-4.204	10.715	-5.8527	8.926	2	4008	1
151	97.069	130	0	0	-1.384	11.16	-3.6851	9.7573	2	4160	1
152	62.113	90	0	0	5.4959	10.386	3.6989	9.2127	2	3970	1
153	74.092	50	0	0	3.1129	10.922	0.84055	9.9007	2	3218	1
154	82.46	90	0	0	1.5051	11.371	-1.5414	11.649	2	4128	1
155	38.763	50	0	0	8.9061	7.1512	8.4151	3.852	2	4760	1
156	145.5	130	0	0	-9.2197	6.3366	-11.331	3.0493	2	2978	1
157	92.79	130	0	0	-0.5469	11.224	-3.4946	10.159	2	3653	1
158	64.436	50	0	0	4.9511	10.35	3.0796	8.754	2	4575	1
159	100.89	90	0	0	-2.1316	11.082	-5.9004	10.245	2	5081	1
160	138.7	130	0	0	-8.4796	7.4491	-10.331	3.25	2	3019	1
161	51.021	50	0	0	7.0258	8.6825	9.4156	3.1067	2	6129	1
162	108.26	90	0	0	-3.494	10.592	-5.4954	8.496	2	4088	1
217	27.173	50	0	0	10.058	5.1629	9.2488	2.734	3	4023	1
218	87.005	90	0	0	0.5977	11.423	-1.6367	9.7573	3	4924	1
219	144.6	130	0	0	-9.1673	6.5143	-11.355	4.368	3	3063	1
220	94.142	130	0	0	-0.8032	11.092	-3.709	10.187	3	2965	1
