Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	50	529.148450245	115.039151713	0.000352	-0.085808	528	395	0.0	-0.085	0	0	1	0	19
73	50	529.598694943	114.611745514	0.000490	-0.085939	528	395	0.0	-0.085	0	0	1	0	24
73	50	530.052202284	114.184339315	0.000629	-0.086070	528	395	0.0	-0.085	0	0	1	0	40
73	50	530.776508972	113.587275693	0.000851	-0.086253	528	395	0.0	-0.085	0	0	1	0	61
73	50	531.269168026	112.986949429	0.001002	-0.086437	528	395	0.0	-0.085	0	0	1	0	81
73	50	532.03588907	112.220228385	0.001237	-0.086672	528	395	0.0	-0.085	0	0	1	0	100
73	50	532.812398042	111.88091354	0.001475	-0.086776	528	395	0.0	-0.085	0	0	1	0	120
73	50	533.598694943	111.965742251	0.001716	-0.086750	528	395	0.0	-0.085	0	0	1	0	141
73	50	535.030995106	112.22675367	0.002155	-0.086670	528	395	0.0	-0.085	0	0	1	0	160
73	50	537.670473083	112.748776509	0.002964	-0.086510	528	395	0.0	-0.085	0	0	1	0	180
73	50	541.693311582	113.707993475	0.004197	-0.086216	528	395	0.0	-0.085	0	0	1	0	200
73	50	546.323001631	115.453507341	0.005616	-0.085681	528	395	0.0	-0.085	0	0	1	0	220
73	50	553.203915171	117.401305057	0.007725	-0.085084	528	395	0.0	-0.085	0	0	1	0	241
73	50	561.272430669	120.504078303	0.010198	-0.084133	528	395	0.0	-0.085	0	0	1	0	260
73	50	571.615008157	124.112561175	0.013368	-0.083027	528	395	0.0	-0.085	0	0	1	0	281
73	50	584.07177814	128.344208809	0.017186	-0.081730	528	395	0.0	-0.085	0	0	1	0	300
73	50	598.665579119	133.492659054	0.021659	-0.080152	528	395	0.0	-0.085	0	0	1	0	321
73	50	614.544861338	139.668841762	0.026526	-0.078259	528	395	0.0	-0.085	0	0	1	0	341
73	50	632.910277325	146.608482871	0.032155	-0.076132	528	395	0.0	-0.085	0	0	1	0	360
73	50	652.244698206	155.091353997	0.038081	-0.073532	528	395	0.0	-0.085	0	0	1	0	380
73	50	672.515497553	164.722675367	0.044294	-0.070580	528	395	0.0	-0.085	0	0	1	0	400
73	50	693.507340946	175.349102773	0.050728	-0.067323	528	395	0.0	-0.085	0	0	1	0	421
73	50	713.866231648	187.169657423	0.056968	-0.063700	528	395	0.0	-0.085	0	0	1	0	440
73	50	734.114192496	198.879282219	0.063174	-0.060111	528	395	0.0	-0.085	0	0	1	0	460
73	50	752.567699837	211.4045677	0.068830	-0.056272	528	395	0.0	-0.085	0	0	1	0	480
73	50	770.212071778	224.171288744	0.074238	-0.052359	528	395	0.0	-0.085	0	0	1	0	500
73	50	786.473083197	237.195758564	0.079222	-0.048367	528	395	0.0	-0.085	0	0	1	0	520
73	50	802.006525285	250.252854812	0.083983	-0.044365	528	395	0.0	-0.085	0	0	1	0	541
73	50	816.375203915	262.706362153	0.088387	-0.040548	528	395	0.0	-0.085	0	0	1	0	561
73	50	829.464926591	274.311582382	0.092399	-0.036991	528	395	0.0	-0.085	0	0	1	0	580
73	50	840.398042414	285.381729201	0.095750	-0.033598	528	395	0.0	-0.085	0	0	1	0	601
73	50	850.486133768	295.495921697	0.098842	-0.030498	528	395	0.0	-0.085	0	0	1	0	621
73	50	858.339314845	305.371941272	0.101249	-0.027471	528	395	0.0	-0.085	0	0	1	0	641
73	50	865.262642741	314.608482871	0.103371	-0.024640	528	395	0.0	-0.085	0	0	1	0	660
73	50	871.980424144	323.101141925	0.105430	-0.022037	528	395	0.0	-0.085	0	0	1	0	680
73	50	878.587275693	330.660685155	0.107455	-0.019720	528	395	0.0	-0.085	0	0	1	0	700
73	50	883.83360522	337.362153344	0.109063	-0.017666	528	395	0.0	-0.085	0	0	1	0	721
73	50	887.615008157	342.973898858	0.110222	-0.015946	528	395	0.0	-0.085	0	0	1	0	740
73	50	890.584013051	347.293637847	0.111132	-0.014622	528	395	0.0	-0.085	0	0	1	0	761
73	50	892.766721044	350.017944535	0.111801	-0.013787	528	395	0.0	-0.085	0	0	1	0	781
73	50	894.920065253	351.760195759	0.112461	-0.013253	528	395	0.0	-0.085	0	0	1	0	800
73	50	897.539967374	352.402936378	0.113264	-0.013056	528	395	0.0	-0.085	0	0	1	0	820
73	50	899.471451876	352.83360522	0.113856	-0.012924	528	395	0.0	-0.085	0	0	1	0	840
73	50	900.662316476	352.644371941	0.114221	-0.012982	528	395	0.0	-0.085	0	0	1	0	861
73	50	901.24959217	352.053833605	0.114401	-0.013163	528	395	0.0	-0.085	0	0	1	0	881
73	50	901.370309951	350.993474715	0.114438	-0.013488	528	395	0.0	-0.085	0	0	1	0	900
73	50	901.295269168	349.603588907	0.114415	-0.013914	528	395	0.0	-0.085	0	0	1	0	920
73	50	901.171288744	347.812398042	0.114377	-0.014463	528	395	0.0	-0.085	0	0	1	0	940
73	50	901.092985318	346.425774878	0.114353	-0.014888	528	395	0.0	-0.085	0	0	1	0	961
73	50	901.148450245	345.257748777	0.114370	-0.015246	528	395	0.0	-0.085	0	0	1	0	980
73	50	901.252854812	344.491027732	0.114402	-0.015481	528	395	0.0	-0.085	0	0	1	0	1001
73	50	901.292006525	343.613376835	0.114414	-0.015750	528	395	0.0	-0.085	0	0	1	0	1020
73	50	900.691680261	342.924959217	0.114230	-0.015961	528	395	0.0	-0.085	0	0	1	0	1041
73	50	900.026101142	342.125611746	0.114026	-0.016206	528	395	0.0	-0.085	0	0	1	0	1060
73	50	899.295269168	341.215334421	0.113802	-0.016485	528	395	0.0	-0.085	0	0	1	0	1081
73	50	898.864600326	339.871125612	0.113670	-0.016897	528	395	0.0	-0.085	0	0	1	0	1100
73	50	898.430668842	338.52365416	0.113537	-0.017310	528	395	0.0	-0.085	0	0	1	0	1121
73	50	897.862969005	336.96411093	0.113363	-0.017788	528	395	0.0	-0.085	0	0	1	0	1140
73	50	896.95269168	335.150081566	0.113084	-0.018344	528	395	0.0	-0.085	0	0	1	0	1160
73	50	896.052202284	333.045676998	0.112808	-0.018989	528	395	0.0	-0.085	0	0	1	0	1180
73	50	894.740619902	330.585644372	0.112406	-0.019743	528	395	0.0	-0.085	0	0	1	0	1200
73	50	893.288743883	327.910277325	0.111961	-0.020563	528	395	0.0	-0.085	0	0	1	0	1220
73	50	892.195758564	324.911908646	0.111626	-0.021482	528	395	0.0	-0.085	0	0	1	0	1240
73	50	891.239804241	321.841761827	0.111333	-0.022423	528	395	0.0	-0.085	0	0	1	0	1260
73	50	890.486133768	318.814029364	0.111102	-0.023351	528	395	0.0	-0.085	0	0	1	0	1281
73	50	889.856443719	316.292006525	0.110909	-0.024124	528	395	0.0	-0.085	0	0	1	0	1300
73	50	889.288743883	313.88091354	0.110735	-0.024863	528	395	0.0	-0.085	0.110735	-0.024863	1	0	2068
74	130	527.543230016	111.277324633	-0.000140	-0.086961	528	395	0.0	-0.085	0	0	1	0	19
74	130	528.133768352	110.765089723	0.000041	-0.087118	528	395	0.0	-0.085	0	0	1	0	21
74	130	528.009787928	109.401305057	0.000003	-0.087536	528	395	0.0	-0.085	0	0	1	0	41
74	130	527.412724307	107.610114192	-0.000180	-0.088085	528	395	0.0	-0.085	0	0	1	0	61
74	130	526.257748777	105.737357259	-0.000534	-0.088659	528	395	0.0	-0.085	0	0	1	0	81
74	130	524.910277325	103.701468189	-0.000947	-0.089283	528	395	0.0	-0.085	0	0	1	0	101
74	130	523.477977162	102.004893964	-0.001386	-0.089803	528	395	0.0	-0.085	0	0	1	0	121
74	130	522.013050571	100.905383361	-0.001835	-0.090140	528	395	0.0	-0.085	0	0	1	0	141
