Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	57.0977713726	50	0.0	-0.085	0.065271	0.015885	514	577	1	6622
92	107.95319854	90	0.0	-0.085	-0.037283	0.030065	849	682	1	3909
93	144.87390374	130	0.0	-0.085	-0.098871	-0.015445	1133	557	1	3829
94	101.154017369	90	0.0	-0.085	-0.023366	0.033506	1359	93	1	4276
95	146.65365456	130	0.0	-0.085	-0.101341	-0.018314	1126	544	1	3520
96	57.1133138879	50	0.0	-0.085	0.066237	0.017439	571	582	1	3466
97	110.905389198	90	0.0	-0.085	-0.043228	0.028171	870	684	1	3859
98	152.329669063	130	0.0	-0.085	-0.106955	-0.028918	1145	568	1	3649
99	61.8860780873	50	0.0	-0.085	0.057188	0.022041	575	588	1	3470
100	110.943897479	90	0.0	-0.085	-0.043368	0.028309	869	718	1	3409
101	145.321329288	130	0.0	-0.085	-0.099436	-0.016202	1199	512	1	3429
102	56.1916642233	50	0.0	-0.085	0.067959	0.016484	530	582	1	3670
103	145.992308581	130	0.0	-0.085	-0.100118	-0.017450	1139	553	1	3930
104	62.4977747728	50	0.0	-0.085	0.056351	0.023239	549	602	1	3789
105	100.589964413	90	0.0	-0.085	-0.022069	0.033039	869	699	1	3649
106	146.294061431	130	0.0	-0.085	-0.100786	-0.017769	1189	536	1	3983
107	60.7521824639	50	0.0	-0.085	0.059077	0.020499	536	597	1	3549
108	108.010242738	90	0.0	-0.085	-0.037263	0.029614	881	689	1	3769
235	154.663413737	130	0.0	-0.085	-0.109933	-0.032949	1127	526	2	4952
236	109.107794239	90	0.0	-0.085	-0.039703	0.029605	872	671	2	3330
237	51.1296137428	50	0.0	-0.085	0.076081	0.009388	522	582	2	3110
238	65.5457185925	50	0.0	-0.085	0.049993	0.024932	599	631	2	3169
239	104.970654613	90	0.0	-0.085	-0.031588	0.033130	804	675	2	3209
240	149.11265959	130	0.0	-0.085	-0.104723	-0.022356	1147	538	2	3169
241	90.9040349135	50	0.0	-0.085	-0.001911	0.036105	698	663	2	3749
242	91.2762902636	90	0.0	-0.085	-0.002722	0.037177	647	650	2	3528
243	155.166772212	130	0.0	-0.085	-0.109975	-0.034107	1119	568	2	5500
244	109.067895471	90	0.0	-0.085	-0.039203	0.028417	840	679	2	3525
245	149.757850236	130	0.0	-0.085	-0.104489	-0.024083	1321	486	2	4770
246	66.9871487727	50	0.0	-0.085	0.048027	0.028074	568	604	2	3749
247	107.251311445	90	0.0	-0.085	-0.035784	0.030234	883	698	2	3189
248	66.5949533451	50	0.0	-0.085	0.048014	0.025927	614	643	2	3429
249	149.049298716	130	0.0	-0.085	-0.104569	-0.022291	1196	551	2	3489
250	116.386615883	90	0.0	-0.085	-0.053545	0.022929	930	648	2	3567
251	55.9140282953	50	0.0	-0.085	0.068453	0.016158	609	653	2	3310
252	147.649028931	130	0.0	-0.085	-0.101623	-0.020630	1225	548	2	3689
379	107.217133074	90	0.0	-0.085	-0.035748	0.030361	725	624	3	5374
380	76.9421255982	50	0.0	-0.085	0.027548	0.033776	531	611	3	3469
381	163.857335628	130	0.0	-0.085	-0.117153	-0.051091	1135	579	3	3429
382	65.8794071997	50	0.0	-0.085	0.049847	0.026327	559	492	3	3569
383	118.282056903	90	0.0	-0.085	-0.057523	0.021912	900	675	3	3509
384	166.673375429	130	0.0	-0.085	-0.117308	-0.057212	1133	547	3	3409
385	129.160281532	130	0.0	-0.085	-0.076732	0.009216	1103	581	3	4970
386	80.7237436879	90	0.0	-0.085	0.019699	0.035608	593	609	3	3190
387	78.2819287106	50	0.0	-0.085	0.024793	0.034531	521	583	3	3342
388	112.476268172	90	0.0	-0.085	-0.046290	0.026885	814	657	3	3569
389	29.1194411861	50	0.0	-0.085	0.105501	-0.026232	380	370	3	3649
390	145.001073193	130	0.0	-0.085	-0.098539	-0.016005	1097	580	3	3529
391	66.710535068	50	0.0	-0.085	0.047953	0.026402	433	495	3	3869
392	124.918720046	130	0.0	-0.085	-0.069938	0.015184	1134	578	3	3909
393	118.137477438	90	0.0	-0.085	-0.056836	0.021277	828	664	3	3749
394	158.328821191	130	0.0	-0.085	-0.113885	-0.039746	1157	537	3	4289
395	76.0954628442	50	0.0	-0.085	0.029183	0.032883	524	605	3	3409
396	113.984328261	90	0.0	-0.085	-0.049267	0.025737	854	692	3	3689
523	146.054423038	130	0.0	-0.085	-0.101743	-0.016514	999	624	4	3249
524	118.598657367	90	0.0	-0.085	-0.058419	0.022154	857	664	4	2949
525	117.999594603	50	0.0	-0.085	-0.056633	0.021513	640	637	4	5925
526	65.4454281255	50	0.0	-0.085	0.050431	0.025382	512	546	4	3407
527	150.073274297	130	0.0	-0.085	-0.104625	-0.024773	1072	613	4	3369
528	110.529162011	90	0.0	-0.085	-0.042689	0.029000	826	681	4	3209
529	146.012951625	130	0.0	-0.085	-0.100448	-0.017280	1109	604	4	3209
530	70.3913013269	50	0.0	-0.085	0.040902	0.029811	544	580	4	3249
531	116.866863557	90	0.0	-0.085	-0.054712	0.022998	868	678	4	3469
532	145.258054199	130	0.0	-0.085	-0.099082	-0.016285	1121	568	4	3589
533	108.274591741	90	0.0	-0.085	-0.038229	0.030766	823	670	4	3729
534	72.3172737089	50	0.0	-0.085	0.036787	0.030389	530	572	4	3290
535	148.656679726	130	0.0	-0.085	-0.104117	-0.021588	1107	589	4	3270
536	78.2356580278	50	0.0	-0.085	0.024508	0.032679	526	589	4	3330
537	116.859298514	90	0.0	-0.085	-0.054845	0.023296	867	700	4	3450
538	135.317783453	130	0.0	-0.085	-0.086569	0.000614	1117	596	4	3609
539	103.242505962	90	0.0	-0.085	-0.028002	0.033990	851	693	4	3246
540	67.8590191107	50	0.0	-0.085	0.045582	0.027025	557	635	4	3568
