Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	76.777725563	90	0.0	-0.085	0.027597	0.032455	717	68	1	29128
47	164.383545829	130	0.0	-0.085	-0.118255	-0.051946	1070	642	1	18287
48	13.8382610846	50	0.0	-0.085	0.117699	-0.056007	148	640	1	13344
49	125.463019485	130	0.0	-0.085	-0.069927	0.013168	841	899	1	8182
50	113.267683016	90	0.0	-0.085	-0.047702	0.025935	730	899	1	9548
51	24.0721036393	50	0.0	-0.085	0.111063	-0.035384	127	690	1	7201
52	66.1585236494	50	0.0	-0.085	0.048793	0.025412	374	857	1	6594
53	108.927015503	90	0.0	-0.085	-0.039402	0.029907	824	899	1	5511
54	118.863859315	130	0.0	-0.085	-0.058434	0.021011	849	899	1	5179
55	111.915065618	90	0.0	-0.085	-0.045770	0.028770	891	899	1	5409
56	16.0561279992	50	0.0	-0.085	0.115498	-0.051759	15	561	1	5881
57	109.7608822	130	0.0	-0.085	-0.041006	0.029143	809	899	1	6107
58	49.7097136992	50	0.0	-0.085	0.078551	0.007656	381	886	1	13049
59	135.505729319	130	0.0	-0.085	-0.086575	0.000060	956	792	1	12593
60	100.709412714	90	0.0	-0.085	-0.022633	0.034674	640	876	1	7358
61	114.398526487	130	0.0	-0.085	-0.049844	0.024888	815	875	1	9384
62	55.5479660334	50	0.0	-0.085	0.068797	0.015280	275	819	1	9926
63	67.9637835002	90	0.0	-0.085	0.045443	0.027271	443	899	1	9288
118	105.074981131	90	0.0	-0.085	-0.031452	0.031769	746	899	2	23529
119	127.00398108	130	0.0	-0.085	-0.072990	0.011847	766	899	2	5857
120	53.3871939748	50	0.0	-0.085	0.072067	0.011993	291	899	2	5849
121	90.8704156051	90	0.0	-0.085	-0.001835	0.035781	597	873	2	6753
122	129.959090307	130	0.0	-0.085	-0.077154	0.007082	811	885	2	4741
