Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	90	527.2137031	119.156606852	-0.000241	-0.084546	528	395	0.0	-0.085	0	0	1	0	0
91	90	527.076672104	119.241435563	-0.000283	-0.084520	528	395	0.0	-0.085	0	0	1	0	20
91	90	526.398042414	119.672104405	-0.000491	-0.084388	528	395	0.0	-0.085	0	0	1	0	40
91	90	525.445350734	120.275693312	-0.000783	-0.084203	528	395	0.0	-0.085	0	0	1	0	60
91	90	524.629690049	120.791190865	-0.001033	-0.084045	528	395	0.0	-0.085	0	0	1	0	80
91	90	524.088091354	121.137030995	-0.001199	-0.083939	528	395	0.0	-0.085	0	0	1	0	100
91	90	523.314845024	121.482871126	-0.001436	-0.083833	528	395	0.0	-0.085	0	0	1	0	120
91	90	522.812398042	121.655791191	-0.001590	-0.083780	528	395	0.0	-0.085	0	0	1	0	140
91	90	522.313213703	121.828711256	-0.001743	-0.083727	528	395	0.0	-0.085	0	0	1	0	160
91	90	521.406199021	122.259380098	-0.002021	-0.083595	528	395	0.0	-0.085	0	0	1	0	180
91	90	520.362153344	122.781402936	-0.002341	-0.083435	528	395	0.0	-0.085	0	0	1	0	200
91	90	519.546492659	123.300163132	-0.002591	-0.083276	528	395	0.0	-0.085	0	0	1	0	220
91	90	518.505709625	123.822185971	-0.002910	-0.083116	528	395	0.0	-0.085	0	0	1	0	241
91	90	517.732463295	124.168026101	-0.003147	-0.083010	528	395	0.0	-0.085	0	0	1	0	260
91	90	517.1908646	124.517128874	-0.003313	-0.082903	528	395	0.0	-0.085	0	0	1	0	280
91	90	516.515497553	124.951060359	-0.003520	-0.082770	528	395	0.0	-0.085	0	0	1	0	300
91	90	515.703099511	125.473083197	-0.003769	-0.082610	528	395	0.0	-0.085	0	0	1	0	321
91	90	515.11908646	125.991843393	-0.003948	-0.082451	528	395	0.0	-0.085	0	0	1	0	340
91	90	514.401305057	126.601957586	-0.004168	-0.082264	528	395	0.0	-0.085	0	0	1	0	360
91	90	513.954323002	127.03588907	-0.004305	-0.082131	528	395	0.0	-0.085	0	0	1	0	380
91	90	513.641109299	127.381729201	-0.004401	-0.082025	528	395	0.0	-0.085	0	0	1	0	401
91	90	513.194127243	127.818923328	-0.004538	-0.081891	528	395	0.0	-0.085	0	0	1	0	420
91	90	512.75040783	128.252854812	-0.004674	-0.081758	528	395	0.0	-0.085	0	0	1	0	441
91	90	512.208809135	128.601957586	-0.004840	-0.081651	528	395	0.0	-0.085	0	0	1	0	461
91	90	512.07177814	128.69004894	-0.004882	-0.081624	528	395	0.0	-0.085	0	0	1	0	480
