Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	111.888990699	90	0.0	-0.085	-0.045018	0.027048	793	598	1	4829
92	157.75383217	130	0.0	-0.085	-0.113277	-0.038666	1120	479	1	3129
93	78.1884367129	50	0.0	-0.085	0.024719	0.033204	524	541	1	2949
94	154.892650253	130	0.0	-0.085	-0.111400	-0.032799	1120	510	1	2969
95	100.637108203	90	0.0	-0.085	-0.022335	0.033920	834	631	1	3489
96	70.8164679679	50	0.0	-0.085	0.039648	0.028959	787	254	1	3478
97	78.6812279436	50	0.0	-0.085	0.023951	0.034659	543	562	1	2989
98	119.371051457	90	0.0	-0.085	-0.060205	0.021973	851	624	1	2789
99	157.908082013	130	0.0	-0.085	-0.114158	-0.038664	1149	454	1	3249
100	112.992431068	90	0.0	-0.085	-0.046897	0.025523	864	622	1	2903
101	72.7163909651	50	0.0	-0.085	0.035938	0.030500	522	553	1	2890
102	140.341760588	130	0.0	-0.085	-0.094185	-0.006922	1083	517	1	3742
103	80.0019750389	50	0.0	-0.085	0.021128	0.034847	534	555	1	3089
104	110.366636816	90	0.0	-0.085	-0.042079	0.028349	785	629	1	3029
105	137.670506692	130	0.0	-0.085	-0.089455	-0.003518	1016	582	1	4400
106	145.953881162	130	0.0	-0.085	-0.099590	-0.017709	1140	473	1	3129
107	103.475964279	90	0.0	-0.085	-0.028004	0.031861	863	595	1	2869
108	73.3407177139	50	0.0	-0.085	0.034842	0.031435	532	540	1	3134
235	57.1228050571	50	0.0	-0.085	0.065882	0.016927	590	568	2	8236
236	117.444164008	90	0.0	-0.085	-0.056691	0.024162	895	590	2	3030
237	155.974759431	130	0.0	-0.085	-0.113719	-0.034309	1162	482	2	2830
238	146.689146027	130	0.0	-0.085	-0.102470	-0.017662	1005	570	2	2944
239	113.231208657	90	0.0	-0.085	-0.048127	0.027120	869	614	2	3269
240	75.1973872928	50	0.0	-0.085	0.030901	0.031934	537	556	2	3309
241	125.594520121	90	0.0	-0.085	-0.071202	0.014474	918	608	2	3129
242	148.728696662	130	0.0	-0.085	-0.105438	-0.020965	1125	442	2	3249
243	84.3726692527	50	0.0	-0.085	0.011864	0.035407	566	556	2	5702
244	117.025426717	90	0.0	-0.085	-0.055310	0.023433	911	631	2	3556
245	148.545074588	130	0.0	-0.085	-0.102601	-0.022237	1185	387	2	2929
246	82.3451966986	50	0.0	-0.085	0.015987	0.033949	575	544	2	3349
247	87.2160392674	50	0.0	-0.085	0.005832	0.034932	544	590	2	3628
248	135.259361978	130	0.0	-0.085	-0.085324	-0.000445	1104	519	2	2976
249	111.066049706	90	0.0	-0.085	-0.043780	0.028659	902	617	2	2869
250	140.665216878	130	0.0	-0.085	-0.093659	-0.008246	1138	478	2	3129
251	73.5554692706	50	0.0	-0.085	0.033973	0.030100	601	536	2	3089
252	108.418143445	90	0.0	-0.085	-0.038492	0.030589	858	642	2	3149
379	70.7304409531	50	0.0	-0.085	0.040028	0.029497	561	596	3	3589
380	149.083698689	130	0.0	-0.085	-0.105164	-0.022020	1125	510	3	3009
381	112.905862242	90	0.0	-0.085	-0.046875	0.025937	792	612	3	2929
382	72.158129385	50	0.0	-0.085	0.037348	0.031034	506	522	3	3049
383	157.123391317	130	0.0	-0.085	-0.112311	-0.037612	1153	442	3	2990
384	121.508463649	90	0.0	-0.085	-0.063186	0.018076	939	605	3	3029
385	128.268778283	130	0.0	-0.085	-0.076364	0.011802	982	567	3	3310
386	113.525430337	90	0.0	-0.085	-0.048200	0.025718	926	611	3	3090
387	83.8015297219	50	0.0	-0.085	0.013242	0.036925	622	608	3	3089
388	123.914239009	130	0.0	-0.085	-0.068504	0.016890	929	608	3	2989
389	91.9714468249	50	0.0	-0.085	-0.004188	0.036667	642	597	3	3109
