Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	130	528.394779772	118.556280587	0.000121	-0.084730	528	395	0.0	-0.085	0	0	1	0	19
139	130	528.394779772	118.556280587	0.000121	-0.084730	528	395	0.0	-0.085	0	0	1	0	24
139	130	528.626427406	118.556280587	0.000192	-0.084730	528	395	0.0	-0.085	0	0	1	0	41
139	130	528.949429038	118.641109299	0.000291	-0.084704	528	395	0.0	-0.085	0	0	1	0	61
139	130	529.367047308	118.814029364	0.000419	-0.084651	528	395	0.0	-0.085	0	0	1	0	80
139	130	529.5954323	118.814029364	0.000489	-0.084651	528	395	0.0	-0.085	0	0	1	0	100
139	130	529.504078303	118.72593801	0.000461	-0.084678	528	395	0.0	-0.085	0	0	1	0	121
139	130	528.907014682	118.814029364	0.000278	-0.084651	528	395	0.0	-0.085	0	0	1	0	141
139	130	527.716150082	118.983686786	-0.000087	-0.084599	528	395	0.0	-0.085	0	0	1	0	160
139	130	525.970636215	119.07177814	-0.000622	-0.084572	528	395	0.0	-0.085	0	0	1	0	180
139	130	522.398042414	119.593800979	-0.001717	-0.084412	528	395	0.0	-0.085	0	0	1	0	200
139	130	518.127243067	119.691680261	-0.003026	-0.084382	528	395	0.0	-0.085	0	0	1	0	220
139	130	512.114192496	119.897226754	-0.004869	-0.084319	528	395	0.0	-0.085	0	0	1	0	241
139	130	504.668841762	119.871125612	-0.007151	-0.084327	528	395	0.0	-0.085	0	0	1	0	260
139	130	495.712887439	119.975530179	-0.009896	-0.084295	528	395	0.0	-0.085	0	0	1	0	281
139	130	484.783034258	120.233278956	-0.013246	-0.084216	528	395	0.0	-0.085	0	0	1	0	301
139	130	472.704730832	120.569331158	-0.016948	-0.084113	528	395	0.0	-0.085	0	0	1	0	320
139	130	458.721044046	121.362153344	-0.021234	-0.083870	528	395	0.0	-0.085	0	0	1	0	341
139	130	443.197389886	122.549755302	-0.025992	-0.083506	528	395	0.0	-0.085	0	0	1	0	360
139	130	426.469820555	124.233278956	-0.031119	-0.082990	528	395	0.0	-0.085	0	0	1	0	380
139	130	407.628058728	127.091353997	-0.036894	-0.082114	528	395	0.0	-0.085	0	0	1	0	401
139	130	387.781402936	130.853181077	-0.042977	-0.080961	528	395	0.0	-0.085	0	0	1	0	421
139	130	367.021207178	135.805872757	-0.049340	-0.079443	528	395	0.0	-0.085	0	0	1	0	441
139	130	346.371941272	141.378466558	-0.055669	-0.077735	528	395	0.0	-0.085	0	0	1	0	460
139	130	325.980424144	147.47634584	-0.061919	-0.075866	528	395	0.0	-0.085	0	0	1	0	480
139	130	305.83360522	153.486133768	-0.068094	-0.074024	528	395	0.0	-0.085	0	0	1	0	501
