trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	166.95	130	0	0	-11.122	2.5781	-11.045	5.8673	1	3656	1
140	97.338	50	0	0	-1.4456	11.225	1.8172	12.919	1	2660	1
141	138.68	90	0	0	-8.5215	7.4909	-5.8289	11.744	1	2440	1
142	101.03	50	0	0	-2.1446	10.999	1.6742	13.349	1	2965	1
143	132.22	90	0	0	-7.4515	8.2123	-6.4958	11.572	1	2580	1
144	131.66	130	0	0	-7.5557	8.4919	-7.6868	10.024	1	2500	1
145	125.74	90	0	0	-6.508	9.0436	-6.2338	11.257	1	2340	1
146	103.52	130	0	0	-2.6404	10.98	-2.9467	12.489	1	2399	1
147	58.626	50	0	0	5.8288	9.5587	6.8907	10.253	1	2599	1
148	123.67	90	0	0	-6.1616	9.2492	-6.3767	12.002	1	3727	1
149	103.54	130	0	0	-2.6539	11.019	-3.042	12.575	1	2338	1
150	82.559	50	0	0	1.4699	11.255	1.7219	12.948	1	2539	1
151	87.29	90	0	0	0.5355	11.313	-0.61243	12.833	1	2319	1
152	135.52	130	0	0	-8.0013	7.8578	-11.307	5.982	1	2983	1
153	80.365	50	0	0	1.9006	11.196	1.6028	12.948	1	2445	1
154	93.642	90	0	0	-0.7169	11.264	-0.4457	13.521	1	2599	1
155	86.051	50	0	0	0.7854	11.377	1.6981	13.263	1	2559	1
156	100.91	130	0	0	-2.1246	11.018	-3.2326	13.005	1	2439	1
283	104.65	50	0	0	-2.8461	10.89	2.1506	13.378	2	2940	1
284	66.283	90	0	0	4.5909	10.45	4.9375	12.059	2	3478	1
285	146.03	130	0	0	-9.4345	6.3575	-10.998	5.6953	2	2419	1
286	137.39	90	0	0	-8.262	7.6006	-5.7336	12.002	2	3640	1
287	57.226	50	0	0	6.2287	9.6748	11.011	5.8673	2	2579	1
288	165.91	130	0	0	-10.829	2.7183	-11.045	5.3227	2	2399	1
289	117.61	130	0	0	-5.262	10.062	-2.8276	12.805	2	2699	1
290	99.491	90	0	0	-1.8667	11.166	-1.065	12.547	2	2439	1
291	103.4	50	0	0	-2.5716	10.795	1.9362	13.607	2	2539	1
292	36.079	50	0	0	9.1554	6.6711	10.869	5.724	2	2499	1
293	99.208	90	0	0	-1.7885	11.033	-0.49334	12.776	2	2479	1
294	166.64	130	0	0	-11.062	2.6268	-11.069	6.0967	2	2499	1
295	114.36	130	0	0	-4.6075	10.176	-2.7324	12.805	2	2439	1
296	103.71	90	0	0	-2.6812	10.991	-0.35042	13.321	2	2639	1
297	94.979	50	0	0	-0.9676	11.107	1.6028	12.805	2	2759	1
298	139.6	130	0	0	-8.6518	7.3623	-8.2585	9.7373	2	3339	1
299	133.67	90	0	0	-7.7597	8.1285	-6.0671	11.945	2	2819	1
300	34.877	50	0	0	9.401	6.5526	10.63	6.2687	2	2499	1
427	97.521	50	0	0	-1.5026	11.381	2.2697	13.292	3	2680	1
428	135.35	90	0	0	-8.1463	8.0469	-6.0433	11.973	3	2359	1
429	113.63	130	0	0	-4.5036	10.291	-3.0658	13.263	3	2339	1
430	145.1	130	0	0	-9.3384	6.514	-10.569	5.208	3	2399	1
431	139.23	90	0	0	-8.5116	7.3381	-6.3291	10.941	3	2519	1
432	108.26	50	0	0	-3.4669	10.508	1.7933	13.292	3	2339	1
433	157.41	130	0	0	-10.385	4.3212	-11.093	6.068	3	2299	1
434	70.132	50	0	0	3.8182	10.566	6.6525	10.511	3	3110	1
435	104.17	90	0	0	-2.7894	11.044	0.054511	14.009	3	2659	1
436	132.34	90	0	0	-7.5178	8.2506	-5.8289	11.314	3	2680	1
437	41.828	50	0	0	8.8103	7.8851	11.535	6.756	3	2519	1
438	136.66	130	0	0	-8.2199	7.7567	-7.6868	11.113	3	2460	1
439	89.355	50	0	0	0.1276	11.334	1.7695	12.489	3	2740	1
440	69.321	90	0	0	3.9911	10.574	4.3658	11.142	3	2729	1
441	168.64	130	0	0	-10.935	2.1964	-12.57	5.9533	3	2499	1
442	141.94	130	0	0	-8.8829	6.9553	-7.9726	10.597	3	2539	1
443	96.207	50	0	0	-1.2249	11.262	1.7933	13.55	3	4701	1
444	92.135	90	0	0	-0.4207	11.284	-0.51716	13.321	3	2379	1
571	96.718	50	0	0	-1.3099	11.12	1.9601	13.378	4	2946	1
572	110.14	90	0	0	-3.828	10.437	-6.1624	12.059	4	2979	1
573	176.98	130	0	0	-11.333	0.5985	-11.069	5.6093	4	2839	1
574	122.52	130	0	0	-5.9754	9.3721	-2.6133	12.575	4	2439	1
