Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	90	529.360522023	114.184339315	0.000417	-0.086070	528	395	0.0	-0.085	0.0	0.035	1	0	0
100	90	529.947797716	113.672104405	0.000597	-0.086227	528	395	0.0	-0.085	0.0	0.035	1	0	20
100	90	531.344208809	112.220228385	0.001025	-0.086672	528	395	0.0	-0.085	0.0	0.035	1	0	40
100	90	532.743882545	110.768352365	0.001454	-0.087117	528	395	0.0	-0.085	0.0	0.035	1	0	60
100	90	534.048939641	109.23817292	0.001854	-0.087586	528	395	0.0	-0.085	0.0	0.035	1	0	80
100	90	535.585644372	107.707993475	0.002325	-0.088055	528	395	0.0	-0.085	0.0	0.035	1	0	100
100	90	536.303425775	106.686786297	0.002545	-0.088368	528	395	0.0	-0.085	0.0	0.035	1	0	120
100	90	537.168026101	106.01141925	0.002810	-0.088575	528	395	0.0	-0.085	0.0	0.035	1	0	140
100	90	537.579119086	105.756933116	0.002936	-0.088653	528	395	0.0	-0.085	0.0	0.035	1	0	160
100	90	537.579119086	105.756933116	0.002936	-0.088653	528	395	0.0	-0.085	0.0	0.035	1	0	180
100	90	537.442088091	105.841761827	0.002894	-0.088627	528	395	0.0	-0.085	0.0	0.035	1	0	200
100	90	537.030995106	106.096247961	0.002768	-0.088549	528	395	0.0	-0.085	0.0	0.035	1	0	220
100	90	536.528548124	106.262642741	0.002614	-0.088498	528	395	0.0	-0.085	0.0	0.035	1	0	240
100	90	536.296900489	106.262642741	0.002543	-0.088498	528	395	0.0	-0.085	0.0	0.035	1	0	260
100	90	536.339314845	106.092985318	0.002556	-0.088550	528	395	0.0	-0.085	0.0	0.035	1	0	280
100	90	536.424143556	105.753670473	0.002582	-0.088654	528	395	0.0	-0.085	0.0	0.035	1	0	300
100	90	536.603588907	105.499184339	0.002637	-0.088732	528	395	0.0	-0.085	0.0	0.035	1	0	320
100	90	536.783034258	105.244698206	0.002692	-0.088810	528	395	0.0	-0.085	0.0	0.035	1	0	340
100	90	536.920065253	105.159869494	0.002734	-0.088836	528	395	0.0	-0.085	0.0	0.035	1	0	360
100	90	537.151712887	105.159869494	0.002805	-0.088836	528	395	0.0	-0.085	0.0	0.035	1	0	380
100	90	537.288743883	105.075040783	0.002847	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	400
100	90	537.288743883	105.075040783	0.002847	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	420
100	90	537.288743883	105.075040783	0.002847	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	440
100	90	537.151712887	105.159869494	0.002805	-0.088836	528	395	0.0	-0.085	0.0	0.035	1	0	460
100	90	536.920065253	105.159869494	0.002734	-0.088836	528	395	0.0	-0.085	0.0	0.035	1	0	480
100	90	536.920065253	105.159869494	0.002734	-0.088836	528	395	0.0	-0.085	0.0	0.035	1	0	500
100	90	536.825448613	105.075040783	0.002705	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	520
100	90	536.825448613	105.075040783	0.002705	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	540
100	90	536.825448613	105.075040783	0.002705	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	560
100	90	536.825448613	105.075040783	0.002705	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	580
100	90	536.825448613	105.075040783	0.002705	-0.088862	528	395	0.0	-0.085	0.0	0.035	1	0	600
100	90	536.730831974	104.986949429	0.002676	-0.088889	528	395	0.0	-0.085	0.0	0.035	1	0	620
100	90	536.544861338	104.817292007	0.002619	-0.088941	528	395	0.0	-0.085	0.0	0.035	1	0	640
100	90	536.16639478	104.477977162	0.002503	-0.089045	528	395	0.0	-0.085	0.0	0.035	1	0	660
100	90	535.781402936	103.711256117	0.002385	-0.089280	528	395	0.0	-0.085	0.0	0.035	1	0	680
100	90	535.151712887	102.520391517	0.002192	-0.089645	528	395	0.0	-0.085	0.0	0.035	1	0	700
100	90	534.283849918	100.905383361	0.001926	-0.090140	528	395	0.0	-0.085	0.0	0.035	1	0	720
100	90	532.802610114	98.9543230016	0.001472	-0.090738	528	395	0.0	-0.085	0.0	0.035	1	0	740
100	90	530.610114192	96.5856443719	0.000800	-0.091464	528	395	0.0	-0.085	0.0	0.035	1	0	760
100	90	527.663947798	93.969004894	-0.000103	-0.092266	528	395	0.0	-0.085	0.0	0.035	1	0	780
100	90	523.686786297	91.277324633	-0.001322	-0.093091	528	395	0.0	-0.085	0.0	0.035	1	0	800
100	90	518.861337684	88.6835236542	-0.002801	-0.093886	528	395	0.0	-0.085	0.0	0.035	1	0	820
100	90	513.778140294	85.6884176183	-0.004359	-0.094804	528	395	0.0	-0.085	0.0	0.035	1	0	840
100	90	508.584013051	82.6313213703	-0.005951	-0.095741	528	395	0.0	-0.085	0.0	0.035	1	0	860
100	90	503.843393148	79.5840130506	-0.007404	-0.096675	528	395	0.0	-0.085	0.0	0.035	1	0	880
100	90	498.812398042	76.722675367	-0.008946	-0.097552	528	395	0.0	-0.085	0.0	0.035	1	0	900
100	90	494.57096248	73.9526916803	-0.010246	-0.098401	528	395	0.0	-0.085	0.0	0.035	1	0	920
100	90	491.15497553	71.101141925	-0.011293	-0.099275	528	395	0.0	-0.085	0.0	0.035	1	0	940
100	90	488.766721044	68.3246329527	-0.012025	-0.100126	528	395	0.0	-0.085	0.0	0.035	1	0	960
100	90	487.311582382	65.5415986949	-0.012471	-0.100979	528	395	0.0	-0.085	0.0	0.035	1	0	980
100	90	486.185970636	62.8433931485	-0.012816	-0.101806	528	395	0.0	-0.085	0.0	0.035	1	0	1000
100	90	486.371941272	60.0473083197	-0.012759	-0.102663	528	395	0.0	-0.085	0.0	0.035	1	0	1020
100	90	486.675367047	57.7471451876	-0.012666	-0.103368	528	395	0.0	-0.085	0.0	0.035	1	0	1040
100	90	487.960848287	55.2707993475	-0.012272	-0.104127	528	395	0.0	-0.085	0.0	0.035	1	0	1060
100	90	489.171288744	53.1272430669	-0.011901	-0.104784	528	395	0.0	-0.085	0.0	0.035	1	0	1080
100	90	490.854812398	50.9804241436	-0.011385	-0.105442	528	395	0.0	-0.085	0.0	0.035	1	0	1100
