Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	52.4717813004	50	0.0	-0.085	0.068626	0.004344	297	615	1	3215
140	157.505042468	130	0.0	-0.085	-0.104745	-0.041624	1203	592	1	2769
141	107.092668831	90	0.0	-0.085	-0.034214	0.026265	732	861	1	2909
142	104.768362587	90	0.0	-0.085	-0.028567	0.023364	789	844	1	3970
143	165.324473799	130	0.0	-0.085	-0.108970	-0.056462	1212	606	1	2550
144	60.9908905066	50	0.0	-0.085	0.054397	0.013098	298	633	1	2593
145	155.249510074	130	0.0	-0.085	-0.101723	-0.038104	1193	581	1	2650
146	108.609801885	90	0.0	-0.085	-0.037036	0.024988	758	852	1	2569
147	73.4335473368	50	0.0	-0.085	0.032617	0.024646	378	687	1	2609
148	137.780695721	130	0.0	-0.085	-0.084498	-0.008330	1130	689	1	2529
149	104.653356464	90	0.0	-0.085	-0.028534	0.024127	728	822	1	2509
150	55.2483645161	50	0.0	-0.085	0.064401	0.007828	292	614	1	2429
151	86.5511227743	50	0.0	-0.085	0.007009	0.031299	448	734	1	2509
152	158.949977586	130	0.0	-0.085	-0.106476	-0.044021	1170	659	1	2489
153	91.8976630116	90	0.0	-0.085	-0.003730	0.027578	686	827	1	2329
154	135.098412198	130	0.0	-0.085	-0.081065	-0.004213	1159	715	1	3089
155	79.1857314364	50	0.0	-0.085	0.022148	0.030947	428	754	1	2529
156	115.53370481	90	0.0	-0.085	-0.049393	0.018398	840	851	1	2404
283	107.504858147	90	0.0	-0.085	-0.033787	0.022127	757	808	2	2933
284	171.454707968	130	0.0	-0.085	-0.114562	-0.067786	1145	563	2	2469
285	53.0199122554	50	0.0	-0.085	0.067999	0.005303	264	618	2	2519
286	91.9739307718	90	0.0	-0.085	-0.003932	0.029086	564	813	2	2569
287	82.7747415252	50	0.0	-0.085	0.014418	0.028727	475	776	2	2610
288	142.032368361	130	0.0	-0.085	-0.088770	-0.015726	1048	703	2	2489
289	63.9157144111	50	0.0	-0.085	0.052189	0.021605	240	609	2	2529
290	122.951230466	130	0.0	-0.085	-0.062719	0.011759	928	794	2	2390
291	88.73821089	90	0.0	-0.085	0.002541	0.030364	545	800	2	2430
292	109.285956397	90	0.0	-0.085	-0.037777	0.022959	744	871	2	2390
293	146.687139521	130	0.0	-0.085	-0.095373	-0.022321	1116	646	2	2450
294	46.5543561419	50	0.0	-0.085	0.077961	-0.002690	230	618	2	2509
295	108.643715661	130	0.0	-0.085	-0.036956	0.024536	862	804	2	2409
296	93.7774215155	90	0.0	-0.085	-0.007645	0.030791	603	829	2	2469
297	77.7168702352	50	0.0	-0.085	0.025476	0.032009	413	739	2	2469
298	79.1452996269	90	0.0	-0.085	0.021694	0.028137	519	808	2	2469
299	87.7592085629	50	0.0	-0.085	0.004468	0.029186	475	762	2	2409
300	146.574693228	130	0.0	-0.085	-0.095027	-0.022281	1088	663	2	2409
427	138.89510823	130	0.0	-0.085	-0.084702	-0.011097	1117	669	3	2649
428	61.4806624942	50	0.0	-0.085	0.054724	0.015708	307	708	3	2549
429	106.794176064	90	0.0	-0.085	-0.032855	0.023861	715	808	3	2469
430	76.6193767768	90	0.0	-0.085	0.026277	0.025465	540	832	3	2550
431	85.6965736777	50	0.0	-0.085	0.008666	0.030162	480	793	3	3980
432	140.224057508	130	0.0	-0.085	-0.085441	-0.013874	1107	643	3	2510
433	105.289908674	130	0.0	-0.085	-0.030434	0.026325	893	762	3	2450
434	129.380098482	90	0.0	-0.085	-0.073721	0.004813	852	825	3	2409
435	51.7698374293	50	0.0	-0.085	0.070279	0.004212	244	615	3	3030
436	117.518514957	90	0.0	-0.085	-0.052277	0.015344	780	846	3	2429
437	41.8156250436	50	0.0	-0.085	0.085868	-0.008183	262	633	3	2489
438	143.960997444	130	0.0	-0.085	-0.091973	-0.018082	1144	634	3	2449
439	116.576846889	130	0.0	-0.085	-0.051509	0.017965	881	811	3	2429
440	71.8060275525	50	0.0	-0.085	0.036764	0.026858	386	684	3	2449
441	119.866391422	90	0.0	-0.085	-0.056415	0.013242	815	842	3	2429
442	127.233151149	130	0.0	-0.085	-0.068886	0.005645	928	776	3	2429
443	89.2132291927	90	0.0	-0.085	0.001567	0.029108	576	839	3	2509
444	88.1554209119	50	0.0	-0.085	0.003786	0.032559	526	795	3	2469
571	51.5584628122	50	0.0	-0.085	0.072461	0.006287	280	643	4	2629
572	103.636382462	90	0.0	-0.085	-0.026358	0.023649	654	852	4	2770
573	152.771468134	130	0.0	-0.085	-0.101512	-0.032766	1083	673	4	2589
574	120.355911365	130	0.0	-0.085	-0.057327	0.012884	894	844	4	2630
575	124.623085337	90	0.0	-0.085	-0.064394	0.008264	795	845	4	2489
576	46.2291536555	50	0.0	-0.085	0.077144	-0.004473	241	620	4	2609
577	135.971119307	130	0.0	-0.085	-0.081112	-0.006592	945	798	4	2569
578	83.4283509814	50	0.0	-0.085	0.013384	0.031178	376	754	4	2789
579	72.2980031287	90	0.0	-0.085	0.033983	0.021470	510	828	4	2809
580	73.090264644	50	0.0	-0.085	0.033572	0.025431	299	651	4	2709
581	128.858109697	130	0.0	-0.085	-0.072418	0.004883	1003	728	4	2629
582	120.300160923	90	0.0	-0.085	-0.056727	0.012076	817	818	4	2429
583	112.866958934	130	0.0	-0.085	-0.043972	0.019264	875	789	4	2529
584	102.368098518	90	0.0	-0.085	-0.024459	0.026542	699	857	4	2609
585	71.2464266264	50	0.0	-0.085	0.036235	0.021723	407	733	4	2529
586	133.078039314	130	0.0	-0.085	-0.078523	-0.001024	942	753	4	2449
