Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	106.276108538	90	0.0	-0.085	-0.034249	0.032304	884	811	1	4218
92	59.1918030978	50	0.0	-0.085	0.062180	0.019274	415	687	1	2659
93	115.699282259	130	0.0	-0.085	-0.052289	0.023652	986	760	1	2439
94	101.808373555	50	0.0	-0.085	-0.024746	0.033366	643	777	1	2599
95	149.053765062	130	0.0	-0.085	-0.102928	-0.023286	1077	733	1	2859
96	80.2824530095	90	0.0	-0.085	0.020470	0.034534	624	787	1	2479
97	126.970668468	90	0.0	-0.085	-0.072971	0.011939	1014	782	1	2719
98	127.27920702	130	0.0	-0.085	-0.073426	0.011458	999	703	1	4118
99	97.2539065652	50	0.0	-0.085	-0.015212	0.034511	639	776	1	2519
100	126.574414535	90	0.0	-0.085	-0.072237	0.012358	951	779	1	3050
101	121.361946108	130	0.0	-0.085	-0.062944	0.018273	973	689	1	3026
102	85.5180428268	50	0.0	-0.085	0.009417	0.035138	607	774	1	3008
103	131.775732351	130	0.0	-0.085	-0.080390	0.004988	1077	759	1	3048
104	99.9447977803	90	0.0	-0.085	-0.020739	0.033283	859	804	1	2864
105	91.3398183553	50	0.0	-0.085	-0.002853	0.036983	625	835	1	2479
106	89.8088218595	90	0.0	-0.085	0.000403	0.035778	703	789	1	3344
107	83.0270924581	50	0.0	-0.085	0.014730	0.035437	659	801	1	2420
108	124.782649505	130	0.0	-0.085	-0.069650	0.015278	1076	717	1	3773
235	99.2551408301	90	0.0	-0.085	-0.019399	0.034047	755	801	2	3941
236	137.921785812	130	0.0	-0.085	-0.089548	-0.004149	1067	684	2	2659
237	55.0947792074	50	0.0	-0.085	0.069067	0.013986	366	586	2	3569
238	108.724627386	90	0.0	-0.085	-0.038672	0.029090	924	769	2	2439
239	112.611726255	130	0.0	-0.085	-0.046431	0.026479	1026	737	2	2899
240	82.6818157449	50	0.0	-0.085	0.015507	0.035747	624	772	2	2479
241	128.792794736	130	0.0	-0.085	-0.075626	0.009084	1113	692	2	2719
242	85.3950621107	90	0.0	-0.085	0.009763	0.036212	690	796	2	2599
243	84.6714417555	50	0.0	-0.085	0.011202	0.035103	614	775	2	3503
244	97.6770362497	90	0.0	-0.085	-0.016139	0.034728	797	832	2	2600
245	119.40194665	130	0.0	-0.085	-0.059150	0.019966	1031	773	2	2560
246	78.0674085028	50	0.0	-0.085	0.024817	0.032434	628	808	2	3314
247	130.174312864	130	0.0	-0.085	-0.078046	0.007439	1147	826	2	2839
248	80.0945967811	50	0.0	-0.085	0.020717	0.033637	699	874	2	2819
249	96.6515516731	90	0.0	-0.085	-0.013956	0.034675	862	873	2	6526
250	96.0075904246	90	0.0	-0.085	-0.012639	0.035099	830	899	2	2979
251	55.9364474893	50	0.0	-0.085	0.067563	0.014927	419	762	2	3379
252	131.307491698	130	0.0	-0.085	-0.080543	0.006656	1119	801	2	2839
379	140.887821584	130	0.0	-0.085	-0.093700	-0.008819	1094	686	3	5149
380	74.5032609028	50	0.0	-0.085	0.032063	0.030641	574	785	3	2818
381	85.1030140693	90	0.0	-0.085	0.010311	0.035347	615	776	3	3439
382	108.721839024	90	0.0	-0.085	-0.038799	0.029483	968	767	3	4319
383	66.0709895099	50	0.0	-0.085	0.048914	0.025230	579	754	3	3598
384	118.632195055	130	0.0	-0.085	-0.057664	0.020622	1107	790	3	3259
385	52.7277730777	50	0.0	-0.085	0.073170	0.011146	354	690	3	3579
386	113.500268768	90	0.0	-0.085	-0.048140	0.025713	972	829	3	4759
387	125.259496484	130	0.0	-0.085	-0.069455	0.013242	1113	775	3	3019
388	49.0713343782	50	0.0	-0.085	0.080103	0.007380	313	661	3	3768
389	132.091256471	130	0.0	-0.085	-0.081654	0.005396	1050	762	3	3040
390	103.956608578	90	0.0	-0.085	-0.028998	0.031681	822	848	3	4141
391	134.625795591	130	0.0	-0.085	-0.084650	0.000763	1105	733	3	3320
392	75.1859964973	50	0.0	-0.085	0.030814	0.031511	543	798	3	6960
393	93.5990347619	90	0.0	-0.085	-0.007620	0.036149	781	827	3	2779
394	86.7027199629	90	0.0	-0.085	0.006940	0.035461	629	800	3	3279
395	76.8799933515	50	0.0	-0.085	0.027381	0.032477	550	814	3	2879
396	119.105144048	130	0.0	-0.085	-0.058434	0.019963	1086	755	3	2739
523	104.768631329	90	0.0	-0.085	-0.031464	0.034351	916	836	4	8559
524	138.104645178	130	0.0	-0.085	-0.089866	-0.004381	1148	791	4	2798
525	56.9350578369	50	0.0	-0.085	0.066171	0.016642	403	662	4	2979
526	116.370160425	90	0.0	-0.085	-0.053901	0.023725	967	855	4	2639
527	121.054866418	130	0.0	-0.085	-0.062200	0.018294	1125	858	4	2719
528	58.6011395402	50	0.0	-0.085	0.062630	0.017609	442	755	4	2859
529	105.016603953	90	0.0	-0.085	-0.031454	0.032252	934	856	4	2999
530	135.428919416	130	0.0	-0.085	-0.086669	0.000381	1191	772	4	2559
531	84.5915056287	50	0.0	-0.085	0.011571	0.037215	679	899	4	2699
532	84.5398634248	50	0.0	-0.085	0.011549	0.035822	669	868	4	2699
533	122.141909827	130	0.0	-0.085	-0.064468	0.017604	1105	794	4	2859
